# LutGenerate 2.4 - 02/02/07 08:50:08
#  Display ID: DELL_2407WFP_CC30265A1WDS
# Ambient = 0.10   Max. Luminance = 342.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 02/02/07 08:48:16
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=18.7% G=73.9% B=7.4%
1:  005  006  006
2:  006  007  006
3:  008  007  008
4:  008  008  009
5:  008  009  008
6:  009  010  009
7:  012  011  011
8:  011  012  011
9:  013  012  013
10:  013  013  014
11:  014  014  015
12:  014  015  014
13:  016  015  016
14:  016  016  016
15:  016  017  017
16:  018  017  017
17:  019  018  019
18:  018  019  019
19:  019  020  019
20:  021  020  020
21:  021  022  021
22:  023  022  023
23:  022  023  022
24:  024  023  024
25:  023  024  024
26:  025  024  025
27:  024  025  024
28:  026  025  025
29:  025  026  026
30:  027  026  026
31:  026  027  026
32:  027  027  028
33:  027  028  027
34:  029  028  028
35:  028  029  028
36:  029  029  030
37:  029  030  029
38:  030  030  031
39:  032  031  032
40:  031  032  031
41:  032  032  032
42:  032  033  032
43:  033  033  034
44:  033  034  033
45:  034  034  033
46:  035  034  034
47:  034  035  034
48:  036  035  035
49:  035  036  035
50:  036  036  035
51:  036  037  036
52:  037  037  038
53:  038  037  038
54:  037  038  038
55:  039  038  038
56:  038  039  038
57:  040  039  039
58:  039  040  039
59:  040  040  039
60:  041  041  042
61:  041  042  041
62:  043  042  042
63:  042  043  042
64:  043  043  043
65:  044  043  044
66:  043  044  044
67:  045  044  045
68:  044  045  044
69:  045  045  045
70:  045  046  045
71:  047  046  046
72:  046  047  046
73:  047  047  048
74:  048  047  048
75:  047  048  048
76:  049  048  048
77:  048  049  048
78:  049  049  050
79:  049  050  049
80:  050  050  049
81:  050  050  051
82:  050  051  051
83:  053  052  052
84:  052  053  052
85:  053  053  052
86:  054  053  054
87:  053  054  053
88:  054  054  055
89:  054  055  054
90:  056  055  055
91:  055  056  056
92:  057  056  056
93:  056  057  056
94:  057  057  058
95:  057  058  057
96:  058  058  059
97:  058  059  058
98:  060  059  060
99:  059  060  059
100:  061  060  061
101:  060  061  060
102:  061  061  061
103:  063  062  062
104:  063  063  062
105:  063  064  063
106:  064  064  065
107:  064  065  064
108:  066  065  066
109:  065  066  066
110:  067  066  067
111:  067  067  066
112:  068  067  068
113:  068  068  068
114:  068  069  068
115:  070  069  070
116:  070  070  069
117:  071  070  071
118:  071  071  072
119:  073  072  073
120:  072  073  073
121:  073  074  073
122:  075  074  075
123:  075  075  074
124:  075  076  075
125:  077  076  076
126:  076  077  077
127:  077  077  078
128:  079  078  078
129:  079  079  078
130:  079  080  079
131:  081  080  081
132:  080  081  080
133:  082  082  083
134:  082  083  082
135:  083  084  083
136:  085  084  084
137:  085  085  084
138:  085  086  085
139:  087  086  087
140:  088  087  087
141:  088  088  088
142:  088  089  088
143:  090  089  090
144:  090  090  091
145:  090  091  091
146:  091  092  091
147:  094  093  093
148:  094  094  093
149:  094  095  094
150:  096  095  096
151:  096  096  096
152:  097  097  098
153:  097  098  098
154:  098  099  098
155:  099  100  099
156:  100  100  101
157:  102  101  102
158:  102  102  102
159:  103  104  103
160:  104  105  104
161:  106  106  105
162:  106  107  106
163:  108  107  108
164:  109  108  108
165:  109  109  110
166:  111  110  110
167:  111  111  112
168:  112  112  112
169:  113  114  113
170:  114  115  114
171:  115  116  115
172:  116  117  116
173:  117  118  117
174:  118  119  118
175:  119  120  119
176:  121  120  120
177:  122  121  122
178:  123  123  122
179:  125  124  124
180:  125  126  125
181:  126  127  126
182:  127  128  128
183:  128  129  129
184:  131  130  130
185:  131  132  131
186:  132  133  132
187:  134  135  134
188:  136  136  136
189:  138  137  138
190:  138  139  138
191:  139  140  139
192:  142  141  141
193:  143  142  142
194:  144  145  144
195:  146  146  145
196:  148  147  147
197:  148  149  148
198:  150  150  151
199:  151  152  151
200:  153  153  153
201:  155  155  156
202:  156  157  156
203:  158  158  158
204:  160  159  159
205:  160  161  160
206:  163  162  162
207:  164  165  164
208:  166  166  167
209:  168  167  168
210:  168  169  169
211:  171  170  170
212:  171  172  172
213:  173  173  174
214:  175  176  175
215:  177  177  178
216:  178  179  178
217:  181  180  180
218:  181  182  181
219:  183  184  183
220:  185  186  185
221:  187  187  187
222:  188  189  189
223:  190  191  190
224:  192  192  193
225:  193  194  193
226:  196  196  195
227:  197  198  197
228:  200  199  199
229:  200  201  200
230:  202  203  202
231:  203  204  203
232:  206  207  206
233:  209  208  208
234:  209  210  209
235:  211  212  211
236:  214  213  213
237:  214  215  215
238:  217  218  217
239:  219  219  219
240:  221  222  221
241:  223  223  224
242:  224  225  225
243:  227  228  227
244:  229  230  229
245:  231  232  231
246:  233  234  233
247:  237  236  236
248:  238  239  238
249:  240  240  241
250:  242  242  243
251:  245  244  244
252:  246  247  247
253:  249  249  248
254:  251  251  252
255:  253  253  252
256:  254  255  254
