# LutGenerate 2.4 - 02/02/07 12:54:42
#  Display ID: DELL_2407WFP_CC30271A1R4S
# Ambient = 0.10   Max. Luminance = 373.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 02/02/07 12:52:54
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=19.7% G=73.2% B=7.1%
1:  024  024  024
2:  025  025  026
3:  027  026  027
4:  027  028  027
5:  028  029  028
6:  029  030  030
7:  030  031  031
8:  032  032  031
9:  032  033  033
10:  033  034  034
11:  034  035  034
12:  036  035  036
13:  037  036  036
14:  037  037  036
15:  037  038  037
16:  039  038  039
17:  039  039  040
18:  039  040  040
19:  041  040  041
20:  041  041  042
21:  041  042  041
22:  043  042  043
23:  043  043  042
24:  044  043  044
25:  044  044  045
26:  044  045  044
27:  046  045  045
28:  045  046  046
29:  047  046  047
30:  047  047  046
31:  048  047  048
32:  048  048  047
33:  048  049  048
34:  050  049  049
35:  049  050  049
36:  051  050  050
37:  050  051  050
38:  052  051  051
39:  051  052  052
40:  053  052  053
41:  052  053  053
42:  054  053  053
43:  053  054  054
44:  055  054  054
45:  054  055  055
46:  056  055  056
47:  055  056  056
48:  057  056  057
49:  056  057  057
50:  058  057  057
51:  057  058  058
52:  059  058  059
53:  058  059  059
54:  060  059  059
55:  059  060  060
56:  061  060  060
57:  060  061  060
58:  062  061  061
59:  061  062  061
60:  063  062  062
61:  062  063  062
62:  063  063  064
63:  063  064  063
64:  064  064  064
65:  064  065  064
66:  066  065  065
67:  065  066  065
68:  067  066  066
69:  066  067  066
70:  068  067  067
71:  067  068  067
72:  069  068  068
73:  068  069  068
74:  070  069  069
75:  069  070  069
76:  071  070  070
77:  070  071  070
78:  072  071  071
79:  071  072  072
80:  073  072  072
81:  072  073  073
82:  074  073  073
83:  074  074  074
84:  075  074  075
85:  075  075  074
86:  076  075  076
87:  076  076  076
88:  076  077  076
89:  077  077  078
90:  077  078  077
91:  079  078  079
92:  078  079  079
93:  080  079  080
94:  080  080  079
95:  080  081  080
96:  082  081  081
97:  082  082  081
98:  082  083  082
99:  084  083  083
100:  083  084  084
101:  085  084  084
102:  085  085  085
103:  085  086  085
104:  087  086  086
105:  086  087  087
106:  087  088  087
107:  088  088  089
108:  088  089  088
109:  090  089  090
110:  090  090  089
111:  090  091  090
112:  092  091  091
113:  092  092  092
114:  092  093  092
115:  094  093  094
116:  093  094  094
117:  094  095  094
118:  095  095  096
119:  095  096  095
120:  096  097  096
121:  098  097  097
122:  098  098  099
123:  098  099  099
124:  100  099  100
125:  101  100  101
126:  101  101  101
127:  101  102  101
128:  103  102  102
129:  103  103  103
130:  103  104  103
131:  105  104  105
132:  105  105  106
133:  105  106  105
134:  107  106  107
135:  108  107  107
136:  108  108  107
137:  108  109  109
138:  109  110  109
139:  111  110  110
140:  111  111  112
141:  112  112  111
142:  112  113  112
143:  113  114  113
144:  115  114  114
145:  115  115  115
146:  116  116  115
147:  116  117  116
148:  118  117  118
149:  119  118  118
150:  119  119  119
151:  119  120  120
152:  120  121  120
153:  122  121  122
154:  123  122  122
155:  123  123  123
156:  123  124  124
157:  124  125  124
158:  126  125  126
159:  127  126  126
160:  127  127  127
161:  127  128  128
162:  128  129  128
163:  130  130  130
164:  131  131  131
165:  132  132  131
166:  133  133  132
167:  134  134  134
168:  135  135  134
169:  135  136  136
170:  137  137  137
171:  138  138  137
172:  139  139  139
173:  141  140  140
174:  141  141  142
175:  143  142  142
176:  144  143  143
177:  144  144  145
178:  145  146  145
179:  146  147  147
180:  147  148  148
181:  148  149  149
182:  150  150  149
183:  151  151  151
184:  153  152  152
185:  154  153  154
186:  155  154  155
187:  155  156  155
188:  157  157  156
189:  158  158  159
190:  159  159  160
191:  160  160  161
192:  161  162  161
193:  162  163  163
194:  164  164  165
195:  166  165  166
196:  166  167  166
197:  167  168  167
198:  169  169  168
199:  170  170  171
200:  172  171  171
201:  173  172  173
202:  173  174  174
203:  175  175  174
204:  176  176  176
205:  177  178  177
206:  178  179  179
207:  180  180  180
208:  182  181  182
209:  182  183  182
210:  184  184  184
211:  186  185  186
212:  186  187  186
213:  188  188  187
214:  190  189  189
215:  190  191  190
216:  191  192  191
217:  194  193  193
218:  195  195  194
219:  196  196  197
220:  197  198  197
221:  199  199  198
222:  201  200  200
223:  202  202  201
224:  203  203  203
225:  204  205  204
226:  205  206  206
227:  207  208  207
228:  208  209  208
229:  210  211  210
230:  212  212  213
231:  213  214  213
232:  215  215  216
233:  216  217  216
234:  219  218  219
235:  220  221  220
236:  222  222  221
237:  223  224  223
238:  225  226  225
239:  227  227  228
240:  229  229  229
241:  230  231  230
242:  233  232  233
243:  234  234  233
244:  235  236  235
245:  238  237  237
246:  239  239  239
247:  240  241  240
248:  242  243  242
249:  243  244  244
250:  245  246  245
251:  247  248  247
252:  248  249  249
253:  251  251  250
254:  253  252  253
255:  254  254  253
256:  255  255  254
