# LutGenerate 2.4 - 07/02/08 11:36:53 - #  Display ID: DELL_2408WFP_JU4368281FMS
# Ambient = 0.10   Max. Luminance = 332.000   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 07/02/08 11:35:39
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=25.6% G=65.3% B=9.0%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  019  019  018           0.949      0.947
  2:  020  019  020           1.003      1.006
  3:  019  020  020           1.059      1.049
  4:  021  020  020           1.117      1.121
  5:  020  021  020           1.176      1.193
  6:  021  021  021           1.238      1.235
  7:  022  021  022           1.302      1.287
  8:  022  022  021           1.367      1.365
  9:  023  022  023           1.435      1.438
 10:  022  023  022           1.505      1.500
 11:  023  023  024           1.577      1.582
 12:  024  023  024           1.651      1.625
 13:  023  024  024           1.727      1.729
 14:  024  024  025           1.805      1.789
 15:  025  024  025           1.886      1.850
 16:  024  025  025           1.969      1.950
 17:  025  025  026           2.054      2.040
 18:  026  025  026           2.142      2.100
 19:  025  026  026           2.232      2.220
 20:  026  026  027           2.324      2.300
 21:  027  026  027           2.419      2.370
 22:  026  027  027           2.516      2.490
 23:  028  027  027           2.616      2.650
 24:  028  027  028           2.718      2.670
 25:  027  028  028           2.823      2.790
 26:  029  028  028           2.931      2.940
 27:  028  029  028           3.041      3.040
 28:  029  029  030           3.154      3.160
 29:  030  029  029           3.270      3.270
 30:  029  030  029           3.388      3.380
 31:  030  030  029           3.510      3.510
 32:  031  030  031           3.634      3.640
 33:  030  031  030           3.761      3.800
 34:  031  031  031           3.891      3.900
 35:  032  031  032           4.025      4.020
 36:  031  032  031           4.161      4.180
 37:  032  032  032           4.300      4.290
 38:  033  032  033           4.443      4.450
 39:  033  033  032           4.589      4.630
 40:  034  033  033           4.738      4.740
 41:  033  034  034           4.890      4.850
 42:  035  034  034           5.045      5.050
 43:  035  035  034           5.204      5.240
 44:  036  035  036           5.367      5.370
 45:  036  036  037           5.533      5.540
 46:  036  037  036           5.702      5.720
 47:  037  037  038           5.876      5.850
 48:  037  038  037           6.052      6.050
 49:  039  038  038           6.233      6.220
 50:  038  039  039           6.417      6.400
 51:  040  039  040           6.605      6.590
 52:  040  040  039           6.797      6.800
 53:  041  040  041           6.993      6.920
 54:  041  041  042           7.193      7.190
 55:  041  042  041           7.397      7.410
 56:  042  042  043           7.605      7.570
 57:  042  043  043           7.817      7.760
 58:  044  043  044           8.033      8.020
 59:  044  044  043           8.254      8.260
 60:  045  044  045           8.479      8.430
 61:  045  045  045           8.709      8.700
