# LutGenerate 2.4 - 07/07/08 14:30:03 - #  Display ID: DELL_2408WFP_JU43682B28MS
# Ambient = 0.10   Max. Luminance = 347.000   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 07/07/08 14:29:33
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=21.0% G=69.3% B=9.7%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  021  022  021           0.991      0.997
  2:  023  022  022           1.047      1.054
  3:  022  023  022           1.105      1.105
  4:  023  023  024           1.165      1.154
  5:  023  024  023           1.227      1.232
  6:  024  024  025           1.291      1.290
  7:  024  025  024           1.357      1.382
  8:  025  025  025           1.425      1.422
  9:  026  025  026           1.495      1.476
 10:  026  026  025           1.567      1.574
 11:  027  026  027           1.641      1.644
 12:  026  027  026           1.718      1.712
 13:  027  027  028           1.797      1.778
 14:  027  028  028           1.878      1.870
 15:  028  028  029           1.961      1.950
 16:  028  029  028           2.047      2.080
 17:  029  029  028           2.135      2.140
 18:  030  029  030           2.225      2.220
 19:  029  030  029           2.318      2.320
 20:  030  030  031           2.414      2.400
 21:  031  030  031           2.512      2.470
 22:  031  031  030           2.612      2.620
 23:  032  031  031           2.715      2.720
 24:  031  032  031           2.821      2.830
 25:  032  032  033           2.930      2.930
 26:  032  033  032           3.041      3.040
 27:  033  033  033           3.155      3.130
 28:  033  034  034           3.271      3.270
 29:  035  034  035           3.391      3.390
 30:  035  035  034           3.513      3.520
 31:  036  035  036           3.639      3.600
 32:  036  036  037           3.767      3.760
 33:  037  037  036           3.899      3.910
 34:  038  037  038           4.033      4.000
 35:  038  038  039           4.171      4.170
 36:  038  039  038           4.311      4.320
 37:  040  039  039           4.455      4.450
 38:  039  040  040           4.603      4.600
 39:  041  040  041           4.753      4.760
 40:  041  041  040           4.907      4.920
 41:  042  041  042           5.064      5.050
 42:  042  042  041           5.225      5.220
 43:  042  043  042           5.389      5.430
 44:  043  043  044           5.557      5.550
 45:  043  044  043           5.729      5.740
 46:  045  044  044           5.904      5.910
 47:  044  045  045           6.082      6.070
 48:  046  045  046           6.265      6.270
 49:  046  046  046           6.452      6.440
 50:  046  047  046           6.642      6.670
 51:  048  047  047           6.836      6.850
 52:  047  048  048           7.034      7.030
 53:  049  048  049           7.237      7.250
 54:  049  049  048           7.443      7.460
 55:  050  049  050           7.654      7.590
 56:  050  050  051           7.869      7.860
 57:  050  051  050           8.088      8.080
 58:  052  051  051           8.312      8.330
 59:  051  052  052           8.540      8.540
 60:  053  052  053           8.772      8.760
 61:  053  053  052           9.009      9.000
 62:  054  053  054           9.251      9.180
 63:  054  054  055           9.498      9.490
 64:  055  055  054           9.749      9.770
 65:  056  055  056          10.005      9.970
 66:  056  056  057          10.266     10.280
 67:  056  057  056          10.532     10.550
 68:  058  057  057          10.804     10.880
 69:  057  058  058          11.080     11.050
 70:  059  058  058          11.361     11.350
 71:  059  059  058          11.648     11.660
 72:  059  060  059          11.940     11.990
 73:  061  060  060          12.238     12.270
 74:  060  061  061          12.541     12.520
 75:  062  061  062          12.850     12.830
 76:  062  062  062          13.165     13.160
 77:  062  063  062          13.485     13.520
 78:  063  063  064          13.811     13.750
 79:  063  064  064          14.143     14.140
 80:  065  064  065          14.482     14.450
 81:  065  065  066          14.826     14.810
 82:  065  066  066          15.177     15.190
 83:  067  066  067          15.534     15.540
 84:  067  067  066          15.897     15.880
 85:  067  068  067          16.267     16.330
 86:  069  068  068          16.643     16.650
 87:  069  069  068          17.027     17.030
 88:  069  070  069          17.417     17.490
 89:  071  070  070          17.814     17.800
 90:  071  071  070          18.218     18.200
 91:  071  072  071          18.629     18.600
 92:  073  072  072          19.047     19.000
 93:  073  073  073          19.472     19.500
 94:  074  074  073          19.905     19.900
 95:  074  075  074          20.346     20.400
 96:  076  075  075          20.794     20.800
 97:  076  076  076          21.250     21.300
 98:  076  077  076          21.714     21.700
 99:  078  077  078          22.186     22.200
100:  078  078  079          22.666     22.700
101:  079  079  078          23.154     23.200
102:  079  080  079          23.651     23.700
103:  081  080  080          24.156     24.200
104:  081  081  081          24.669     24.700
105:  081  082  081          25.192     25.200
106:  082  083  082          25.723     25.800
107:  084  084  085          26.263     26.300
108:  085  085  084          26.813     26.800
109:  085  086  085          27.371     27.400
110:  087  086  086          27.939     27.900
111:  088  087  087          28.517     28.600
112:  088  088  087          29.104     29.100
113:  088  089  089          29.701     29.700
114:  089  090  089          30.308     30.300
115:  091  090  091          30.925     30.900
116:  092  091  092          31.552     31.600
117:  092  092  093          32.190     32.100
118:  093  093  092          32.838     32.800
119:  094  094  093          33.497     33.500
120:  094  095  094          34.167     34.200
121:  095  096  095          34.848     34.900
122:  097  096  097          35.540     35.500
123:  098  097  098          36.243     36.300
124:  099  098  098          36.958     37.000
125:  099  099  099          37.684     37.600
126:  100  100  100          38.423     38.400
127:  101  101  102          39.173     39.200
128:  102  102  101          39.936     39.900
129:  103  103  103          40.711     40.800
130:  104  104  103          41.499     41.500
131:  105  105  104          42.299     42.300
132:  106  106  105          43.112     43.200
133:  106  107  107          43.939     43.900
134:  107  108  108          44.778     44.800
135:  108  109  108          45.632     45.600
136:  110  110  109          46.499     46.500
137:  111  111  110          47.380     47.400
138:  111  112  112          48.275     48.300
139:  112  113  113          49.184     49.200
140:  113  114  113          50.108     50.100
141:  114  115  115          51.046     51.100
142:  115  116  115          52.000     52.000
143:  116  117  116          52.969     53.100
144:  117  118  117          53.953     54.100
145:  118  119  118          54.952     55.000
146:  119  120  119          55.968     56.000
147:  121  120  121          57.000     56.800
148:  122  121  122          58.048     57.900
149:  123  122  123          59.112     59.000
150:  124  123  124          60.194     60.200
151:  125  124  124          61.292     61.300
152:  126  125  125          62.408     62.500
153:  127  126  126          63.541     63.600
154:  127  127  128          64.692     64.700
