# LutGenerate 2.4 - 01/23/07 14:33:41
#  Display ID: DELL_2707WFP_TJ2986C203BS
# Ambient = 0.10   Max. Luminance = 401.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/23/07 14:31:52
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=25.7% G=65.7% B=8.6%
1:  013  012  012
2:  012  013  012
3:  014  013  013
4:  013  014  013
5:  014  014  015
6:  014  015  014
7:  015  015  016
8:  016  015  016
9:  016  016  015
10:  017  016  017
11:  016  017  017
12:  018  017  018
13:  017  018  017
14:  018  018  019
15:  018  019  018
16:  019  019  019
17:  020  019  020
18:  019  020  020
19:  020  020  021
20:  020  021  020
21:  021  021  021
22:  022  021  022
23:  022  022  021
24:  023  022  023
25:  022  023  023
26:  024  023  023
27:  023  024  023
28:  024  024  025
29:  024  025  024
30:  025  025  025
31:  025  026  025
32:  026  026  026
33:  027  026  027
34:  027  027  027
35:  027  028  027
36:  028  028  028
37:  028  029  028
38:  029  029  030
39:  029  030  029
40:  031  030  030
41:  030  031  031
42:  032  031  032
43:  031  032  032
44:  033  032  032
45:  032  033  032
46:  033  033  033
47:  034  033  034
48:  034  034  034
49:  034  035  034
50:  035  035  036
51:  035  036  035
52:  036  036  037
53:  036  037  036
54:  037  037  038
55:  037  038  037
56:  039  038  038
57:  038  039  038
58:  040  039  039
59:  039  040  040
60:  041  040  040
61:  040  041  041
62:  042  041  042
63:  042  042  041
64:  043  042  043
65:  043  043  043
66:  043  044  043
67:  044  044  045
68:  044  045  044
69:  046  045  045
70:  045  046  046
71:  047  046  047
72:  047  047  046
73:  048  047  048
74:  048  048  048
75:  048  049  048
76:  050  049  049
77:  049  050  050
78:  051  050  051
79:  051  051  051
80:  051  052  051
81:  052  052  053
82:  052  053  052
83:  054  053  054
84:  054  054  053
85:  054  055  054
86:  056  055  055
87:  056  056  055
88:  056  057  056
89:  057  057  058
90:  057  058  057
91:  059  058  058
92:  059  059  059
93:  059  060  059
94:  061  060  060
95:  061  061  060
96:  061  062  061
97:  063  062  062
98:  063  063  062
99:  064  063  064
100:  064  064  064
101:  064  065  064
102:  066  065  065
103:  066  066  065
104:  066  067  066
105:  068  067  068
106:  068  068  069
107:  068  069  068
108:  070  069  070
109:  071  070  070
110:  071  071  071
111:  071  072  071
112:  073  072  073
113:  073  073  074
114:  074  074  073
115:  074  075  074
116:  076  075  076
117:  076  076  077
118:  077  077  076
119:  077  078  077
120:  078  079  078
121:  080  079  080
122:  081  080  080
123:  081  081  081
124:  081  082  082
125:  082  083  082
126:  083  084  083
127:  085  084  084
128:  086  085  085
129:  086  086  087
130:  087  087  086
131:  088  088  088
132:  088  089  089
133:  089  090  089
134:  090  091  090
135:  091  092  091
136:  093  092  093
137:  094  093  093
138:  095  094  095
139:  096  095  095
140:  097  096  097
141:  098  097  098
142:  098  098  099
143:  100  099  099
144:  101  100  100
145:  102  101  101
146:  103  102  102
147:  104  103  103
148:  105  104  104
149:  105  106  105
150:  106  107  106
151:  107  108  107
152:  108  109  109
153:  110  110  109
154:  111  111  110
155:  112  112  113
156:  113  113  113
157:  115  114  114
158:  116  115  115
159:  117  116  117
160:  117  118  118
161:  118  119  118
162:  120  120  120
163:  121  121  120
164:  122  122  123
165:  124  123  124
166:  125  124  125
167:  125  126  125
168:  126  127  127
169:  128  128  127
170:  129  129  130
171:  130  130  129
172:  131  131  132
173:  132  132  133
174:  134  133  133
175:  134  135  134
176:  135  136  135
177:  137  137  136
178:  138  138  139
179:  139  139  140
180:  141  140  140
181:  142  141  141
182:  142  143  142
183:  143  144  144
184:  145  145  146
185:  147  146  146
186:  148  147  148
187:  148  149  148
188:  150  150  149
189:  151  151  151
190:  153  152  152
191:  153  154  153
192:  154  155  154
193:  156  156  156
194:  158  157  157
195:  158  159  158
196:  159  160  159
197:  161  161  161
198:  163  162  163
199:  164  163  164
200:  164  165  164
201:  165  166  166
202:  167  167  168
203:  169  168  169
204:  169  170  170
205:  171  171  172
206:  172  173  172
207:  174  174  174
208:  176  175  176
209:  176  177  176
210:  177  178  178
211:  179  179  180
212:  181  180  181
213:  182  182  182
214:  183  184  183
215:  184  185  184
216:  187  186  187
217:  187  188  187
218:  189  189  189
219:  191  190  190
220:  191  192  192
221:  193  194  193
222:  195  195  195
223:  197  196  196
224:  197  198  198
225:  200  199  199
226:  201  201  200
227:  202  203  202
228:  205  204  204
229:  205  206  205
230:  207  208  208
231:  210  209  209
232:  211  211  212
233:  214  213  213
234:  214  215  214
235:  216  217  216
236:  219  218  219
237:  220  220  219
238:  222  222  221
239:  223  224  223
240:  226  225  225
241:  228  227  227
242:  228  229  229
243:  231  230  230
244:  232  232  231
245:  234  234  233
246:  236  236  235
247:  238  238  237
248:  240  239  240
249:  242  241  242
250:  243  244  243
251:  245  245  246
252:  248  247  247
253:  250  249  250
254:  252  251  252
255:  252  253  252
256:  255  254  255
