# LutGenerate 2.4 - 07/12/07 14:37:39 - #  Display ID: GENERIC
# Ambient = 0.2   Max. Luminance = 358.2727   Luminance Ratio = 350.00
#  lumResponse - average luminance response
#  11 files
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  018  018  017           1.024      1.025
  2:  018  019  019           1.081      1.077
  3:  019  020  020           1.141      1.141
  4:  020  021  020           1.202      1.201
  5:  021  022  021           1.265      1.279
  6:  023  022  023           1.331      1.333
  7:  023  023  023           1.398      1.395
  8:  023  024  023           1.468      1.466
  9:  025  024  025           1.540      1.534
 10:  025  025  025           1.614      1.613
 11:  025  026  025           1.690      1.698
 12:  027  026  026           1.768      1.767
 13:  027  027  026           1.849      1.856
 14:  028  027  028           1.932      1.909
 15:  028  028  029           2.017      2.012
 16:  028  029  029           2.105      2.109
 17:  030  029  030           2.195      2.191
 18:  030  030  029           2.288      2.282
 19:  030  031  030           2.383      2.411
 20:  031  031  032           2.481      2.481
 21:  031  032  031           2.581      2.596
 22:  032  032  033           2.684      2.674
 23:  032  033  032           2.790      2.792
 24:  034  033  033           2.898      2.899
 25:  033  034  034           3.009      3.010
 26:  035  034  035           3.123      3.124
 27:  035  035  034           3.240      3.252
 28:  036  035  036           3.359      3.337
 29:  036  036  036           3.481      3.490
 30:  036  037  036           3.607      3.646
 31:  037  037  038           3.735      3.738
 32:  037  038  037           3.867      3.883
 33:  039  038  038           4.001      4.013
 34:  038  039  039           4.139      4.146
 35:  040  039  040           4.280      4.284
 36:  040  040  039           4.424      4.441
 37:  041  040  041           4.571      4.547
 38:  041  041  040           4.722      4.716
 39:  042  041  042           4.876      4.829
 40:  042  042  042           5.033      5.032
 41:  042  043  042           5.194      5.245
 42:  043  043  044           5.359      5.366
 43:  043  044  043           5.527      5.563
 44:  044  044  045           5.699      5.690
 45:  044  045  044           5.874      5.897
 46:  045  045  046           6.054      6.033
 47:  045  046  045           6.237      6.249
 48:  047  046  046           6.424      6.445
 49:  046  047  046           6.615      6.619
 50:  048  047  047           6.809      6.825
 51:  047  048  047           7.008      7.007
 52:  049  048  048           7.211      7.219
 53:  048  049  048           7.418      7.407
 54:  050  049  049           7.630      7.626
 55:  049  050  050           7.846      7.854
 56:  051  050  051           8.066      8.081
 57:  050  051  051           8.290      8.281
 58:  052  051  052           8.519      8.514
 59:  052  052  051           8.753      8.784
 60:  053  052  053           8.991      8.966
 61:  053  053  052           9.234      9.254
 62:  054  053  054           9.481      9.437
 63:  054  054  053           9.734      9.731
 64:  055  054  055           9.991      9.920
 65:  055  055  055          10.253     10.265
 66:  055  056  055          10.521     10.611
 67:  056  056  057          10.793     10.813
 68:  056  057  056          11.071     11.137
 69:  057  057  058          11.354     11.342
 70:  057  058  057          11.642     11.686
 71:  058  058  059          11.936     11.903
 72:  058  059  058          12.236     12.248
 73:  060  059  059          12.541     12.552
 74:  059  060  059          12.851     12.830
 75:  061  060  060          13.168     13.148
 76:  060  061  061          13.490     13.479
 77:  062  061  062          13.818     13.814
 78:  061  062  062          14.152     14.116
 79:  063  062  063          14.493     14.473
 80:  063  063  062          14.839     14.884
 81:  064  063  064          15.192     15.128
 82:  064  064  064          15.552     15.564
 83:  064  065  064          15.918     15.980
 84:  066  065  065          16.290     16.303
 85:  065  066  066          16.669     16.643
 86:  067  066  067          17.055     16.985
 87:  067  067  067          17.448     17.439
 88:  067  068  067          17.848     17.884
 89:  069  068  069          18.255     18.255
 90:  069  069  068          18.669     18.641
 91:  069  070  069          19.090     19.145
 92:  071  070  070          19.519     19.531
 93:  071  071  070          19.955     20.000
 94:  072  071  072          20.399     20.282
 95:  072  072  073          20.851     20.818
 96:  072  073  073          21.311     21.309
 97:  074  073  074          21.778     21.700
 98:  074  074  075          22.254     22.264
 99:  074  075  074          22.738     22.718
100:  076  075  076          23.231     23.182
101:  076  076  076          23.731     23.718
102:  076  077  076          24.241     24.236
103:  078  077  078          24.759     24.727
104:  078  078  078          25.286     25.282
105:  078  079  078          25.822     25.818
106:  080  079  080          26.367     26.345
107:  080  080  080          26.921     26.927
108:  080  081  080          27.485     27.582
109:  082  081  081          28.058     28.082
110:  081  082  082          28.641     28.591
111:  083  082  083          29.234     29.082
112:  083  083  084          29.836     29.782
113:  083  084  084          30.449     30.436
114:  085  084  085          31.072     30.927
115:  086  085  085          31.706     31.782
116:  085  086  086          32.350     32.264
117:  086  087  086          33.004     33.155
118:  088  087  087          33.670     33.673
119:  088  088  088          34.346     34.391
120:  088  089  088          35.034     35.036
121:  090  089  090          35.733     35.636
122:  090  090  091          36.444     36.391
123:  091  091  090          37.167     37.200
124:  091  092  091          37.901     37.973
125:  093  092  093          38.647     38.582
126:  093  093  094          39.406     39.346
127:  094  094  093          40.177     40.173
128:  094  095  094          40.960     40.946
129:  096  095  096          41.756     41.591
130:  097  096  096          42.566     42.582
131:  097  097  097          43.388     43.391
132:  097  098  098          44.224     44.173
133:  098  099  098          45.073     45.146
134:  100  099  100          45.936     45.809
135:  101  100  101          46.813     46.846
136:  101  101  102          47.704     47.718
137:  102  102  101          48.610     48.618
138:  102  103  103          49.530     49.564
139:  103  104  103          50.464     50.546
140:  105  104  105          51.414     51.246
141:  106  105  106          52.379     52.309
142:  107  106  106          53.360     53.346
143:  107  107  108          54.356     54.300
144:  108  108  109          55.368     55.364
145:  109  109  109          56.396     56.400
146:  110  110  110          57.441     57.482
147:  111  111  110          58.502     58.500
148:  112  112  111          59.580     59.600
149:  113  113  112          60.675     60.700
150:  114  114  113          61.788     61.809
151:  115  115  114          62.918     62.900
152:  116  116  115          64.066     64.046
153:  117  117  117          65.232     65.246
154:  118  118  119          66.417     66.427
155:  119  119  120          67.620     67.564
156:  121  120  120          68.842     68.846
157:  122  121  122          70.083     70.027
158:  123  122  123          71.344     71.182
159:  123  124  123          72.625     72.755
160:  124  125  124          73.926     73.873
161:  125  126  126          75.247     75.191
162:  126  127  127          76.589     76.546
163:  127  128  127          77.951     77.964
164:  129  128  129          79.336     79.055
165:  130  129  130          80.741     80.664
166:  131  130  130          82.169     82.182
167:  131  131  132          83.619     83.645
168:  132  132  132          85.091     85.091
169:  133  133  132          86.587     86.600
170:  133  134  134          88.105     87.982
