# LutGenerate 2.4 - 01/16/07 07:53:33
#  Display ID: DELL_3007WFP_FK28569QG3OC
# Ambient = 0.10   Max. Luminance = 358.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/16/07 07:51:55
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.1% G=68.4% B=8.5%
1:  021  020  021
2:  021  021  022
3:  022  022  021
4:  022  023  022
5:  024  023  024
6:  024  024  024
7:  024  025  024
8:  026  025  025
9:  026  026  025
10:  026  027  026
11:  027  027  028
12:  027  028  028
13:  029  028  029
14:  029  029  029
15:  029  030  029
16:  031  030  030
17:  030  031  031
18:  032  031  032
19:  031  032  032
20:  033  032  033
21:  033  033  032
22:  034  033  034
23:  034  034  034
24:  034  035  034
25:  035  035  036
26:  035  036  035
27:  037  036  036
28:  036  037  037
29:  038  037  038
30:  037  038  038
31:  039  038  039
32:  039  039  039
33:  039  040  039
34:  040  040  041
35:  040  041  040
36:  042  041  041
37:  041  042  041
38:  043  042  042
39:  042  043  043
40:  044  043  044
41:  043  044  044
42:  045  044  045
43:  045  045  044
44:  046  045  046
45:  046  046  045
46:  047  046  047
47:  047  047  046
48:  048  047  048
49:  048  048  047
50:  049  048  049
51:  049  049  049
52:  050  049  050
53:  050  050  050
54:  050  051  050
55:  051  051  052
56:  051  052  051
57:  052  052  053
58:  052  053  052
59:  053  053  054
60:  053  054  053
61:  055  054  054
62:  054  055  055
63:  056  055  055
64:  055  056  056
65:  057  056  057
66:  057  057  056
67:  058  057  058
68:  058  058  057
69:  059  058  059
70:  059  059  058
71:  060  059  060
72:  060  060  060
73:  060  061  060
74:  061  061  062
75:  061  062  061
76:  062  062  063
77:  062  063  062
78:  063  063  064
79:  063  064  063
80:  065  064  065
81:  065  065  064
82:  065  066  065
83:  066  066  067
84:  066  067  066
85:  068  067  068
86:  068  068  068
87:  068  069  068
88:  070  069  069
89:  069  070  070
90:  070  071  070
91:  072  071  071
92:  071  072  072
93:  073  072  073
94:  073  073  074
95:  073  074  073
96:  075  074  075
97:  075  075  075
98:  075  076  075
99:  077  076  076
100:  077  077  076
101:  078  077  078
102:  078  078  079
103:  078  079  079
104:  079  080  079
105:  081  080  080
106:  081  081  080
107:  081  082  081
108:  083  082  082
109:  082  083  083
110:  084  083  084
111:  085  084  084
112:  085  085  084
113:  085  086  085
114:  087  086  087
115:  087  087  087
116:  087  088  087
117:  089  088  088
118:  090  089  089
119:  090  090  089
120:  090  091  090
121:  092  091  092
122:  093  092  092
123:  093  093  092
124:  093  094  094
125:  094  095  094
126:  096  095  096
127:  096  096  097
128:  097  097  096
129:  097  098  097
130:  098  099  098
131:  100  099  100
132:  101  100  100
133:  101  101  100
134:  102  102  101
135:  102  103  102
136:  103  104  103
137:  105  104  105
138:  106  105  106
139:  107  106  106
140:  107  107  108
141:  108  108  108
142:  109  109  109
143:  110  110  110
144:  111  111  110
145:  112  112  111
146:  113  113  112
147:  114  114  113
148:  115  115  114
149:  116  116  115
150:  117  117  117
151:  118  118  117
152:  119  119  120
153:  121  120  120
154:  122  121  122
155:  123  122  123
156:  123  124  123
157:  124  125  124
158:  125  126  126
159:  126  127  127
160:  127  128  127
161:  128  129  128
162:  130  129  130
163:  131  130  131
164:  131  131  132
165:  132  132  132
166:  133  133  133
167:  134  134  133
168:  135  135  134
169:  135  136  136
170:  136  137  137
171:  137  138  138
172:  138  139  139
173:  139  140  139
174:  140  141  140
175:  141  142  141
176:  142  143  142
177:  143  144  143
178:  144  145  144
179:  145  146  145
180:  146  147  146
181:  147  148  147
182:  148  149  148
183:  149  150  149
184:  150  151  150
185:  151  152  151
186:  152  153  153
187:  153  154  154
188:  154  155  155
189:  156  156  155
190:  157  157  156
191:  158  158  158
192:  159  159  160
193:  160  160  161
194:  162  161  161
195:  163  162  163
196:  164  163  164
197:  164  165  164
198:  165  166  165
199:  166  167  167
200:  168  168  168
201:  169  169  170
202:  171  170  171
203:  171  172  171
204:  172  173  173
205:  174  174  174
206:  176  175  175
207:  177  176  177
208:  177  178  178
209:  179  179  179
210:  181  180  181
211:  181  182  181
212:  183  183  184
213:  184  185  184
214:  186  186  185
215:  188  187  188
216:  188  189  189
217:  190  190  191
218:  192  191  192
219:  192  193  192
220:  194  194  193
221:  195  195  195
222:  196  196  197
223:  197  198  197
224:  198  199  198
225:  199  200  199
226:  201  201  200
227:  203  202  203
228:  203  204  203
229:  205  205  204
230:  207  206  206
231:  207  208  207
232:  208  209  208
233:  210  210  211
234:  211  212  211
235:  213  213  213
236:  215  214  215
237:  216  216  216
238:  217  218  217
239:  219  219  218
240:  220  221  220
241:  222  222  223
242:  223  224  223
243:  225  226  225
244:  227  228  227
245:  229  229  229
246:  231  231  230
247:  232  233  233
248:  234  235  234
249:  236  237  236
250:  238  239  238
251:  241  241  240
252:  243  243  244
253:  245  246  246
254:  248  248  249
255:  250  251  251
256:  254  254  253
