# LutGenerate 2.4 - 01/13/07 13:40:03
#  Display ID: DELL_3007WFP_FK28569QG3ON
# Ambient = 0.10   Max. Luminance = 372.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/13/07 13:39:06
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=21.7% G=69.4% B=8.9%
1:  019  020  019
2:  020  021  020
3:  022  021  022
4:  022  022  023
5:  022  023  023
6:  024  023  024
7:  024  024  025
8:  024  025  025
9:  026  025  026
10:  026  026  026
11:  026  027  026
12:  028  027  027
13:  027  028  028
14:  029  028  029
15:  029  029  030
16:  029  030  029
17:  031  030  030
18:  030  031  031
19:  032  031  032
20:  031  032  032
21:  033  032  033
22:  033  033  032
23:  034  033  034
24:  034  034  034
25:  034  035  034
26:  035  035  036
27:  035  036  035
28:  037  036  036
29:  036  037  036
30:  038  037  037
31:  037  038  038
32:  039  038  039
33:  039  039  038
34:  040  039  040
35:  040  040  041
36:  040  041  040
37:  041  041  042
38:  041  042  041
39:  043  042  042
40:  042  043  042
41:  044  043  043
42:  043  044  044
43:  045  044  045
44:  044  045  045
45:  046  045  046
46:  046  046  045
47:  047  046  047
48:  047  047  046
49:  048  047  048
50:  048  048  047
51:  049  048  049
52:  049  049  048
53:  050  049  050
54:  050  050  049
55:  051  050  051
56:  051  051  051
57:  052  051  052
58:  052  052  052
59:  052  053  052
60:  053  053  054
61:  053  054  053
62:  054  054  055
63:  054  055  054
64:  056  055  055
65:  055  056  055
66:  057  056  056
67:  056  057  057
68:  058  057  058
69:  057  058  058
70:  059  058  059
71:  059  059  058
72:  060  059  060
73:  060  060  059
74:  061  060  061
75:  061  061  061
76:  062  061  062
77:  062  062  062
78:  062  063  062
79:  063  063  063
80:  063  064  063
81:  065  064  064
82:  064  065  065
83:  066  065  066
84:  066  066  066
85:  066  067  066
86:  068  067  067
87:  068  068  068
88:  068  069  068
89:  070  069  069
90:  069  070  070
91:  071  070  070
92:  071  071  071
93:  071  072  071
94:  073  072  073
95:  073  073  073
96:  073  074  073
97:  075  074  074
98:  075  075  074
99:  075  076  075
100:  077  076  076
101:  077  077  076
102:  077  078  077
103:  079  078  079
104:  079  079  078
105:  079  080  079
106:  081  080  080
107:  080  081  080
108:  082  081  082
109:  082  082  081
110:  082  083  082
111:  084  083  084
112:  084  084  083
113:  084  085  084
114:  086  085  086
115:  086  086  086
116:  086  087  086
117:  088  087  087
118:  088  088  088
119:  088  089  089
120:  089  090  089
121:  091  090  091
122:  091  091  091
123:  091  092  091
124:  092  093  092
125:  094  093  093
126:  094  094  094
127:  095  095  094
128:  095  096  095
129:  097  096  097
130:  098  097  097
131:  098  098  097
132:  098  099  098
133:  099  100  099
134:  101  100  101
135:  102  101  101
136:  102  102  102
137:  103  103  102
138:  103  104  103
139:  104  105  104
140:  105  106  105
141:  107  106  107
142:  108  107  108
143:  109  108  108
144:  109  109  110
145:  110  110  111
146:  111  111  111
147:  112  112  112
148:  113  113  114
149:  114  114  115
150:  115  115  116
151:  116  116  117
152:  117  117  118
153:  119  118  118
154:  120  119  119
155:  121  120  121
156:  122  121  122
157:  122  123  122
158:  123  124  123
159:  124  125  124
160:  126  126  125
161:  126  127  127
162:  127  128  127
163:  128  129  128
164:  130  129  129
165:  131  130  130
166:  131  131  132
167:  132  132  132
168:  133  133  132
169:  133  134  134
170:  134  135  135
171:  135  136  135
172:  136  137  136
173:  137  138  137
174:  138  139  138
175:  140  139  140
176:  141  140  141
177:  142  141  142
178:  143  142  142
179:  144  143  144
180:  145  144  145
181:  146  145  146
182:  147  146  146
183:  148  147  147
184:  149  148  149
185:  150  149  149
186:  151  150  150
187:  152  151  151
188:  153  152  152
189:  154  153  154
190:  155  154  155
191:  156  155  156
192:  156  157  156
193:  157  158  157
194:  158  159  159
195:  159  160  160
196:  160  161  161
197:  162  162  162
198:  163  163  164
199:  165  164  164
200:  166  165  166
201:  166  167  166
202:  167  168  168
203:  169  169  168
204:  170  170  171
205:  172  171  172
206:  173  172  172
207:  173  174  173
208:  175  175  174
209:  177  176  177
210:  178  177  177
211:  178  179  178
212:  180  180  180
213:  182  181  182
214:  182  183  182
215:  184  185  184
216:  185  186  185
217:  187  187  187
218:  189  188  188
219:  190  190  190
220:  192  191  191
221:  193  192  193
222:  193  194  193
223:  194  195  195
224:  197  196  196
225:  197  198  197
226:  198  199  198
227:  199  200  200
228:  202  201  201
229:  202  203  203
230:  203  204  203
231:  206  205  205
232:  206  207  206
233:  207  208  208
234:  210  209  209
235:  210  211  210
236:  212  212  211
237:  213  214  213
238:  215  215  214
239:  216  217  217
240:  219  218  218
241:  219  220  219
242:  221  221  221
243:  223  223  223
244:  224  225  225
245:  226  227  227
246:  228  229  229
247:  230  231  230
248:  232  233  232
249:  234  235  234
250:  236  237  237
251:  239  239  239
252:  241  242  242
253:  244  244  244
254:  246  247  247
255:  251  250  251
256:  254  254  253
