# LutGenerate 2.4 - 01/15/07 15:03:17
#  Display ID: DELL_3007WFP_FK28569QG3UF
# Ambient = 0.10   Max. Luminance = 349.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/15/07 15:02:39
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.7% G=68.7% B=8.6%
1:  019  019  020
2:  020  020  019
3:  020  021  021
4:  021  022  021
5:  023  022  023
6:  023  023  023
7:  023  024  023
8:  025  024  025
9:  025  025  024
10:  025  026  025
11:  026  026  027
12:  026  027  026
13:  028  027  028
14:  028  028  027
15:  028  029  028
16:  029  029  030
17:  029  030  029
18:  031  030  030
19:  030  031  031
20:  032  031  032
21:  031  032  032
22:  033  032  033
23:  033  033  032
24:  034  033  034
25:  034  034  033
26:  035  034  035
27:  035  035  035
28:  035  036  035
29:  036  036  037
30:  036  037  036
31:  038  037  037
32:  037  038  037
33:  039  038  038
34:  038  039  039
35:  040  039  040
36:  040  040  039
37:  041  040  041
38:  041  041  040
39:  042  041  042
40:  042  042  042
41:  043  042  043
42:  043  043  043
43:  043  044  043
44:  044  044  045
45:  044  045  044
46:  045  045  046
47:  045  046  045
48:  046  046  047
49:  046  047  046
50:  047  047  048
51:  047  048  047
52:  048  048  049
53:  048  049  048
54:  049  049  050
55:  049  050  049
56:  050  050  051
57:  050  051  050
58:  051  051  052
59:  051  052  051
60:  052  052  053
61:  052  053  052
62:  053  053  054
63:  053  054  053
64:  055  054  054
65:  054  055  054
66:  056  055  055
67:  055  056  056
68:  057  056  057
69:  056  057  057
70:  058  057  058
71:  057  058  058
72:  059  058  059
73:  058  059  059
74:  060  059  060
75:  060  060  059
76:  061  060  061
77:  061  061  060
78:  062  061  062
79:  062  062  061
80:  063  062  063
81:  063  063  062
82:  064  063  064
83:  064  064  065
84:  064  065  064
85:  066  065  065
86:  065  066  066
87:  067  066  067
88:  067  067  067
89:  067  068  068
90:  069  068  069
91:  069  069  068
92:  069  070  069
93:  071  070  070
94:  070  071  071
95:  072  071  072
96:  072  072  072
97:  072  073  072
98:  074  073  073
99:  074  074  073
100:  074  075  074
101:  076  075  075
102:  076  076  075
103:  076  077  076
104:  078  077  077
105:  077  078  078
106:  079  078  079
107:  080  079  079
108:  080  080  079
109:  081  080  081
110:  080  081  081
111:  081  082  081
112:  082  082  083
113:  082  083  083
114:  084  083  084
115:  084  084  085
116:  084  085  085
117:  086  085  086
118:  086  086  087
119:  086  087  087
120:  087  088  087
121:  089  088  088
122:  089  089  088
123:  089  090  089
124:  091  090  090
125:  091  091  091
126:  091  092  091
127:  092  093  092
128:  094  093  093
129:  094  094  095
130:  095  095  094
131:  095  096  095
132:  097  096  096
133:  097  097  097
134:  098  098  097
135:  098  099  098
136:  099  100  099
137:  101  100  100
138:  101  101  102
139:  102  102  101
140:  102  103  102
141:  103  104  103
142:  105  104  104
143:  106  105  106
144:  107  106  106
145:  107  107  107
146:  108  108  107
147:  108  109  109
148:  109  110  110
149:  110  111  110
150:  111  112  111
151:  112  113  112
152:  113  114  113
153:  114  115  114
154:  115  116  115
155:  116  117  116
156:  117  118  117
157:  118  119  119
158:  120  120  119
159:  121  121  121
160:  122  122  122
161:  123  123  124
162:  125  124  124
163:  126  125  126
164:  127  126  127
165:  128  127  128
166:  128  128  129
167:  129  129  129
168:  129  130  130
169:  130  131  130
170:  131  132  131
171:  133  132  133
172:  134  133  133
173:  135  134  135
174:  136  135  135
175:  137  136  136
176:  138  137  137
177:  139  138  138
178:  139  139  140
179:  140  140  139
180:  141  141  142
181:  142  142  142
182:  143  143  143
183:  144  144  144
184:  145  145  145
185:  146  146  146
186:  147  147  146
187:  148  148  148
188:  149  149  149
189:  150  150  149
190:  151  151  151
191:  152  152  152
192:  153  153  154
193:  154  154  154
194:  155  155  156
195:  157  156  156
196:  158  157  158
197:  159  158  159
198:  159  160  159
199:  160  161  160
200:  161  162  162
201:  163  163  162
202:  164  164  165
203:  166  165  165
204:  167  166  167
205:  167  168  167
206:  169  169  168
207:  170  170  171
208:  172  171  172
209:  172  173  172
210:  173  174  174
211:  175  175  176
212:  177  176  177
213:  177  178  177
214:  180  179  180
215:  180  180  181
216:  181  182  181
217:  183  183  183
218:  184  185  185
219:  186  186  187
220:  188  187  188
221:  189  189  188
222:  191  190  191
223:  192  192  191
224:  193  193  193
225:  194  194  194
226:  195  196  195
227:  196  197  196
228:  198  198  199
229:  200  199  199
230:  200  201  200
231:  202  202  203
232:  203  204  203
233:  204  205  204
234:  207  206  206
235:  207  208  207
236:  210  209  209
237:  210  211  210
238:  213  212  212
239:  214  214  214
240:  215  216  215
241:  217  217  218
242:  218  219  218
243:  220  221  221
244:  222  222  223
245:  225  224  224
246:  226  227  226
247:  229  228  228
248:  230  231  230
249:  232  233  232
250:  234  235  235
251:  238  237  237
252:  240  240  239
253:  242  243  242
254:  245  246  245
255:  250  250  249
256:  254  254  254
