# LutGenerate 2.4 - 01/15/07 10:53:06
#  Display ID: DELL_3007WFP_FK28569QG3VH
# Ambient = 0.10   Max. Luminance = 361.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/15/07 10:52:01
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.7% G=68.4% B=8.9%
1:  020  019  019
2:  021  020  020
3:  021  021  022
4:  022  022  022
5:  022  023  023
6:  023  024  023
7:  025  024  025
8:  025  025  025
9:  025  026  025
10:  027  026  027
11:  027  027  027
12:  027  028  027
13:  029  028  029
14:  029  029  029
15:  029  030  029
16:  031  030  030
17:  031  031  030
18:  032  031  032
19:  032  032  032
20:  032  033  032
21:  033  033  034
22:  033  034  033
23:  035  034  035
24:  035  035  034
25:  036  035  036
26:  036  036  036
27:  036  037  036
28:  038  037  037
29:  037  038  038
30:  039  038  039
31:  039  039  038
32:  039  040  039
33:  040  040  041
34:  040  041  040
35:  042  041  042
36:  041  042  042
37:  043  042  043
38:  043  043  042
39:  043  044  043
40:  044  044  044
41:  044  045  044
42:  045  045  046
43:  045  046  045
44:  047  046  046
45:  046  047  047
46:  048  047  048
47:  047  048  048
48:  049  048  049
49:  049  049  048
50:  050  049  050
51:  050  050  050
52:  050  051  050
53:  051  051  052
54:  051  052  051
55:  053  052  052
56:  052  053  052
57:  054  053  053
58:  053  054  054
59:  055  054  055
60:  055  055  054
61:  056  055  056
62:  056  056  056
63:  056  057  056
64:  057  057  058
65:  057  058  057
66:  058  058  059
67:  058  059  058
68:  060  059  059
69:  059  060  060
70:  061  060  061
71:  061  061  060
72:  062  061  062
73:  062  062  061
74:  063  062  063
75:  063  063  063
76:  063  064  063
77:  065  064  064
78:  064  065  065
79:  066  065  066
80:  066  066  066
81:  066  067  066
82:  068  067  068
83:  068  068  067
84:  068  069  068
85:  070  069  069
86:  069  070  070
87:  071  070  071
88:  071  071  072
89:  072  072  071
90:  073  072  073
91:  073  073  074
92:  073  074  073
93:  075  074  075
94:  075  075  075
95:  075  076  075
96:  077  076  077
97:  077  077  077
98:  077  078  077
99:  079  078  078
100:  079  079  080
101:  079  080  080
102:  081  080  081
103:  081  081  082
104:  081  082  082
105:  082  083  082
106:  084  083  084
107:  084  084  083
108:  085  084  085
109:  085  085  086
110:  086  086  085
111:  086  087  086
112:  088  087  087
113:  088  088  087
114:  088  089  088
115:  090  089  089
116:  091  090  090
117:  090  091  091
118:  091  092  091
119:  093  092  093
120:  093  093  094
121:  094  094  093
122:  094  095  094
123:  096  095  096
124:  096  096  097
125:  097  097  097
126:  097  098  098
127:  098  099  098
128:  100  099  099
129:  101  100  100
130:  101  101  102
131:  102  102  101
132:  102  103  102
133:  103  104  103
134:  105  104  104
135:  106  105  105
136:  107  106  106
137:  107  107  107
138:  108  108  108
139:  109  109  108
140:  109  110  110
141:  110  111  111
142:  111  112  111
143:  112  113  112
144:  113  114  113
145:  114  115  114
146:  115  116  115
147:  116  117  116
148:  117  118  117
149:  118  119  119
150:  120  120  120
151:  121  121  122
152:  123  122  122
153:  124  123  124
154:  125  124  125
155:  125  126  125
156:  126  127  126
157:  128  127  128
158:  129  128  128
159:  129  129  130
160:  130  130  130
161:  130  131  131
162:  131  132  131
163:  132  133  132
164:  133  134  133
165:  135  134  135
166:  136  135  135
167:  137  136  136
168:  138  137  137
169:  138  138  139
170:  139  139  140
171:  140  140  140
172:  141  141  141
173:  142  142  141
174:  142  143  143
175:  144  144  143
176:  144  145  144
177:  145  146  145
178:  146  147  146
179:  147  148  147
180:  148  149  148
181:  149  150  149
182:  150  151  150
183:  151  152  151
184:  152  153  153
185:  153  154  154
186:  154  155  154
187:  155  156  156
188:  156  157  157
189:  157  158  158
190:  159  159  159
191:  160  160  161
192:  161  161  161
193:  162  162  163
194:  164  163  164
195:  165  164  165
196:  166  165  166
197:  166  167  166
198:  167  168  168
199:  169  169  168
200:  170  170  171
201:  172  171  171
202:  172  173  172
203:  173  174  174
204:  175  175  174
205:  176  176  177
206:  178  177  177
207:  178  179  178
208:  180  180  180
209:  182  181  182
210:  182  183  183
211:  183  184  184
212:  185  185  186
213:  186  187  186
214:  188  188  187
215:  190  189  189
216:  190  191  190
217:  191  192  191
218:  193  193  194
219:  195  194  195
220:  195  196  195
221:  196  197  196
222:  198  198  197
223:  199  199  199
224:  201  200  201
225:  202  201  202
226:  202  203  202
227:  203  204  204
228:  206  205  205
229:  206  207  206
230:  208  208  208
231:  209  209  210
232:  210  211  210
233:  212  212  211
234:  214  213  213
235:  214  215  214
236:  217  216  216
237:  217  218  217
238:  219  219  220
239:  221  220  220
240:  223  222  222
241:  223  224  223
242:  225  225  226
243:  227  227  227
244:  229  229  228
245:  230  231  230
246:  232  233  232
247:  234  234  234
248:  237  236  236
249:  239  238  238
250:  240  240  240
251:  243  242  242
252:  245  244  245
253:  247  246  247
254:  249  249  248
255:  251  252  251
256:  254  254  254
