# LutGenerate 2.4 - 01/09/07 16:07:53
#  Display ID: DELL_3007WFP_FK28569QG3VN
# Ambient = 0.10   Max. Luminance = 388.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/09/07 16:06:09
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.9% G=68.2% B=8.8%
1:  021  020  020
2:  021  021  021
3:  021  022  022
4:  023  022  023
5:  023  023  024
6:  023  024  023
7:  025  024  025
8:  025  025  024
9:  026  025  026
10:  026  026  026
11:  026  027  026
12:  028  027  027
13:  027  028  028
14:  029  028  029
15:  029  029  028
16:  030  029  030
17:  030  030  030
18:  030  031  030
19:  031  031  032
20:  031  032  031
21:  032  032  033
22:  032  033  032
23:  033  033  034
24:  033  034  033
25:  034  034  035
26:  034  035  034
27:  035  035  036
28:  035  036  035
29:  037  036  036
30:  036  037  036
31:  038  037  037
32:  037  038  038
33:  039  038  038
34:  038  039  039
35:  040  039  040
36:  040  040  039
37:  041  040  041
38:  041  041  040
39:  042  041  042
40:  042  042  041
41:  043  042  043
42:  043  043  043
43:  044  043  044
44:  044  044  044
45:  045  044  045
46:  045  045  045
47:  046  045  046
48:  046  046  046
49:  047  046  047
50:  047  047  046
51:  048  047  048
52:  048  048  047
53:  049  048  049
54:  049  049  048
55:  050  049  050
56:  050  050  049
57:  051  050  051
58:  051  051  050
59:  052  051  052
60:  052  052  051
61:  053  052  053
62:  053  053  053
63:  054  053  054
64:  054  054  054
65:  055  054  055
66:  055  055  055
67:  055  056  055
68:  056  056  057
69:  056  057  056
70:  057  057  058
71:  057  058  057
72:  058  058  059
73:  058  059  058
74:  059  059  060
75:  059  060  059
76:  061  060  060
77:  060  061  060
78:  062  061  061
79:  061  062  061
80:  063  062  062
81:  062  063  062
82:  064  063  063
83:  063  064  064
84:  065  064  065
85:  065  065  065
86:  065  066  065
87:  067  066  066
88:  067  067  066
89:  068  067  068
90:  068  068  068
91:  068  069  068
92:  070  069  069
93:  070  070  069
94:  070  071  070
95:  072  071  071
96:  072  072  071
97:  072  073  072
98:  074  073  073
99:  073  074  074
100:  075  074  075
101:  075  075  076
102:  075  076  076
103:  077  076  076
104:  077  077  078
105:  077  078  077
106:  078  078  079
107:  078  079  079
108:  080  079  080
109:  080  080  079
110:  080  081  080
111:  082  081  081
112:  082  082  081
113:  083  082  083
114:  084  083  083
115:  083  084  084
116:  084  085  084
117:  085  085  086
118:  085  086  086
119:  086  087  086
120:  088  087  088
121:  088  088  088
122:  088  089  088
123:  090  089  090
124:  090  090  090
125:  091  091  090
126:  091  092  091
127:  093  092  092
128:  093  093  093
129:  093  094  094
130:  094  095  094
131:  096  095  096
132:  096  096  096
133:  097  097  096
134:  097  098  097
135:  099  098  098
136:  100  099  099
137:  100  100  101
138:  100  101  101
139:  101  102  101
140:  103  102  103
141:  104  103  103
142:  105  104  104
143:  105  105  106
144:  106  106  106
145:  106  107  107
146:  107  108  107
147:  108  109  109
148:  109  110  109
149:  110  111  110
150:  111  112  111
151:  112  113  112
152:  113  114  113
153:  114  115  114
154:  115  116  115
155:  116  117  116
156:  117  118  117
157:  118  119  119
158:  120  120  119
159:  121  121  120
160:  122  122  123
161:  124  123  123
162:  125  124  124
163:  126  125  126
164:  127  126  127
165:  128  127  128
166:  129  128  128
167:  129  129  128
168:  130  130  129
169:  130  131  130
170:  131  132  131
171:  132  133  132
172:  134  133  134
173:  135  134  135
174:  136  135  135
175:  136  136  137
176:  137  137  138
177:  138  138  139
178:  139  139  139
179:  140  140  139
180:  141  141  140
181:  142  142  141
182:  143  143  143
183:  143  144  144
184:  145  145  144
185:  145  146  146
186:  146  147  147
187:  147  148  148
188:  148  149  149
189:  149  150  150
190:  150  151  151
191:  152  152  152
192:  153  153  153
193:  154  154  155
194:  155  155  156
195:  157  156  156
196:  158  157  157
197:  159  158  158
198:  160  159  160
199:  161  160  161
200:  162  161  162
201:  162  163  162
202:  164  164  163
203:  165  165  165
204:  167  166  166
205:  168  167  168
206:  168  169  168
207:  169  170  169
208:  171  171  171
209:  172  172  173
210:  174  173  173
211:  174  175  174
212:  177  176  176
213:  177  178  178
214:  178  179  179
215:  180  180  179
216:  181  181  182
217:  182  183  182
218:  184  184  185
219:  185  186  185
220:  187  187  187
221:  188  189  188
222:  190  190  189
223:  192  191  192
224:  192  193  193
225:  194  194  194
226:  195  195  195
227:  197  196  196
228:  197  198  197
229:  199  199  198
230:  201  200  200
231:  201  202  202
232:  203  203  203
233:  204  205  204
234:  206  206  206
235:  207  208  207
236:  208  209  209
237:  210  211  210
238:  213  212  212
239:  214  213  214
240:  215  215  214
241:  216  217  216
242:  218  219  218
243:  221  220  221
244:  222  222  223
245:  224  224  223
246:  226  226  225
247:  229  228  228
248:  230  230  230
249:  232  232  233
250:  234  235  234
251:  237  237  237
252:  240  239  239
253:  243  242  243
254:  245  246  245
255:  249  249  248
256:  253  254  254
