# LutGenerate 2.4 - 01/15/07 16:19:50
#  Display ID: DELL_3007WFP_FK28569QG3WV
# Ambient = 0.10   Max. Luminance = 359.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/15/07 16:18:47
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.3% G=68.2% B=8.5%
1:  020  019  019
2:  020  020  021
3:  022  021  022
4:  022  022  022
5:  022  023  022
6:  024  023  024
7:  024  024  024
8:  024  025  024
9:  026  025  025
10:  025  026  026
11:  027  026  027
12:  027  027  027
13:  027  028  027
14:  029  028  028
15:  028  029  029
16:  030  029  030
17:  030  030  029
18:  031  030  031
19:  031  031  031
20:  031  032  031
21:  032  032  032
22:  032  033  032
23:  033  033  034
24:  033  034  033
25:  034  034  035
26:  034  035  034
27:  036  035  035
28:  035  036  035
29:  037  036  036
30:  036  037  037
31:  038  037  038
32:  038  038  037
33:  039  038  039
34:  039  039  039
35:  039  040  039
36:  040  040  041
37:  040  041  040
38:  041  041  042
39:  041  042  041
40:  043  042  042
41:  042  043  042
42:  044  043  043
43:  043  044  043
44:  045  044  044
45:  044  045  044
46:  046  045  045
47:  045  046  046
48:  047  046  046
49:  046  047  047
50:  048  047  047
51:  047  048  047
52:  049  048  048
53:  048  049  049
54:  050  049  049
55:  049  050  050
56:  051  050  050
57:  050  051  051
58:  052  051  052
59:  051  052  052
60:  053  052  053
61:  052  053  053
62:  054  053  054
63:  054  054  053
64:  055  054  055
65:  055  055  054
66:  056  055  056
67:  056  056  056
68:  056  057  056
69:  057  057  058
70:  057  058  057
71:  058  058  059
72:  058  059  058
73:  060  059  059
74:  059  060  059
75:  061  060  060
76:  060  061  060
77:  062  061  061
78:  061  062  062
79:  063  062  063
80:  062  063  063
81:  064  063  064
82:  064  064  063
83:  064  065  064
84:  065  065  066
85:  065  066  066
86:  067  066  067
87:  067  067  066
88:  067  068  067
89:  069  068  069
90:  069  069  068
91:  069  070  069
92:  070  070  071
93:  070  071  071
94:  072  071  071
95:  072  072  073
96:  072  073  072
97:  074  073  073
98:  074  074  074
99:  074  075  074
100:  076  075  076
101:  076  076  077
102:  076  077  076
103:  078  077  077
104:  078  078  078
105:  078  079  079
106:  080  079  080
107:  081  080  080
108:  080  081  080
109:  082  081  081
110:  081  082  082
111:  083  082  083
112:  083  083  084
113:  083  084  084
114:  084  085  084
115:  086  085  085
116:  086  086  085
117:  086  087  086
118:  088  087  087
119:  088  088  088
120:  088  089  088
121:  090  089  090
122:  090  090  091
123:  091  091  090
124:  091  092  092
125:  093  092  092
126:  094  093  093
127:  094  094  093
128:  094  095  094
129:  096  095  096
130:  097  096  097
131:  097  097  098
132:  098  098  097
133:  098  099  098
134:  099  100  099
135:  101  100  100
136:  101  101  102
137:  102  102  102
138:  103  103  102
139:  103  104  103
140:  104  105  104
141:  105  106  105
142:  107  106  107
143:  108  107  107
144:  109  108  109
145:  110  109  109
146:  111  110  110
147:  111  111  112
148:  112  112  113
149:  113  113  114
150:  114  114  115
151:  116  115  115
152:  117  116  116
153:  118  117  118
154:  119  118  119
155:  120  119  119
156:  120  121  120
157:  121  122  121
158:  123  123  122
159:  124  124  123
160:  126  125  125
161:  127  126  126
162:  128  127  127
163:  128  128  128
164:  129  129  128
165:  129  130  129
166:  130  131  130
167:  132  131  132
168:  133  132  133
169:  134  133  133
170:  135  134  134
171:  135  135  136
172:  136  136  136
173:  137  137  137
174:  138  138  137
175:  139  139  138
176:  139  140  140
177:  140  141  141
178:  141  142  142
179:  142  143  142
180:  143  144  143
181:  144  145  144
182:  145  146  145
183:  146  147  146
184:  147  148  147
185:  148  149  148
186:  149  150  149
187:  150  151  150
188:  151  152  151
189:  152  153  152
190:  153  154  153
191:  154  155  155
192:  155  156  156
193:  156  157  157
194:  158  158  157
195:  159  159  160
196:  160  160  161
197:  162  161  161
198:  163  162  163
199:  163  164  163
200:  164  165  164
201:  166  166  165
202:  167  167  167
203:  169  168  168
204:  170  169  170
205:  170  171  170
206:  171  172  172
207:  173  173  174
208:  175  174  174
209:  175  176  175
210:  176  177  177
211:  178  178  179
212:  180  179  179
213:  180  181  180
214:  182  182  181
215:  184  183  184
216:  184  185  184
217:  186  186  186
218:  188  188  187
219:  189  189  190
220:  190  191  190
221:  191  192  191
222:  194  193  193
223:  195  194  194
224:  195  196  195
225:  197  197  196
226:  198  198  199
227:  200  199  199
228:  200  201  200
229:  202  202  202
230:  203  203  203
231:  204  205  204
232:  206  206  205
233:  208  207  208
234:  208  209  209
235:  211  210  210
236:  211  212  211
237:  213  213  212
238:  214  215  214
239:  217  216  216
240:  217  218  217
241:  219  220  219
242:  220  221  221
243:  222  223  223
244:  225  224  225
245:  227  226  227
246:  229  228  229
247:  230  231  230
248:  232  233  232
249:  234  235  234
250:  236  237  236
251:  238  239  239
252:  242  241  241
253:  244  244  244
254:  246  247  247
255:  249  250  249
256:  253  254  253
