# LutGenerate 2.4 - 01/13/07 12:59:33
#  Display ID: DELL_3007WFP_FK28569QG3WX
# Ambient = 0.10   Max. Luminance = 345.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/13/07 12:58:45
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.4% G=68.0% B=8.6%
1:  019  020  019
2:  020  021  020
3:  022  021  022
4:  023  022  022
5:  023  023  022
6:  023  024  023
7:  025  024  024
8:  025  025  024
9:  025  026  025
10:  027  026  026
11:  026  027  027
12:  028  027  028
13:  028  028  028
14:  028  029  028
15:  030  029  030
16:  030  030  029
17:  031  030  031
18:  031  031  031
19:  031  032  031
20:  032  032  033
21:  032  033  032
22:  034  033  033
23:  033  034  033
24:  035  034  034
25:  034  035  035
26:  036  035  036
27:  036  036  035
28:  037  036  037
29:  037  037  037
30:  037  038  037
31:  038  038  039
32:  038  039  038
33:  040  039  040
34:  039  040  040
35:  041  040  041
36:  041  041  040
37:  042  041  042
38:  042  042  042
39:  042  043  042
40:  043  043  044
41:  043  044  043
42:  044  044  045
43:  044  045  044
44:  046  045  045
45:  045  046  045
46:  047  046  046
47:  046  047  047
48:  048  047  047
49:  047  048  048
50:  049  048  049
51:  048  049  049
52:  050  049  050
53:  050  050  049
54:  051  050  051
55:  051  051  050
56:  052  051  052
57:  052  052  052
58:  052  053  052
59:  053  053  053
60:  053  054  053
61:  054  054  055
62:  054  055  054
63:  056  055  055
64:  055  056  055
65:  057  056  056
66:  056  057  057
67:  058  057  058
68:  058  058  057
69:  059  058  059
70:  059  059  058
71:  060  059  060
72:  060  060  060
73:  060  061  060
74:  061  061  062
75:  061  062  061
76:  062  062  063
77:  062  063  062
78:  064  063  063
79:  063  064  064
80:  065  064  065
81:  065  065  065
82:  065  066  065
83:  067  066  066
84:  067  067  066
85:  068  067  068
86:  068  068  069
87:  068  069  069
88:  070  069  070
89:  070  070  071
90:  070  071  070
91:  072  071  072
92:  072  072  073
93:  072  073  072
94:  074  073  074
95:  074  074  075
96:  074  075  074
97:  076  075  076
98:  076  076  075
99:  076  077  076
100:  078  077  078
101:  078  078  078
102:  078  079  078
103:  080  079  079
104:  080  080  081
105:  080  081  081
106:  082  081  081
107:  082  082  083
108:  083  083  082
109:  084  083  084
110:  084  084  084
111:  084  085  085
112:  086  085  086
113:  086  086  087
114:  087  087  086
115:  087  088  087
116:  089  088  088
117:  089  089  089
118:  089  090  090
119:  091  090  091
120:  092  091  091
121:  092  092  092
122:  092  093  093
123:  093  094  093
124:  095  094  095
125:  095  095  095
126:  095  096  096
127:  096  097  096
128:  097  098  097
129:  099  098  098
130:  099  099  100
131:  100  100  100
132:  100  101  101
133:  101  102  101
134:  103  102  103
135:  104  103  103
136:  104  104  104
137:  105  105  106
138:  106  106  106
139:  106  107  107
140:  107  108  107
141:  108  109  109
142:  109  110  109
143:  110  111  110
144:  111  112  111
145:  113  112  113
146:  113  114  113
147:  114  115  114
148:  115  116  115
149:  116  117  116
150:  117  118  117
151:  118  119  118
152:  120  120  119
153:  121  121  121
154:  123  122  122
155:  124  123  123
156:  125  124  124
157:  125  126  125
158:  126  127  126
159:  128  127  128
160:  129  128  129
161:  129  129  130
162:  130  130  130
163:  130  131  131
164:  131  132  131
165:  132  133  132
166:  133  134  133
167:  135  134  135
168:  136  135  136
169:  137  136  137
170:  138  137  137
171:  139  138  138
172:  139  139  139
173:  140  140  141
174:  141  141  141
175:  142  142  141
176:  143  143  142
177:  144  144  143
178:  144  145  145
179:  145  146  146
180:  146  147  147
181:  147  148  148
182:  148  149  148
183:  149  150  150
184:  150  151  151
185:  151  152  152
186:  152  153  152
187:  153  154  153
188:  154  155  155
189:  156  156  155
190:  156  157  157
191:  158  158  157
192:  159  159  158
193:  160  160  160
194:  161  161  161
195:  162  162  163
196:  164  163  163
197:  165  164  165
198:  166  165  166
199:  166  167  166
200:  167  168  168
201:  169  169  168
202:  170  170  171
203:  172  171  171
204:  173  172  172
205:  173  174  173
206:  175  175  175
207:  176  176  177
208:  178  177  178
209:  178  179  178
210:  180  180  180
211:  182  181  181
212:  182  183  182
213:  184  184  184
214:  186  185  186
215:  187  187  186
216:  187  188  188
217:  190  189  189
218:  190  191  190
219:  192  192  192
220:  194  193  193
221:  195  194  195
222:  195  196  195
223:  196  197  196
224:  198  198  198
225:  200  199  199
226:  201  200  200
227:  201  202  201
228:  202  203  202
229:  205  204  204
230:  205  206  205
231:  206  207  207
232:  209  208  208
233:  209  210  210
234:  212  211  211
235:  213  212  213
236:  213  214  213
237:  216  215  216
238:  216  217  216
239:  219  218  218
240:  220  220  219
241:  222  221  222
242:  222  223  222
243:  224  225  224
244:  227  226  227
245:  228  229  228
246:  230  230  230
247:  232  232  231
248:  234  234  233
249:  235  236  235
250:  237  238  238
251:  240  240  241
252:  242  243  242
253:  245  245  244
254:  247  248  247
255:  251  251  250
256:  254  254  253
