# LutGenerate 2.4 - 01/09/07 16:41:54
#  Display ID: DELL_3007WFP_FK28569QG3YK
# Ambient = 0.10   Max. Luminance = 356.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/09/07 16:41:12
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.8% G=68.7% B=8.5%
1:  020  020  020
2:  021  021  020
3:  021  022  021
4:  023  022  023
5:  023  023  024
6:  023  024  024
7:  025  024  025
8:  025  025  025
9:  025  026  025
10:  027  026  026
11:  027  027  026
12:  028  027  028
13:  028  028  029
14:  028  029  028
15:  030  029  030
16:  030  030  029
17:  031  030  031
18:  031  031  032
19:  031  032  031
20:  032  032  033
21:  032  033  032
22:  033  033  034
23:  033  034  033
24:  035  034  034
25:  034  035  035
26:  036  035  036
27:  036  036  035
28:  037  036  037
29:  037  037  037
30:  037  038  037
31:  038  038  039
32:  038  039  038
33:  040  039  039
34:  039  040  039
35:  041  040  041
36:  041  041  040
37:  042  041  042
38:  042  042  041
39:  043  042  043
40:  043  043  042
41:  044  043  044
42:  044  044  044
43:  044  045  044
44:  045  045  045
45:  045  046  045
46:  046  046  047
47:  046  047  046
48:  047  047  048
49:  047  048  047
50:  048  048  049
51:  048  049  048
52:  050  049  049
53:  049  050  049
54:  051  050  050
55:  050  051  050
56:  052  051  051
57:  051  052  052
58:  053  052  053
59:  052  053  053
60:  054  053  054
61:  054  054  053
62:  055  054  055
63:  055  055  054
64:  056  055  056
65:  056  056  056
66:  056  057  056
67:  057  057  058
68:  057  058  057
69:  058  058  059
70:  058  059  058
71:  060  059  059
72:  059  060  059
73:  061  060  060
74:  060  061  061
75:  062  061  062
76:  061  062  062
77:  063  062  063
78:  063  063  062
79:  064  063  064
80:  064  064  064
81:  064  065  064
82:  066  065  065
83:  065  066  066
84:  067  066  067
85:  067  067  067
86:  067  068  067
87:  069  068  069
88:  069  069  068
89:  069  070  069
90:  071  070  070
91:  071  071  070
92:  071  072  071
93:  073  072  072
94:  072  073  073
95:  074  073  074
96:  074  074  074
97:  074  075  074
98:  076  075  076
99:  076  076  075
100:  076  077  076
101:  078  077  078
102:  078  078  077
103:  078  079  078
104:  080  079  080
105:  080  080  081
106:  080  081  080
107:  082  081  082
108:  082  082  081
109:  082  083  082
110:  084  083  083
111:  083  084  084
112:  085  084  085
113:  085  085  086
114:  086  086  085
115:  086  087  086
116:  088  087  087
117:  088  088  087
118:  088  089  088
119:  090  089  090
120:  090  090  091
121:  091  091  090
122:  091  092  091
123:  093  092  093
124:  093  093  094
125:  094  094  093
126:  094  095  094
127:  096  095  096
128:  097  096  096
129:  097  097  096
130:  097  098  098
131:  098  099  098
132:  100  099  100
133:  101  100  100
134:  101  101  102
135:  102  102  101
136:  102  103  102
137:  103  104  103
138:  105  104  105
139:  106  105  106
140:  107  106  106
141:  107  107  108
142:  108  108  107
143:  109  109  108
144:  109  110  110
145:  110  111  111
146:  111  112  111
147:  112  113  112
148:  113  114  114
149:  114  115  114
150:  115  116  115
151:  116  117  117
152:  118  118  117
153:  119  119  119
154:  120  120  121
155:  122  121  121
156:  123  122  123
157:  124  123  124
158:  124  125  124
159:  125  126  125
160:  126  127  126
161:  127  128  127
162:  129  128  129
163:  130  129  129
164:  130  130  131
165:  131  131  131
166:  132  132  131
167:  132  133  133
168:  133  134  133
169:  134  135  134
170:  135  136  135
171:  136  137  136
172:  137  138  137
173:  138  139  138
174:  140  139  140
175:  141  140  141
176:  142  141  142
177:  143  142  143
178:  144  143  144
179:  145  144  145
180:  146  145  146
181:  147  146  147
182:  148  147  148
183:  149  148  149
184:  150  149  150
185:  151  150  150
186:  152  151  151
187:  153  152  153
188:  154  153  154
189:  155  154  155
190:  155  156  155
191:  156  157  156
192:  157  158  157
193:  158  159  159
194:  159  160  160
195:  161  161  161
196:  162  162  163
197:  164  163  163
198:  165  164  165
199:  165  166  165
200:  166  167  166
201:  168  168  167
202:  169  169  170
203:  171  170  170
204:  171  172  171
205:  172  173  172
206:  174  174  173
207:  176  175  176
208:  176  177  176
209:  177  178  178
210:  180  179  179
211:  180  181  180
212:  182  182  182
213:  184  183  184
214:  184  185  184
215:  186  186  187
216:  188  187  188
217:  189  189  189
218:  191  190  190
219:  191  192  191
220:  192  193  192
221:  194  194  193
222:  195  195  195
223:  197  196  196
224:  197  198  197
225:  198  199  199
226:  200  200  201
227:  202  201  201
228:  202  203  202
229:  204  204  204
230:  206  205  205
231:  206  207  206
232:  208  208  208
233:  210  209  210
234:  211  211  210
235:  212  213  212
236:  213  214  213
237:  216  215  215
238:  216  217  216
239:  218  218  218
240:  219  220  220
241:  221  221  222
242:  223  223  222
243:  224  225  224
244:  226  227  226
245:  228  229  228
246:  230  230  230
247:  232  232  232
248:  234  234  233
249:  236  236  236
250:  238  238  237
251:  240  240  241
252:  242  243  242
253:  246  245  246
254:  247  248  248
255:  250  251  250
256:  253  254  253
