# LutGenerate 2.4 - 01/10/07 07:21:06
#  Display ID: DELL_3007WFP_FK28569QG3Z3
# Ambient = 0.10   Max. Luminance = 344.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/10/07 07:20:16
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.8% G=68.4% B=8.8%
1:  019  019  019
2:  020  020  019
3:  020  021  021
4:  022  021  022
5:  023  022  022
6:  023  023  022
7:  023  024  023
8:  025  024  024
9:  024  025  025
10:  026  025  026
11:  026  026  026
12:  026  027  026
13:  027  027  028
14:  027  028  028
15:  029  028  029
16:  029  029  028
17:  030  029  030
18:  030  030  031
19:  030  031  030
20:  032  031  031
21:  031  032  031
22:  032  032  033
23:  032  033  032
24:  034  033  033
25:  033  034  033
26:  035  034  034
27:  034  035  035
28:  036  035  036
29:  036  036  035
30:  037  036  037
31:  037  037  036
32:  038  037  038
33:  038  038  038
34:  039  038  039
35:  039  039  040
36:  039  040  039
37:  040  040  041
38:  040  041  040
39:  042  041  041
40:  041  042  041
41:  043  042  042
42:  042  043  042
43:  044  043  043
44:  043  044  043
45:  045  044  044
46:  044  045  044
47:  046  045  045
48:  045  046  045
49:  047  046  046
50:  046  047  046
51:  048  047  047
52:  047  048  047
53:  048  048  049
54:  048  049  048
55:  049  049  050
56:  049  050  049
57:  050  050  051
58:  050  051  050
59:  052  051  051
60:  051  052  051
61:  053  052  052
62:  052  053  052
63:  054  053  053
64:  053  054  053
65:  055  054  054
66:  054  055  054
67:  056  055  055
68:  055  056  055
69:  057  056  056
70:  056  057  057
71:  058  057  057
72:  057  058  058
73:  059  058  059
74:  058  059  059
75:  060  059  060
76:  059  060  060
77:  061  060  061
78:  061  061  060
79:  062  061  062
80:  062  062  061
81:  063  062  063
82:  063  063  062
83:  064  063  064
84:  064  064  063
85:  064  065  064
86:  065  065  066
87:  065  066  065
88:  067  066  067
89:  067  067  066
90:  067  068  067
91:  069  068  068
92:  068  069  068
93:  070  069  070
94:  070  070  071
95:  070  071  070
96:  072  071  072
97:  072  072  071
98:  072  073  072
99:  074  073  073
100:  073  074  074
101:  075  074  075
102:  075  075  075
103:  075  076  076
104:  077  076  077
105:  077  077  078
106:  077  078  078
107:  079  078  079
108:  079  079  080
109:  079  080  079
110:  081  080  080
111:  080  081  081
112:  082  081  082
113:  082  082  083
114:  082  083  082
115:  084  083  084
116:  084  084  084
117:  084  085  085
118:  086  085  085
119:  086  086  087
120:  086  087  086
121:  088  087  088
122:  088  088  089
123:  088  089  089
124:  089  090  089
125:  091  090  091
126:  091  091  091
127:  092  092  091
128:  092  093  092
129:  094  093  093
130:  094  094  095
131:  095  095  094
132:  095  096  095
133:  097  096  097
134:  098  097  097
135:  098  098  097
136:  098  099  098
137:  099  100  099
138:  101  100  100
139:  102  101  101
140:  102  102  103
141:  103  103  102
142:  103  104  104
143:  104  105  104
144:  105  106  105
145:  107  106  107
146:  108  107  108
147:  109  108  108
148:  110  109  109
149:  110  110  111
150:  112  111  111
151:  113  112  112
152:  114  113  113
153:  115  114  114
154:  116  115  115
155:  117  116  116
156:  118  117  117
157:  119  118  119
158:  120  119  120
159:  120  121  120
160:  121  122  121
161:  122  123  122
162:  124  124  123
163:  125  125  126
164:  126  126  127
165:  127  127  128
166:  128  128  127
167:  128  129  129
168:  129  130  129
169:  131  130  131
170:  132  131  132
171:  133  132  132
172:  134  133  133
173:  134  134  135
174:  135  135  135
175:  136  136  135
176:  137  137  136
177:  138  138  137
178:  138  139  139
179:  139  140  139
180:  140  141  140
181:  141  142  141
182:  142  143  142
183:  143  144  143
184:  144  145  144
185:  145  146  145
186:  146  147  146
187:  147  148  147
188:  148  149  148
189:  149  150  149
190:  150  151  151
191:  151  152  151
192:  152  153  153
193:  153  154  154
194:  155  155  154
195:  156  156  155
196:  157  157  157
197:  158  158  159
198:  159  159  160
199:  161  160  160
200:  162  161  162
201:  162  163  162
202:  163  164  163
203:  164  165  165
204:  166  166  165
205:  168  167  167
206:  169  168  169
207:  169  170  169
208:  170  171  171
209:  172  172  172
210:  174  173  173
211:  175  174  175
212:  176  176  175
213:  178  177  177
214:  179  178  179
215:  180  180  179
216:  181  181  182
217:  182  183  182
218:  184  184  184
219:  185  186  186
220:  187  187  186
221:  189  188  188
222:  190  190  190
223:  192  191  191
224:  192  193  192
225:  193  194  193
226:  195  195  196
227:  197  196  197
228:  197  198  198
229:  199  199  198
230:  201  200  200
231:  202  202  201
232:  203  203  202
233:  204  205  204
234:  206  206  205
235:  207  208  207
236:  209  209  209
237:  210  211  210
238:  212  212  213
239:  213  214  213
240:  216  215  216
241:  216  217  217
242:  218  219  219
243:  221  220  220
244:  222  222  221
245:  224  224  223
246:  225  226  226
247:  228  228  229
248:  230  230  229
249:  232  233  233
250:  235  234  235
251:  236  237  236
252:  240  239  240
253:  243  242  242
254:  245  246  245
255:  250  249  250
256:  253  254  254
