# LutGenerate 2.4 - 01/15/07 10:16:38
#  Display ID: DELL_3007WFP_FK28569SG3ZX
# Ambient = 0.10   Max. Luminance = 350.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/15/07 10:14:06
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.6% G=67.9% B=8.5%
1:  019  019  018
2:  019  020  020
3:  020  021  020
4:  022  021  022
5:  022  022  023
6:  023  023  022
7:  024  023  024
8:  024  024  025
9:  024  025  025
10:  026  025  026
11:  026  026  026
12:  026  027  026
13:  028  027  027
14:  027  028  028
15:  029  028  029
16:  029  029  029
17:  029  030  029
18:  031  030  030
19:  030  031  030
20:  032  031  031
21:  031  032  032
22:  033  032  033
23:  033  033  032
24:  034  033  034
25:  034  034  033
26:  035  034  035
27:  035  035  035
28:  035  036  035
29:  036  036  037
30:  036  037  036
31:  038  037  037
32:  037  038  038
33:  039  038  039
34:  039  039  038
35:  040  039  040
36:  040  040  039
37:  041  040  041
38:  041  041  041
39:  041  042  041
40:  042  042  043
41:  042  043  042
42:  043  043  044
43:  043  044  043
44:  045  044  044
45:  044  045  044
46:  046  045  045
47:  045  046  045
48:  047  046  046
49:  046  047  047
50:  048  047  048
51:  047  048  048
52:  049  048  049
53:  048  049  049
54:  050  049  050
55:  049  050  050
56:  051  050  051
57:  051  051  050
58:  052  051  052
59:  052  052  051
60:  053  052  053
61:  053  053  053
62:  054  053  054
63:  054  054  054
64:  054  055  054
65:  055  055  056
66:  055  056  055
67:  056  056  057
68:  056  057  056
69:  058  057  057
70:  057  058  058
71:  059  058  058
72:  058  059  059
73:  060  059  060
74:  060  060  059
75:  061  060  061
76:  061  061  060
77:  062  061  062
78:  062  062  062
79:  063  062  063
80:  063  063  063
81:  063  064  063
82:  065  064  064
83:  065  065  064
84:  066  065  066
85:  066  066  065
86:  066  067  066
87:  067  067  068
88:  067  068  068
89:  069  068  069
90:  069  069  069
91:  069  070  070
92:  071  070  070
93:  071  071  071
94:  071  072  071
95:  073  072  073
96:  073  073  072
97:  073  074  073
98:  075  074  075
99:  075  075  074
100:  075  076  075
101:  077  076  076
102:  077  077  076
103:  077  078  077
104:  079  078  078
105:  079  079  080
106:  079  080  080
107:  081  080  080
108:  082  081  081
109:  081  082  081
110:  083  082  082
111:  083  083  082
112:  083  084  083
113:  085  084  085
114:  085  085  085
115:  085  086  085
116:  087  086  086
117:  087  087  087
118:  087  088  088
119:  088  089  088
120:  090  089  089
121:  090  090  091
122:  090  091  091
123:  091  092  091
124:  093  092  092
125:  093  093  093
126:  094  094  093
127:  094  095  094
128:  096  095  096
129:  097  096  096
130:  097  097  096
131:  097  098  097
132:  098  099  098
133:  100  099  100
134:  101  100  101
135:  101  101  102
136:  102  102  101
137:  102  103  103
138:  103  104  104
139:  104  105  104
140:  105  106  105
141:  106  107  106
142:  108  107  107
143:  109  108  108
144:  110  109  109
145:  110  110  111
146:  111  111  112
147:  112  112  113
148:  114  113  113
149:  115  114  114
150:  116  115  115
151:  117  116  117
152:  118  117  118
153:  119  118  119
154:  119  120  119
155:  120  121  120
156:  121  122  122
157:  123  123  122
158:  124  124  124
159:  126  125  125
160:  127  126  127
161:  128  127  128
162:  128  128  129
163:  129  129  129
164:  129  130  130
165:  130  131  131
166:  131  132  131
167:  132  133  132
168:  134  133  133
169:  135  134  134
170:  136  135  136
171:  137  136  136
172:  138  137  137
173:  139  138  138
174:  140  139  139
175:  141  140  140
176:  141  141  142
177:  142  142  143
178:  143  143  144
179:  145  144  144
180:  145  145  145
181:  146  146  146
182:  147  147  147
183:  148  148  148
184:  149  149  149
185:  150  150  150
186:  151  151  152
187:  152  152  153
188:  154  153  153
189:  155  154  154
190:  156  155  155
191:  157  156  156
192:  158  157  158
193:  159  158  158
194:  160  159  160
195:  160  161  160
196:  161  162  162
197:  162  163  163
198:  164  164  163
199:  165  165  166
200:  167  166  166
201:  168  167  168
202:  168  169  169
203:  170  170  169
204:  171  171  172
205:  173  172  173
206:  173  174  173
207:  174  175  175
208:  176  176  177
209:  178  177  178
210:  178  179  179
211:  180  180  181
212:  182  181  182
213:  182  183  182
214:  185  184  184
215:  185  186  185
216:  187  187  187
217:  188  189  188
218:  190  190  190
219:  192  191  191
220:  193  192  192
221:  194  194  193
222:  195  195  195
223:  196  196  196
224:  197  197  197
225:  198  199  198
226:  199  200  200
227:  201  201  201
228:  203  202  202
229:  204  204  203
230:  206  205  205
231:  206  207  206
232:  208  208  207
233:  209  210  209
234:  211  211  210
235:  213  212  213
236:  213  214  214
237:  216  215  215
238:  216  217  217
239:  219  218  219
240:  220  220  220
241:  221  222  221
242:  223  223  222
243:  225  225  225
244:  227  227  226
245:  228  229  229
246:  231  230  230
247:  233  232  233
248:  234  235  235
249:  236  237  236
250:  238  239  239
251:  241  241  241
252:  244  243  243
253:  245  246  246
254:  248  248  249
255:  251  252  251
256:  254  255  254
