# LutGenerate 2.4 - 01/09/07 13:48:03
#  Display ID: DELL_3007WFP_FK28569SG40K
# Ambient = 0.10   Max. Luminance = 413.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/03/07 17:12:38
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.2% G=69.1% B=8.7%
1:  018  019  019
2:  019  020  019
3:  021  020  021
4:  022  021  022
5:  022  022  022
6:  022  023  022
7:  024  023  024
8:  024  024  024
9:  024  025  024
10:  026  025  025
11:  025  026  026
12:  027  026  027
13:  027  027  026
14:  027  028  027
15:  028  028  029
16:  028  029  028
17:  030  029  029
18:  029  030  030
19:  031  030  031
20:  031  031  030
21:  032  031  032
22:  032  032  031
23:  033  032  033
24:  033  033  032
25:  034  033  034
26:  034  034  034
27:  035  034  035
28:  035  035  035
29:  035  036  035
30:  036  036  037
31:  036  037  036
32:  037  037  038
33:  037  038  037
34:  039  038  038
35:  038  039  038
36:  040  039  039
37:  039  040  040
38:  041  040  041
39:  040  041  041
40:  042  041  042
41:  042  042  041
42:  043  042  043
43:  042  043  043
44:  044  043  044
45:  044  044  043
46:  045  044  045
47:  045  045  044
48:  046  045  046
49:  046  046  045
50:  047  046  047
51:  046  047  047
52:  048  047  048
53:  047  048  048
54:  049  048  049
55:  048  049  049
56:  050  049  050
57:  049  050  050
58:  051  050  051
59:  050  051  051
60:  052  051  052
61:  051  052  052
62:  053  052  053
63:  052  053  053
64:  054  053  054
65:  053  054  054
66:  055  054  055
67:  054  055  055
68:  056  055  056
69:  056  056  055
70:  057  056  057
71:  057  057  056
72:  058  057  058
73:  058  058  057
74:  059  058  059
75:  059  059  058
76:  060  059  060
77:  060  060  059
78:  061  060  061
79:  061  061  061
80:  062  061  062
81:  062  062  062
82:  063  062  063
83:  063  063  063
84:  063  064  063
85:  065  064  064
86:  064  065  064
87:  066  065  065
88:  066  066  065
89:  066  067  066
90:  067  067  068
91:  067  068  067
92:  069  068  068
93:  069  069  069
94:  069  070  069
95:  071  070  070
96:  070  071  071
97:  072  071  072
98:  072  072  072
99:  072  073  072
100:  074  073  074
101:  074  074  073
102:  074  075  074
103:  076  075  075
104:  076  076  075
105:  077  076  077
106:  077  077  078
107:  077  078  078
108:  079  078  079
109:  079  079  079
110:  079  080  079
111:  081  080  080
112:  081  081  080
113:  081  082  081
114:  083  082  082
115:  083  083  082
116:  083  084  083
117:  085  084  084
118:  085  085  084
119:  085  086  085
120:  087  086  087
121:  087  087  087
122:  087  088  088
123:  089  088  089
124:  090  089  089
125:  090  090  089
126:  090  091  090
127:  092  091  092
128:  092  092  093
129:  093  093  092
130:  093  094  093
131:  095  094  095
132:  096  095  095
133:  096  096  095
134:  096  097  096
135:  098  097  098
136:  099  098  099
137:  099  099  100
138:  100  100  099
139:  100  101  101
140:  101  102  101
141:  103  102  103
142:  104  103  104
143:  104  104  105
144:  106  105  105
145:  106  106  105
146:  106  107  107
147:  107  108  107
148:  108  109  108
149:  109  110  109
150:  111  110  111
151:  112  111  112
152:  113  112  113
153:  114  113  113
154:  115  114  115
155:  116  115  116
156:  116  117  116
157:  117  118  117
158:  118  119  118
159:  119  120  120
160:  120  121  121
161:  122  122  121
162:  123  123  124
163:  125  124  124
164:  126  125  126
165:  127  126  127
166:  128  127  128
167:  129  128  128
168:  129  129  129
169:  130  130  129
170:  130  131  131
171:  131  132  131
172:  132  133  132
173:  133  134  133
174:  135  134  135
175:  136  135  136
176:  137  136  137
177:  138  137  138
178:  139  138  139
179:  140  139  140
180:  141  140  140
181:  142  141  142
182:  143  142  143
183:  144  143  144
184:  145  144  145
185:  146  145  146
186:  147  146  147
187:  148  147  147
188:  149  148  149
189:  150  149  150
190:  151  150  151
191:  152  151  152
192:  152  153  152
193:  153  154  153
194:  154  155  154
195:  155  156  155
196:  156  157  157
197:  158  158  157
198:  159  159  159
199:  160  160  161
200:  162  161  161
201:  163  162  163
202:  163  164  163
203:  164  165  164
204:  166  166  165
205:  168  167  168
206:  168  169  168
207:  169  170  170
208:  171  171  171
209:  172  172  173
210:  174  173  174
211:  174  175  174
212:  176  176  177
213:  178  177  178
214:  178  179  178
215:  180  180  179
216:  181  182  181
217:  182  183  182
218:  185  184  185
219:  186  186  185
220:  187  187  188
221:  188  189  188
222:  191  190  190
223:  191  192  191
224:  192  193  193
225:  194  194  195
226:  196  195  195
227:  196  197  196
228:  198  198  198
229:  200  199  199
230:  200  201  200
231:  202  202  201
232:  204  203  203
233:  204  205  204
234:  206  206  205
235:  207  208  207
236:  209  209  208
237:  210  211  210
238:  212  212  213
239:  213  214  213
240:  216  215  216
241:  217  217  216
242:  218  219  218
243:  220  221  220
244:  222  222  223
245:  225  224  224
246:  226  226  226
247:  229  228  229
248:  231  230  231
249:  232  232  232
250:  235  234  235
251:  236  237  236
252:  239  240  239
253:  242  243  242
254:  246  245  246
255:  248  249  248
256:  253  254  253
