# LutGenerate 2.4 - 02/18/11 13:15:16 - #  Display ID: EA231WMi_07106164NA
# Ambient = 0.10   Max. Luminance = 228.630   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 01/27/11 09:08:41
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=21.2% G=68.9% B=10.0%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  007  007  008           0.653      0.651
  2:  008  008  007           0.694      0.696
  3:  008  009  008           0.735      0.739
  4:  010  009  010           0.779      0.778
  5:  010  010  009           0.823      0.824
  6:  011  010  011           0.869      0.854
  7:  012  011  011           0.917      0.921
  8:  011  012  012           0.966      0.967
  9:  013  012  013           1.017      1.002
 10:  013  013  014           1.069      1.070
 11:  013  014  014           1.123      1.124
 12:  015  014  014           1.179      1.178
 13:  015  015  014           1.237      1.236
 14:  016  015  016           1.296      1.284
 15:  016  016  017           1.357      1.358
 16:  016  017  017           1.419      1.415
 17:  018  017  017           1.484      1.483
 18:  018  018  017           1.550      1.550
 19:  019  018  019           1.618      1.600
 20:  019  019  020           1.688      1.687
 21:  019  020  019           1.760      1.769
 22:  021  020  020           1.833      1.830
 23:  020  021  020           1.909      1.903
 24:  022  021  022           1.987      1.988
 25:  022  022  021           2.066      2.070
 26:  023  022  023           2.148      2.136
 27:  022  023  023           2.232      2.219
 28:  024  023  024           2.318      2.298
 29:  024  024  023           2.405      2.407
 30:  024  025  024           2.496      2.519
 31:  025  025  026           2.588      2.577
 32:  025  026  026           2.682      2.694
 33:  027  026  026           2.779      2.767
 34:  026  027  026           2.878      2.880
 35:  028  027  028           2.979      2.983
 36:  027  028  028           3.083      3.078
 37:  029  028  029           3.189      3.171
 38:  029  029  029           3.297      3.293
 39:  029  030  029           3.408      3.436
 40:  030  030  031           3.522      3.514
 41:  030  031  030           3.637      3.663
 42:  031  031  032           3.756      3.753
 43:  031  032  031           3.877      3.891
 44:  033  032  032           4.000      4.014
 45:  032  033  032           4.126      4.123
 46:  034  033  034           4.255      4.251
 47:  034  034  033           4.387      4.390
 48:  035  034  035           4.521      4.489
 49:  035  035  034           4.658      4.655
 50:  035  036  035           4.798      4.842
 51:  036  036  037           4.941      4.941
 52:  036  037  036           5.086      5.085
 53:  038  037  038           5.235      5.240
 54:  038  038  037           5.387      5.389
 55:  039  038  039           5.541      5.518
 56:  039  039  038           5.699      5.690
 57:  039  040  039           5.860      5.915
 58:  040  040  041           6.024      6.021
 59:  040  041  040           6.191      6.194
 60:  042  041  042           6.362      6.358
 61:  042  042  041           6.536      6.535
 62:  042  043  042           6.713      6.756
 63:  043  043  044           6.893      6.879
 64:  043  044  044           7.077      7.091
 65:  045  044  045           7.264      7.246
 66:  045  045  045           7.455      7.452
 67:  045  046  045           7.650      7.646
 68:  047  046  047           7.848      7.855
 69:  046  047  047           8.050      8.036
 70:  048  047  048           8.255      8.209
 71:  048  048  049           8.465      8.465
 72:  048  049  049           8.678      8.689
 73:  050  049  050           8.895      8.836
 74:  050  050  051           9.115      9.110
 75:  050  051  051           9.340      9.337
 76:  052  051  052           9.569      9.524
 77:  052  052  052           9.802      9.800
 78:  052  053  052          10.039     10.048
 79:  054  053  054          10.281     10.260
 80:  054  054  055          10.526     10.518
 81:  054  055  055          10.776     10.798
 82:  056  055  056          11.031     10.985
 83:  056  056  057          11.289     11.303
 84:  056  057  057          11.553     11.549
 85:  058  057  058          11.820     11.752
 86:  059  058  058          12.093     12.107
 87:  059  059  058          12.370     12.353
 88:  059  060  059          12.652     12.723
 89:  061  060  061          12.939     12.948
 90:  061  061  061          13.230     13.228
 91:  061  062  062          13.527     13.521
 92:  063  062  063          13.828     13.757
 93:  064  063  063          14.135     14.163
 94:  063  064  063          14.447     14.465
 95:  065  064  065          14.764     14.746
 96:  065  065  066          15.086     15.071
 97:  066  066  065          15.414     15.432
 98:  066  067  066          15.747     15.778
 99:  068  067  068          16.085     16.029
100:  068  068  069          16.430     16.416
101:  069  069  068          16.779     16.771
102:  069  070  070          17.135     17.157
103:  071  070  071          17.497     17.406
104:  072  071  072          17.864     17.879
105:  072  072  072          18.237     18.221
106:  073  073  072          18.617     18.634
107:  073  074  073          19.002     19.011
108:  075  074  075          19.394     19.317
109:  076  075  075          19.792     19.776
110:  076  076  076          20.196     20.192
111:  077  077  076          20.607     20.621
112:  077  078  077          21.025     21.018
113:  078  079  078          21.449     21.535
114:  080  079  080          21.880     21.856
115:  081  080  080          22.318     22.325
116:  081  081  082          22.762     22.781
117:  082  082  081          23.214     23.196
118:  082  083  083          23.673     23.694
119:  083  084  083          24.139     24.185
120:  085  084  085          24.613     24.505
121:  086  085  086          25.093     25.039
122:  087  086  087          25.582     25.543
123:  088  087  088          26.078     26.102
124:  089  088  088          26.582     26.589
125:  089  089  090          27.093     27.078
126:  090  090  091          27.613     27.624
127:  091  091  092          28.140     28.154
128:  092  092  092          28.676     28.688
129:  093  093  092          29.220     29.219
130:  094  094  093          29.772     29.790
131:  094  095  095          30.333     30.304
132:  095  096  096          30.902     30.881
133:  096  097  097          31.481     31.469
134:  097  098  098          32.068     32.053
135:  099  099  098          32.663     32.656
136:  100  100  099          33.269     33.293
137:  101  101  100          33.883     33.914
138:  102  102  102          34.506     34.525
139:  103  103  103          35.139     35.139
140:  104  104  104          35.782     35.775
141:  105  105  104          36.434     36.412
142:  106  106  106          37.097     37.096
143:  107  107  108          37.769     37.793
144:  108  108  109          38.451     38.467
145:  109  109  110          39.143     39.112
146:  111  110  110          39.846     39.833
147:  112  111  112          40.560     40.545
148:  113  112  113          41.284     41.216
149:  113  114  113          42.019     42.136
