# LutGenerate 2.4 - 08/11/11 11:27:02 - #  Display ID: EA231WMi_9Z103070NA
# Ambient = 0.10   Max. Luminance = 220.250   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 08/10/11 15:49:27
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=21.7% G=69.7% B=8.6%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  007  008  007           0.629      0.635
  2:  009  008  009           0.669      0.673
  3:  009  009  010           0.709      0.709
  4:  009  010  009           0.751      0.749
  5:  011  010  011           0.794      0.795
  6:  011  011  011           0.839      0.841
  7:  011  012  011           0.885      0.886
  8:  013  012  013           0.933      0.929
  9:  013  013  013           0.982      0.978
 10:  013  014  013           1.033      1.048
 11:  015  014  014           1.086      1.081
 12:  014  015  015           1.140      1.142
 13:  016  015  015           1.196      1.183
 14:  016  016  017           1.253      1.252
 15:  016  017  016           1.313      1.313
 16:  018  017  018           1.373      1.370
 17:  018  018  017           1.436      1.441
 18:  019  018  019           1.500      1.481
 19:  019  019  020           1.567      1.571
 20:  019  020  019           1.635      1.637
 21:  021  020  020           1.704      1.697
 22:  020  021  021           1.776      1.766
 23:  022  021  022           1.850      1.852
 24:  021  022  022           1.925      1.913
 25:  023  022  023           2.003      1.993
 26:  023  023  022           2.082      2.075
 27:  023  024  023           2.164      2.189
 28:  024  024  025           2.247      2.247
 29:  024  025  025           2.333      2.326
 30:  026  025  026           2.420      2.410
 31:  026  026  025           2.510      2.511
 32:  027  026  027           2.602      2.591
 33:  027  027  027           2.696      2.696
 34:  027  028  027           2.792      2.812
 35:  029  028  028           2.891      2.897
 36:  028  029  029           2.992      2.989
 37:  030  029  030           3.095      3.084
 38:  030  030  029           3.200      3.207
 39:  031  030  031           3.308      3.280
 40:  031  031  031           3.418      3.416
 41:  031  032  031           3.531      3.564
 42:  032  032  033           3.646      3.642
 43:  032  033  033           3.764      3.767
 44:  034  033  034           3.884      3.882
 45:  034  034  033           4.007      4.027
 46:  035  034  035           4.132      4.113
 47:  035  035  035           4.260      4.272
 48:  035  036  035           4.391      4.427
 49:  037  036  036           4.524      4.536
 50:  036  037  037           4.660      4.668
 51:  038  037  038           4.799      4.794
 52:  038  038  037           4.941      4.939
 53:  039  038  039           5.085      5.044
 54:  039  039  040           5.233      5.237
 55:  039  040  039           5.383      5.395
 56:  041  040  041           5.537      5.533
 57:  041  041  041           5.693      5.696
 58:  041  042  041           5.853      5.889
 59:  042  042  043           6.015      5.998
 60:  042  043  042           6.181      6.182
 61:  044  043  044           6.350      6.347
 62:  044  044  043           6.522      6.518
 63:  044  045  044           6.698      6.728
 64:  046  045  045           6.877      6.877
 65:  046  046  045           7.059      7.078
 66:  047  046  047           7.244      7.206
 67:  047  047  047           7.434      7.425
 68:  047  048  047           7.626      7.652
 69:  049  048  049           7.822      7.829
 70:  049  049  050           8.022      8.028
 71:  049  050  049           8.225      8.247
 72:  051  050  051           8.433      8.434
 73:  051  051  050           8.643      8.649
 74:  051  052  051           8.858      8.907
 75:  053  052  052           9.077      9.070
 76:  053  053  052           9.299      9.298
