#  lumResponse - average luminance response
#  Display ID: GENERIC
#  4 files
#    25.7120 #ff0000
#    82.9490 #00ff00
#    11.2580 #0000ff
   1      0.2117  #000000    1   1 
   2      0.2200  #000001    1   2    0.03822
   3      0.2270  #010000    1   3    0.03132
   4      0.2333  #010001    1   4    0.02716
   5      0.2557  #000100    1   5    0.09202
   6      0.2612  #000101    1   6    0.02128
   7      0.2692  #010100    1   7    0.03016
   8      0.2725  #010101    2   1    0.01200
   9      0.2763  #010102    2   2    0.01367
  10      0.2823  #020101    2   3    0.02149
  11      0.2895  #020102    2   4    0.02536
  12      0.3033  #010201    2   5    0.04639
  13      0.3043  #010202    2   6    0.00329
  14      0.3113  #020201    2   7    0.02275
  15      0.3142  #020202    3   1    0.00959
  16      0.3237  #020203    3   2    0.02978
  17      0.3220  #030202    3   3   -0.00542
  18      0.3242  #030203    3   4    0.00696
  19      0.3370  #020302    3   5    0.03856
  20      0.3425  #020303    3   6    0.01619
  21      0.3483  #030302    3   7    0.01665
  22      0.3520  #030303    4   1    0.01071
  23      0.3538  #030304    4   2    0.00496
  24      0.3588  #040303    4   3    0.01404
  25      0.3608  #040304    4   4    0.00556
  26      0.3748  #030403    4   5    0.03807
  27      0.3795  #030404    4   6    0.01260
  28      0.3845  #040403    4   7    0.01309
  29      0.3877  #040404    5   1    0.00842
  30      0.3890  #040405    5   2    0.00322
  31      0.3970  #050404    5   3    0.02036
  32      0.4053  #050405    5   4    0.02057
  33      0.4185  #040504    5   5    0.03217
  34      0.4223  #040505    5   6    0.00892
  35      0.4258  #050504    5   7    0.00825
  36      0.4325  #050505    6   1    0.01573
  37      0.4323  #050506    6   2   -0.00058
  38      0.4422  #060505    6   3    0.02287
  39      0.4515  #060506    6   4    0.02070
  40      0.4660  #050605    6   5    0.03161
  41      0.4650  #050606    6   6   -0.00215
  42      0.4723  #060605    6   7    0.01547
  43      0.4763  #060606    7   1    0.00843
  44      0.4810  #060607    7   2    0.00992
  45      0.4883  #070606    7   3    0.01496
  46      0.4878  #070607    7   4   -0.00102
  47      0.5108  #060706    7   5    0.04607
  48      0.5168  #060707    7   6    0.01168
  49      0.5248  #070706    7   7    0.01536
  50      0.5310  #070707    8   1    0.01184
  51      0.5313  #070708    8   2    0.00047
  52      0.5400  #080707    8   3    0.01634
  53      0.5447  #080708    8   4    0.00876
  54      0.5645  #070807    8   5    0.03561
  55      0.5707  #070808    8   6    0.01101
  56      0.5760  #080807    8   7    0.00916
  57      0.5805  #080808    9   1    0.00778
  58      0.5797  #080809    9   2   -0.00129
  59      0.6018  #090808    9   3    0.03724
  60      0.5978  #090809    9   4   -0.00667
  61      0.6165  #080908    9   5    0.03088
  62      0.6222  #080909    9   6    0.00928
  63      0.6322  #090908    9   7    0.01594
  64      0.6340  #090909   10   1    0.00276
  65      0.6378  #09090a   10   2    0.00590
  66      0.6460  #0a0909   10   3    0.01285
  67      0.6535  #0a090a   10   4    0.01154
  68      0.6797  #090a09   10   5    0.03938
  69      0.6873  #090a0a   10   6    0.01097
  70      0.6997  #0a0a09   10   7    0.01802
  71      0.7037  #0a0a0a   11   1    0.00570
  72      0.7070  #0a0a0b   11   2    0.00461
  73      0.7210  #0b0a0a   11   3    0.01961
  74      0.7262  #0b0a0b   11   4    0.00726
  75      0.7558  #0a0b0a   11   5    0.03981
  76      0.7620  #0a0b0b   11   6    0.00824
  77      0.7682  #0b0b0a   11   7    0.00817
  78      0.7778  #0b0b0b   12   1    0.01229
  79      0.7815  #0b0b0c   12   2    0.00481
  80      0.7915  #0c0b0b   12   3    0.01271
  81      0.7950  #0c0b0c   12   4    0.00441
  82      0.8345  #0b0c0b   12   5    0.04848
  83      0.8373  #0b0c0c   12   6    0.00329
  84      0.8405  #0c0c0b   12   7    0.00387
  85      0.8538  #0c0c0c   13   1    0.01564
  86      0.8578  #0c0c0d   13   2    0.00467
  87      0.8642  #0d0c0c   13   3    0.00755
  88      0.8705  #0d0c0d   13   4    0.00721
  89      0.9010  #0c0d0c   13   5    0.03443
  90      0.9093  #0c0d0d   13   6    0.00911
  91      0.9227  #0d0d0c   13   7    0.01474
  92      0.9270  #0d0d0d   14   1    0.00460
  93      0.9370  #0d0d0e   14   2    0.01073
  94      0.9480  #0e0d0d   14   3    0.01167
  95      0.9565  #0e0d0e   14   4    0.00893
  96      0.9822  #0d0e0d   14   5    0.02656
  97      0.9928  #0d0e0e   14   6    0.01063
  98      1.0133  #0e0e0d   14   7    0.02044
  99      1.0145  #0e0e0e   15   1    0.00123
 100      1.0228  #0e0e0f   15   2    0.00810
 101      1.0330  #0f0e0e   15   3    0.00997
 102      1.0460  #0f0e0f   15   4    0.01251
 103      1.0838  #0e0f0e   15   5    0.03545
 104      1.0925  #0e0f0f   15   6    0.00804
 105      1.1043  #0f0f0e   15   7    0.01070
 106      1.1200  #0f0f0f   16   1    0.01416
 107      1.1218  #0f0f10   16   2    0.00156
 108      1.1347  #100f0f   16   3    0.01152
 109      1.1410  #100f10   16   4    0.00549
 110      1.1820  #0f100f   16   5    0.03530
 111      1.1870  #0f1010   16   6    0.00422
 112      1.2088  #10100f   16   7    0.01816
 113      1.2143  #101010   17   1    0.00454
 114      1.2155  #101011   17   2    0.00103
 115      1.2310  #111010   17   3    0.01267
 116      1.2420  #111011   17   4    0.00890
 117      1.2773  #101110   17   5    0.02798
 118      1.2785  #101111   17   6    0.00098
 119      1.2908  #111110   17   7    0.00954
 120      1.2940  #111111   18   1    0.00251
 121      1.3093  #111112   18   2    0.01172
 122      1.3275  #121111   18   3    0.01384
 123      1.3338  #121112   18   4    0.00470
 124      1.3755  #111211   18   5    0.03082
 125      1.3847  #111212   18   6    0.00670
 126      1.4038  #121211   18   7    0.01363
 127      1.4140  #121212   19   1    0.00728
 128      1.4230  #121213   19   2    0.00634
 129      1.4428  #131212   19   3    0.01378
 130      1.4520  #131213   19   4    0.00639
 131      1.4925  #121312   19   5    0.02751
 132      1.5040  #121313   19   6    0.00768
 133      1.5185  #131312   19   7    0.00959
 134      1.5317  #131313   20   1    0.00869
 135      1.5415  #131314   20   2    0.00635
 136      1.5573  #141313   20   3    0.01017
 137      1.5715  #141314   20   4    0.00911
 138      1.6158  #131413   20   5    0.02777
 139      1.6327  #131414   20   6    0.01047
 140      1.6467  #141413   20   7    0.00854
 141      1.6538  #141414   21   1    0.00424
 142      1.6645  #141415   21   2    0.00648
 143      1.6770  #151414   21   3    0.00748
 144      1.6925  #151415   21   4    0.00920
 145      1.7380  #141514   21   5    0.02653
 146      1.7508  #141515   21   6    0.00731
 147      1.7723  #151514   21   7    0.01221
 148      1.7763  #151515   22   1    0.00225
 149      1.7908  #151516   22   2    0.00813
 150      1.8073  #161515   22   3    0.00917
 151      1.8245  #161516   22   4    0.00950
 152      1.8753  #151615   22   5    0.02743
 153      1.8890  #151616   22   6    0.00731
 154      1.9050  #161615   22   7    0.00843
 155      1.9198  #161616   23   1    0.00771
 156      1.9343  #161617   23   2    0.00752
 157      1.9540  #171616   23   3    0.01016
 158      1.9695  #171617   23   4    0.00790
 159      2.0297  #161716   23   5    0.03013
 160      2.0410  #161717   23   6    0.00553
 161      2.0578  #171716   23   7    0.00817
 162      2.0753  #171717   24   1    0.00847
 163      2.0860  #171718   24   2    0.00517
 164      2.1052  #181717   24   3    0.00919
 165      2.1172  #181718   24   4    0.00568
 166      2.1800  #171817   24   5    0.02920
 167      2.1942  #171818   24   6    0.00652
 168      2.2145  #181817   24   7    0.00919
 169      2.2245  #181818   25   1    0.00451
 170      2.2378  #181819   25   2    0.00594
 171      2.2527  #191818   25   3    0.00668
 172      2.2640  #191819   25   4    0.00498
 173      2.3230  #181918   25   5    0.02572
 174      2.3367  #181919   25   6    0.00590
 175      2.3510  #191918   25   7    0.00608
 176      2.3675  #191919   26   1    0.00699
 177      2.3770  #19191a   26   2    0.00400
 178      2.4020  #1a1919   26   3    0.01046
 179      2.4135  #1a191a   26   4    0.00478
 180      2.4805  #191a19   26   5    0.02738
