# LutGenerate 2.5 - 01/27/2014 15:50:01 - #  Display ID: GENERIC EA234WMi 35101890TW
# Ambient = 0.10   Max. Luminance = 224.3325   Luminance Ratio = 307
#  lumResponse - average luminance response
#  4 files
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  000  000  000           0.731      0.730
  2:  002  001  001           0.773      0.775
  3:  003  002  003           0.817      0.819
  4:  004  003  004           0.863      0.859
  5:  004  005  004           0.910      0.910
  6:  006  006  005           0.958      0.958
  7:  007  007  006           1.008      1.008
  8:  008  008  007           1.059      1.060
  9:  009  009  009           1.112      1.112
 10:  010  010  010           1.167      1.166
 11:  011  011  011           1.223      1.221
 12:  012  012  012           1.281      1.283
 13:  013  013  012           1.341      1.342
 14:  015  014  015           1.402      1.389
 15:  016  015  016           1.465      1.453
 16:  017  016  017           1.530      1.524
 17:  018  017  018           1.597      1.586
 18:  019  018  019           1.665      1.662
 19:  020  019  019           1.736      1.736
 20:  020  020  021           1.808      1.811
 21:  021  021  020           1.882      1.880
 22:  021  022  022           1.958      1.957
 23:  023  023  023           2.036      2.032
 24:  024  024  023           2.116      2.116
 25:  024  025  024           2.198      2.197
 26:  025  026  025           2.282      2.296
 27:  027  026  027           2.368      2.346
 28:  028  027  028           2.456      2.448
 29:  029  028  029           2.546      2.551
 30:  029  029  030           2.638      2.642
 31:  029  030  030           2.733      2.730
 32:  030  031  030           2.829      2.840
 33:  031  032  031           2.928      2.954
 34:  033  033  032           3.029      3.028
 35:  034  034  033           3.133      3.129
 36:  034  035  034           3.238      3.235
 37:  035  036  035           3.347      3.371
 38:  037  036  037           3.457      3.441
 39:  038  037  037           3.570      3.569
 40:  038  038  038           3.685      3.686
 41:  038  039  039           3.803      3.805
 42:  039  040  039           3.924      3.938
 43:  041  040  041           4.047      4.018
 44:  042  041  042           4.172      4.164
 45:  043  042  043           4.300      4.291
 46:  044  043  043           4.431      4.436
 47:  044  044  043           4.565      4.561
 48:  044  045  044           4.701      4.700
 49:  045  046  045           4.840      4.876
 50:  047  046  047           4.982      4.971
 51:  047  047  048           5.127      5.122
 52:  048  048  047           5.274      5.270
 53:  048  049  048           5.425      5.425
 54:  049  050  049           5.578      5.595
 55:  051  051  051           5.735      5.739
 56:  052  052  053           5.894      5.885
 57:  053  053  053           6.057      6.059
 58:  054  054  054           6.222      6.225
 59:  054  055  055           6.391      6.388
 60:  055  056  056           6.563      6.561
 61:  057  057  056           6.739      6.743
 62:  057  058  058           6.918      6.914
 63:  058  059  059           7.100      7.099
 64:  060  060  061           7.285      7.280
 65:  062  061  061           7.474      7.469
 66:  063  062  062           7.666      7.660
 67:  064  063  063           7.862      7.866
 68:  065  064  064           8.062      8.064
 69:  065  065  066           8.265      8.260
 70:  066  066  066           8.472      8.463
 71:  067  067  068           8.682      8.684
 72:  068  068  068           8.896      8.903
