# LutGenerate 2.5 - 01/27/2014 15:47:24 - #  Display ID: EA234WMi_35101882TW
# Ambient = 0.10   Max. Luminance = 220.395   Luminance Ratio = 295.832
#  lumResponse vers. 2.1 - 01/24/2014 09:37:07
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=i1DisplayPro
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  000  000  000           0.745      0.745
  2:  001  001  002           0.788      0.788
  3:  003  002  002           0.832      0.832
  4:  004  003  004           0.878      0.877
  5:  004  005  005           0.925      0.926
  6:  005  006  006           0.973      0.975
  7:  006  007  007           1.023      1.024
  8:  007  008  008           1.075      1.076
  9:  008  009  009           1.128      1.126
 10:  010  010  009           1.183      1.184
 11:  011  011  010           1.239      1.238
 12:  011  012  012           1.297      1.296
 13:  012  013  012           1.357      1.357
 14:  015  014  015           1.419      1.415
 15:  016  015  016           1.482      1.479
 16:  017  016  017           1.547      1.549
 17:  018  017  017           1.613      1.613
 18:  018  018  018           1.682      1.680
 19:  019  019  018           1.752      1.755
 20:  019  020  019           1.824      1.823
 21:  020  021  020           1.898      1.904
 22:  021  022  021           1.974      1.989
 23:  022  023  022           2.052      2.061
 24:  023  024  023           2.132      2.147
 25:  025  024  025           2.214      2.194
 26:  026  025  026           2.298      2.294
 27:  027  026  026           2.383      2.383
 28:  027  027  027           2.471      2.468
 29:  028  028  027           2.561      2.559
 30:  028  029  028           2.653      2.658
 31:  029  030  029           2.748      2.775
 32:  031  030  031           2.844      2.836
 33:  032  031  031           2.943      2.943
 34:  033  032  032           3.043      3.045
 35:  033  034  033           3.147      3.170
 36:  035  034  035           3.252      3.236
 37:  036  035  035           3.360      3.360
 38:  036  036  036           3.470      3.474
 39:  036  037  036           3.582      3.579
 40:  037  038  037           3.697      3.716
 41:  039  038  039           3.815      3.792
 42:  040  039  040           3.935      3.937
 43:  040  040  041           4.057      4.063
 44:  040  041  041           4.182      4.187
 45:  041  042  042           4.310      4.309
 46:  042  043  042           4.440      4.444
 47:  043  044  043           4.573      4.610
 48:  045  044  045           4.708      4.700
 49:  045  045  046           4.847      4.839
 50:  046  046  045           4.988      4.993
 51:  046  047  046           5.132      5.145
 52:  048  047  048           5.278      5.237
 53:  049  048  049           5.428      5.419
 54:  049  049  050           5.581      5.579
 55:  050  050  049           5.736      5.740
 56:  052  051  052           5.895      5.889
 57:  053  052  053           6.056      6.030
 58:  054  053  054           6.221      6.226
 59:  055  054  055           6.389      6.392
 60:  055  055  056           6.560      6.560
 61:  057  056  056           6.734      6.737
 62:  057  057  057           6.912      6.914
 63:  058  058  058           7.092      7.084
 64:  060  059  059           7.277      7.281
 65:  061  060  061           7.464      7.458
 66:  062  061  062           7.655      7.625
 67:  063  062  063           7.850      7.810
 68:  064  063  064           8.048      8.032
 69:  065  064  065           8.249      8.220
 70:  066  065  065           8.454      8.449
 71:  067  066  067           8.663      8.671
 72:  068  067  068           8.876      8.875
 73:  069  068  068           9.092      9.090
 74:  069  070  069           9.313      9.324
 75:  070  071  070           9.537      9.573
 76:  071  072  071           9.765      9.786
 77:  072  073  072           9.997     10.048
 78:  074  073  074          10.233     10.194
 79:  075  074  074          10.473     10.466
 80:  076  075  075          10.718     10.710
 81:  076  076  077          10.966     10.968
 82:  077  077  076          11.219     11.234
 83:  078  078  077          11.476     11.476
 84:  079  079  078          11.738     11.745
 85:  079  080  080          12.004     12.003
 86:  081  081  080          12.274     12.271
 87:  082  082  082          12.549     12.554
 88:  083  083  082          12.829     12.816
 89:  084  084  083          13.113     13.119
 90:  084  085  085          13.402     13.401
 91:  085  086  086          13.696     13.702
 92:  088  087  088          13.994     13.981
 93:  089  088  089          14.298     14.254
 94:  090  089  090          14.607     14.577
 95:  091  090  091          14.920     14.845
 96:  092  091  092          15.239     15.172
 97:  093  092  093          15.563     15.508
 98:  094  093  094          15.892     15.844
 99:  095  094  095          16.227     16.178
100:  096  095  096          16.567     16.474
101:  097  096  097          16.913     16.845
102:  097  098  097          17.264     17.287
103:  098  099  098          17.621     17.648
104:  099  100  099          17.983     18.019
105:  100  101  100          18.351     18.382
106:  101  102  101          18.725     18.785
107:  102  103  102          19.105     19.188
108:  103  104  103          19.491     19.592
109:  104  105  104          19.884     19.954
110:  106  106  105          20.282     20.284
111:  108  107  107          20.687     20.680
112:  108  108  109          21.098     21.096
113:  109  109  110          21.515     21.500
114:  111  110  110          21.939     21.965
115:  110  111  111          22.369     22.345
116:  112  112  111          22.807     22.810
117:  113  113  112          23.250     23.215
118:  114  114  114          23.701     23.695
119:  116  115  115          24.159     24.163
120:  117  116  117          24.624     24.644
121:  118  117  118          25.096     25.080
122:  119  118  118          25.575     25.555
123:  119  119  120          26.062     26.046
124:  120  120  121          26.556     26.556
125:  122  121  121          27.058     27.054
126:  122  122  123          27.567     27.586
127:  123  123  124          28.084     28.095
128:  125  124  125          28.609     28.490
129:  125  126  125          29.141     29.227
130:  126  127  126          29.682     29.779
131:  127  128  127          30.231     30.363
132:  129  128  129          30.788     30.648
133:  130  129  130          31.354     31.200
134:  131  130  131          31.928     31.785
135:  132  131  132          32.511     32.411
136:  133  132  133          33.102     32.995
137:  133  134  133          33.703     33.732
138:  134  135  134          34.312     34.356
139:  135  136  135          34.930     34.941
140:  136  137  136          35.558     35.600
141:  137  138  137          36.195     36.184
142:  138  139  138          36.841     36.843
143:  139  140  139          37.497     37.574
144:  140  141  140          38.162     38.307
145:  141  142  141          38.837     38.892
