# LutGenerate 2.5 - 01/27/2014 15:48:07 - #  Display ID: EA234WMi_35101888TW
# Ambient = 0.10   Max. Luminance = 228.883   Luminance Ratio = 317
#  lumResponse vers. 2.1 - 01/27/2014 15:14:33
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=i1DisplayPro
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  000  000  000           0.722      0.722
  2:  001  001  002           0.765      0.763
  3:  003  002  002           0.809      0.808
  4:  004  003  004           0.854      0.852
  5:  004  005  004           0.901      0.904
  6:  005  006  006           0.949      0.947
  7:  006  007  007           0.999      0.998
  8:  007  008  008           1.051      1.050
  9:  009  009  008           1.104      1.105
 10:  010  010  009           1.159      1.158
 11:  011  011  010           1.215      1.214
 12:  012  012  011           1.273      1.276
 13:  012  013  012           1.333      1.331
 14:  015  014  015           1.394      1.388
 15:  016  015  016           1.458      1.455
 16:  017  016  016           1.523      1.521
 17:  018  017  018           1.590      1.583
 18:  019  018  019           1.658      1.659
 19:  019  019  020           1.729      1.726
 20:  020  020  020           1.801      1.800
 21:  020  021  021           1.876      1.872
 22:  021  022  021           1.952      1.951
 23:  023  023  022           2.030      2.028
 24:  023  024  024           2.111      2.110
 25:  024  025  024           2.193      2.200
 26:  025  026  025           2.277      2.300
 27:  027  026  027           2.364      2.352
 28:  028  027  028           2.452      2.455
 29:  028  028  029           2.543      2.540
 30:  029  029  028           2.635      2.631
 31:  029  030  029           2.730      2.728
 32:  030  031  030           2.828      2.852
 33:  032  031  032           2.927      2.911
 34:  032  033  032           3.029      3.034
 35:  033  034  033           3.133      3.131
 36:  034  035  034           3.240      3.258
 37:  036  035  036           3.348      3.331
 38:  037  036  036           3.460      3.454
 39:  037  037  037           3.573      3.573
 40:  037  038  038           3.690      3.690
 41:  038  039  038           3.808      3.823
 42:  040  039  040           3.929      3.902
 43:  041  040  041           4.053      4.050
 44:  041  041  042           4.180      4.182
 45:  043  042  042           4.309      4.314
 46:  043  043  042           4.441      4.434
 47:  043  044  043           4.575      4.575
 48:  044  045  044           4.713      4.744
 49:  046  045  046           4.853      4.838
 50:  047  046  046           4.996      5.003
 51:  047  047  046           5.142      5.143
 52:  047  048  047           5.291      5.293
 53:  048  049  048           5.442      5.481
 54:  050  049  050           5.597      5.587
 55:  051  050  051           5.755      5.756
 56:  051  052  051           5.916      5.911
 57:  052  053  052           6.080      6.100
 58:  053  054  053           6.247      6.271
 59:  054  055  054           6.418      6.465
 60:  056  055  056           6.591      6.558
 61:  056  057  056           6.768      6.788
 62:  057  058  057           6.949      7.001
 63:  059  058  059           7.133      7.107
 64:  059  060  059           7.320      7.360
 65:  060  061  060           7.511      7.522
 66:  061  062  062           7.705      7.706
 67:  062  063  062           7.903      7.926
 68:  063  064  063           8.104      8.112
 69:  064  065  064           8.309      8.306
 70:  065  066  065           8.518      8.545
 71:  066  067  066           8.731      8.749
 72:  067  068  067           8.947      8.948
 73:  070  069  069           9.168      9.168
 74:  070  070  071           9.392      9.401
 75:  071  071  072           9.621      9.610
 76:  072  072  072           9.853      9.847
 77:  072  073  073          10.090     10.097
 78:  073  074  073          10.330     10.328
 79:  074  075  074          10.575     10.607
 80:  076  075  076          10.824     10.754
 81:  077  076  077          11.078     11.074
 82:  077  077  078          11.336     11.328
 83:  079  078  079          11.598     11.554
 84:  080  079  080          11.865     11.832
 85:  081  080  081          12.137     12.137
 86:  082  081  082          12.413     12.415
 87:  083  082  082          12.693     12.699
 88:  083  083  084          12.979     12.973
 89:  084  084  085          13.269     13.277
 90:  086  085  085          13.565     13.554
 91:  087  086  087          13.865     13.842
 92:  087  088  088          14.170     14.169
 93:  088  089  088          14.481     14.474
 94:  089  090  089          14.796     14.801
 95:  090  091  090          15.117     15.141
 96:  091  092  091          15.443     15.484
