#  lumResponse - average luminance response
#  Display ID: GENERIC EA234WMi
#  4 files
#     0.6320 #ff0000
#     0.6310 #00ff00
#     0.6320 #0000ff
   1      0.6305  #000000    1   1 
   2      0.6338  #000001    1   2    0.00514
   3      0.6373  #010000    1   3    0.00551
   4      0.6402  #010001    1   4    0.00470
   5      0.6585  #000100    1   5    0.02810
   6      0.6615  #000101    1   6    0.00455
   7      0.6650  #010100    1   7    0.00528
   8      0.6683  #010101    2   1    0.00488
   9      0.6715  #010102    2   2    0.00485
  10      0.6753  #020101    2   3    0.00557
  11      0.6783  #020102    2   4    0.00443
  12      0.6977  #010201    2   5    0.02834
  13      0.7002  #010202    2   6    0.00358
  14      0.7047  #020201    2   7    0.00641
  15      0.7080  #020202    3   1    0.00460
  16      0.7113  #020203    3   2    0.00458
  17      0.7150  #030202    3   3    0.00526
  18      0.7185  #030203    3   4    0.00488
  19      0.7383  #020302    3   5    0.02712
  20      0.7420  #020303    3   6    0.00507
  21      0.7458  #030302    3   7    0.00504
  22      0.7490  #030303    4   1    0.00435
  23      0.7523  #030304    4   2    0.00433
  24      0.7562  #040303    4   3    0.00530
  25      0.7595  #040304    4   4    0.00429
  26      0.7795  #030403    4   5    0.02599
  27      0.7825  #030404    4   6    0.00384
  28      0.7860  #040403    4   7    0.00446
  29      0.7895  #040404    5   1    0.00444
  30      0.7920  #040405    5   2    0.00316
  31      0.7945  #050404    5   3    0.00315
  32      0.7968  #050405    5   4    0.00283
  33      0.8103  #040504    5   5    0.01680
  34      0.8115  #040505    5   6    0.00154
  35      0.8150  #050504    5   7    0.00430
  36      0.8173  #050505    6   1    0.00276
  37      0.8217  #050506    6   2    0.00549
  38      0.8252  #060505    6   3    0.00425
  39      0.8295  #060506    6   4    0.00514
  40      0.8502  #050605    6   5    0.02471
  41      0.8540  #050606    6   6    0.00440
  42      0.8580  #060605    6   7    0.00467
  43      0.8620  #060606    7   1    0.00465
  44      0.8660  #060607    7   2    0.00463
  45      0.8705  #070606    7   3    0.00518
  46      0.8745  #070607    7   4    0.00458
  47      0.8990  #060706    7   5    0.02763
  48      0.9020  #060707    7   6    0.00333
  49      0.9080  #070706    7   7    0.00663
  50      0.9117  #070707    8   1    0.00412
  51      0.9163  #070708    8   2    0.00492
  52      0.9207  #080707    8   3    0.00490
  53      0.9250  #080708    8   4    0.00461
  54      0.9505  #070807    8   5    0.02719
  55      0.9547  #070808    8   6    0.00446
  56      0.9600  #080807    8   7    0.00548
  57      0.9643  #080808    9   1    0.00442
  58      0.9677  #080809    9   2    0.00362
  59      0.9723  #090808    9   3    0.00464
  60      0.9763  #090809    9   4    0.00411
  61      1.0002  #080908    9   5    0.02429
  62      1.0040  #080909    9   6    0.00374
  63      1.0090  #090908    9   7    0.00497
  64      1.0122  #090909   10   1    0.00322
  65      1.0173  #09090a   10   2    0.00493
  66      1.0218  #0a0909   10   3    0.00441
  67      1.0262  #0a090a   10   4    0.00439
  68      1.0522  #090a09   10   5    0.02502
  69      1.0562  #090a0a   10   6    0.00379
  70      1.0598  #0a0a09   10   7    0.00331
  71      1.0655  #0a0a0a   11   1    0.00541
  72      1.0710  #0a0a0b   11   2    0.00515
  73      1.0748  #0b0a0a   11   3    0.00350
  74      1.0793  #0b0a0b   11   4    0.00418
  75      1.1058  #0a0b0a   11   5    0.02426
  76      1.1110  #0a0b0b   11   6    0.00474
  77      1.1150  #0b0b0a   11   7    0.00359
  78      1.1205  #0b0b0b   12   1    0.00492
  79      1.1263  #0b0b0c   12   2    0.00512
  80      1.1312  #0c0b0b   12   3    0.00443
  81      1.1365  #0c0b0c   12   4    0.00463
  82      1.1663  #0b0c0b   12   5    0.02584
  83      1.1715  #0b0c0c   12   6    0.00449
  84      1.1770  #0c0c0b   12   7    0.00468
  85      1.1828  #0c0c0c   13   1    0.00487
  86      1.1877  #0c0c0d   13   2    0.00422
  87      1.1940  #0d0c0c   13   3    0.00525
  88      1.1992  #0d0c0d   13   4    0.00439
  89      1.2310  #0c0d0c   13   5    0.02613
  90      1.2363  #0c0d0d   13   6    0.00426
  91      1.2420  #0d0d0c   13   7    0.00464
  92      1.2473  #0d0d0d   14   1    0.00422
  93      1.2493  #0d0d0e   14   2    0.00160
  94      1.2517  #0e0d0d   14   3    0.00200
  95      1.2533  #0e0d0e   14   4    0.00120
  96      1.2663  #0d0e0d   14   5    0.01032
  97      1.2658  #0d0e0e   14   6   -0.00039
  98      1.2703  #0e0e0d   14   7    0.00355
  99      1.2722  #0e0e0e   15   1    0.00157
 100      1.2770  #0e0e0f   15   2    0.00373
 101      1.2830  #0f0e0e   15   3    0.00469
 102      1.2885  #0f0e0f   15   4    0.00428
 103      1.3193  #0e0f0e   15   5    0.02358
 104      1.3247  #0e0f0f   15   6    0.00416
 105      1.3300  #0f0f0e   15   7    0.00396
 106      1.3353  #0f0f0f   16   1    0.00394
 107      1.3413  #0f0f10   16   2    0.00448
 108      1.3470  #100f0f   16   3    0.00428
 109      1.3527  #100f10   16   4    0.00426
 110      1.3853  #0f100f   16   5    0.02374
 111      1.3912  #0f1010   16   6    0.00432
 112      1.3965  #10100f   16   7    0.00377
 113      1.4025  #101010   17   1    0.00429
 114      1.4098  #101011   17   2    0.00516
 115      1.4162  #111010   17   3    0.00460
 116      1.4235  #111011   17   4    0.00511
 117      1.4438  #101110   17   5    0.01413
 118      1.4517  #101111   17   6    0.00553
 119      1.4585  #111110   17   7    0.00464
 120      1.4662  #111111   18   1    0.00530
 121      1.4720  #111112   18   2    0.00391
 122      1.4793  #121111   18   3    0.00491
 123      1.4855  #121112   18   4    0.00422
 124      1.5210  #111211   18   5    0.02362
 125      1.5265  #111212   18   6    0.00361
 126      1.5340  #121211   18   7    0.00490
 127      1.5405  #121212   19   1    0.00423
 128      1.5478  #121213   19   2    0.00470
 129      1.5545  #131212   19   3    0.00435
 130      1.5620  #131213   19   4    0.00481
 131      1.6007  #121312   19   5    0.02450
 132      1.6080  #121313   19   6    0.00452
 133      1.6153  #131312   19   7    0.00450
 134      1.6220  #131313   20   1    0.00417
 135      1.6283  #131314   20   2    0.00385
 136      1.6360  #141313   20   3    0.00475
 137      1.6415  #141314   20   4    0.00336
 138      1.6840  #131413   20   5    0.02556
 139      1.6900  #131414   20   6    0.00356
 140      1.6978  #141413   20   7    0.00458
 141      1.7035  #141414   21   1    0.00338
 142      1.7110  #141415   21   2    0.00439
 143      1.7185  #151414   21   3    0.00437
 144      1.7255  #151415   21   4    0.00407
 145      1.7647  #141514   21   5    0.02249
 146      1.7720  #141515   21   6    0.00410
 147      1.7797  #151514   21   7    0.00436
 148      1.7863  #151515   22   1    0.00365
 149      1.7940  #151516   22   2    0.00433
 150      1.8010  #161515   22   3    0.00389
 151      1.8087  #161516   22   4    0.00429
 152      1.8485  #151615   22   5    0.02174
 153      1.8567  #151616   22   6    0.00445
 154      1.8628  #161615   22   7    0.00323
 155      1.8705  #161616   23   1    0.00415
 156      1.8763  #161617   23   2    0.00307
 157      1.8815  #171616   23   3    0.00279
 158      1.8867  #171617   23   4    0.00279
 159      1.9160  #161716   23   5    0.01538
 160      1.9217  #161717   23   6    0.00300
