#  lumResponse - average luminance response
#  Display ID: GENERIC
#  8 files
#    69.8110 #ff0000
#   208.1510 #00ff00
#    31.4010 #0000ff
   1      0.3006  #000000    1   1 
   2      0.2998  #000001    1   2   -0.00291
   3      0.2979  #010000    1   3   -0.00627
   4      0.3036  #010001    1   4    0.01912
   5      0.3003  #000100    1   5   -0.01118
   6      0.3009  #000101    1   6    0.00208
   7      0.2991  #010100    1   7   -0.00583
   8      0.3031  #010101    2   1    0.01328
   9      0.3006  #010102    2   2   -0.00828
  10      0.3010  #020101    2   3    0.00125
  11      0.2988  #020102    2   4   -0.00750
  12      0.2999  #010201    2   5    0.00376
  13      0.3019  #010202    2   6    0.00665
  14      0.3034  #020201    2   7    0.00496
  15      0.3018  #020202    3   1   -0.00537
  16      0.2991  #020203    3   2   -0.00874
  17      0.3031  #030202    3   3    0.01328
  18      0.3025  #030203    3   4   -0.00206
  19      0.3063  #020302    3   5    0.01232
  20      0.3054  #020303    3   6   -0.00286
  21      0.3053  #030302    3   7   -0.00041
  22      0.3040  #030303    4   1   -0.00410
  23      0.3050  #030304    4   2    0.00328
  24      0.3070  #040303    4   3    0.00654
  25      0.3015  #040304    4   4   -0.01808
  26      0.3103  #030403    4   5    0.02861
  27      0.3068  #030404    4   6   -0.01135
  28      0.3115  #040403    4   7    0.01537
  29      0.3071  #040404    5   1   -0.01414
  30      0.3094  #040405    5   2    0.00730
  31      0.3089  #050404    5   3   -0.00162
  32      0.3039  #050405    5   4   -0.01632
  33      0.3080  #040504    5   5    0.01348
  34      0.3080  #040505    5   6    0.00000
  35      0.3174  #050504    5   7    0.02998
  36      0.3166  #050505    6   1   -0.00237
  37      0.3190  #050506    6   2    0.00747
  38      0.3161  #060505    6   3   -0.00905
  39      0.3179  #060506    6   4    0.00552
  40      0.3172  #050605    6   5   -0.00197
  41      0.3209  #050606    6   6    0.01136
  42      0.3191  #060605    6   7   -0.00547
  43      0.3335  #060606    7   1    0.04405
  44      0.3261  #060607    7   2   -0.02236
  45      0.3231  #070606    7   3   -0.00924
  46      0.3226  #070607    7   4   -0.00155
  47      0.3290  #060706    7   5    0.01957
  48      0.3272  #060707    7   6   -0.00533
  49      0.3321  #070706    7   7    0.01479
  50      0.3285  #070707    8   1   -0.01097
  51      0.3460  #070708    8   2    0.05189
  52      0.3408  #080707    8   3   -0.01529
  53      0.3425  #080708    8   4    0.00512
  54      0.3465  #070807    8   5    0.01161
  55      0.3435  #070808    8   6   -0.00870
  56      0.3451  #080807    8   7    0.00472
  57      0.3429  #080808    9   1   -0.00654
  58      0.3441  #080809    9   2    0.00364
  59      0.3619  #090808    9   3    0.05028
  60      0.3619  #090809    9   4    0.00000
  61      0.3649  #080908    9   5    0.00826
  62      0.3700  #080909    9   6    0.01395
  63      0.3643  #090908    9   7   -0.01566
  64      0.3669  #090909   10   1    0.00718
  65      0.3658  #09090a   10   2   -0.00307
  66      0.3605  #0a0909   10   3   -0.01446
  67      0.3869  #0a090a   10   4    0.07058
  68      0.3966  #090a09   10   5    0.02489
  69      0.3931  #090a0a   10   6   -0.00886
  70      0.3950  #0a0a09   10   7    0.00476
  71      0.3991  #0a0a0a   11   1    0.01039
  72      0.3907  #0a0a0b   11   2   -0.02121
  73      0.3900  #0b0a0a   11   3   -0.00192
  74      0.3905  #0b0a0b   11   4    0.00128
  75      0.4249  #0a0b0a   11   5    0.08432
  76      0.4290  #0a0b0b   11   6    0.00966
  77      0.4298  #0b0b0a   11   7    0.00175
  78      0.4275  #0b0b0b   12   1   -0.00525
  79      0.4251  #0b0b0c   12   2   -0.00557
  80      0.4196  #0c0b0b   12   3   -0.01302
  81      0.4196  #0c0b0c   12   4    0.00000
  82      0.4238  #0b0c0b   12   5    0.00978
  83      0.4770  #0b0c0c   12   6    0.11823
  84      0.4768  #0c0c0b   12   7   -0.00052
  85      0.4743  #0c0c0c   13   1   -0.00526
  86      0.4724  #0c0c0d   13   2   -0.00396
  87      0.4660  #0d0c0c   13   3   -0.01359
  88      0.4664  #0d0c0d   13   4    0.00080
  89      0.4736  #0c0d0c   13   5    0.01543
  90      0.4733  #0c0d0d   13   6   -0.00079
  91      0.5329  #0d0d0c   13   7    0.11852
  92      0.5345  #0d0d0d   14   1    0.00304
  93      0.5222  #0d0d0e   14   2   -0.02318
  94      0.5181  #0e0d0d   14   3   -0.00793
  95      0.5128  #0e0d0e   14   4   -0.01043
  96      0.5311  #0d0e0d   14   5    0.03521
  97      0.5209  #0d0e0e   14   6   -0.01949
  98      0.5360  #0e0e0d   14   7    0.02862
  99      0.5317  #0e0e0e   15   1   -0.00796
 100      0.5843  #0e0e0f   15   2    0.09409
 101      0.5771  #0f0e0e   15   3   -0.01227
 102      0.5789  #0f0e0f   15   4    0.00303
 103      0.5855  #0e0f0e   15   5    0.01138
 104      0.5857  #0e0f0f   15   6    0.00043
 105      0.5864  #0f0f0e   15   7    0.00107
 106      0.5846  #0f0f0f   16   1   -0.00299
 107      0.5854  #0f0f10   16   2    0.00128
 108      0.6495  #100f0f   16   3    0.10386
 109      0.6549  #100f10   16   4    0.00824
 110      0.6575  #0f100f   16   5    0.00400
 111      0.6615  #0f1010   16   6    0.00607
 112      0.6589  #10100f   16   7   -0.00398
 113      0.6556  #101010   17   1   -0.00494
 114      0.6604  #101011   17   2    0.00722
 115      0.6486  #111010   17   3   -0.01795
 116      0.7196  #111011   17   4    0.10378
 117      0.7409  #101110   17   5    0.02910
 118      0.7314  #101111   17   6   -0.01291
