#  lumResponse - average luminance response
#  Display ID: GENERIC
#  4 files
#    86.2000 #ff0000
#   285.2500 #00ff00
#    40.3250 #0000ff
   1      0.4718  #000000    1   1 
   2      0.4723  #000001    1   2    0.00106
   3      0.4728  #010000    1   3    0.00106
   4      0.4715  #010001    1   4   -0.00265
   5      0.4773  #000100    1   5    0.01212
   6      0.4760  #000101    1   6   -0.00262
   7      0.4768  #010100    1   7    0.00157
   8      0.4775  #010101    2   1    0.00157
   9      0.4775  #010102    2   2    0.00000
  10      0.4775  #020101    2   3    0.00000
  11      0.4775  #020102    2   4    0.00000
  12      0.4783  #010201    2   5    0.00157
  13      0.4788  #010202    2   6    0.00104
  14      0.4798  #020201    2   7    0.00209
  15      0.4805  #020202    3   1    0.00156
  16      0.4803  #020203    3   2   -0.00052
  17      0.4805  #030202    3   3    0.00052
  18      0.4805  #030203    3   4    0.00000
  19      0.4840  #020302    3   5    0.00726
  20      0.4825  #020303    3   6   -0.00310
  21      0.4833  #030302    3   7    0.00155
  22      0.4838  #030303    4   1    0.00103
  23      0.4838  #030304    4   2    0.00000
  24      0.4838  #040303    4   3    0.00000
  25      0.4838  #040304    4   4    0.00000
  26      0.4880  #030403    4   5    0.00875
  27      0.4863  #030404    4   6   -0.00359
  28      0.4870  #040403    4   7    0.00154
  29      0.4880  #040404    5   1    0.00205
  30      0.4880  #040405    5   2    0.00000
  31      0.4878  #050404    5   3   -0.00051
  32      0.4878  #050405    5   4    0.00000
  33      0.4908  #040504    5   5    0.00613
  34      0.4908  #040505    5   6    0.00000
  35      0.4915  #050504    5   7    0.00153
  36      0.4920  #050505    6   1    0.00102
  37      0.4923  #050506    6   2    0.00051
  38      0.4923  #060505    6   3    0.00000
  39      0.4923  #060506    6   4    0.00000
  40      0.4978  #050605    6   5    0.01111
  41      0.4958  #050606    6   6   -0.00403
  42      0.4968  #060605    6   7    0.00202
  43      0.4978  #060606    7   1    0.00201
  44      0.4978  #060607    7   2    0.00000
  45      0.4978  #070606    7   3    0.00000
  46      0.4978  #070607    7   4    0.00000
  47      0.4998  #060706    7   5    0.00401
  48      0.5015  #060707    7   6    0.00350
  49      0.5028  #070706    7   7    0.00249
  50      0.5040  #070707    8   1    0.00248
  51      0.5040  #070708    8   2    0.00000
  52      0.5040  #080707    8   3    0.00000
  53      0.5038  #080708    8   4   -0.00050
