# LutGenerate 2.2 - 01/26/04
#  Display ID: SHARP_T2020_2A000111Y
# Ambient = 0.10   Max. Luminence = 188.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5c - 01/23/04
#  iLdelay=1  avgN=1  ILlimit=0.50  R=24.9% G=64.6% B=10.4%
1:  010  011  010
2:  012  011  011
3:  012  012  012
4:  012  013  013
5:  013  014  013
6:  015  014  014
7:  015  015  015
8:  015  016  015
9:  016  017  016
10:  018  017  018
11:  019  018  018
12:  019  019  019
13:  019  020  020
14:  021  020  021
15:  021  021  022
16:  021  022  021
17:  023  022  023
18:  023  023  023
19:  024  023  024
20:  024  024  024
21:  024  025  024
22:  025  025  026
23:  025  026  025
24:  026  026  027
25:  026  027  026
26:  027  027  028
27:  027  028  027
28:  028  028  029
29:  028  029  028
30:  030  029  029
31:  029  030  029
32:  030  030  030
33:  031  030  031
34:  031  031  031
35:  032  031  032
36:  032  032  031
37:  033  032  033
38:  032  033  033
39:  034  033  033
40:  033  034  033
41:  035  034  034
42:  034  035  034
43:  035  035  036
44:  035  036  035
45:  036  036  037
46:  036  037  036
47:  037  037  037
48:  038  037  038
49:  038  038  038
50:  039  038  039
51:  039  039  038
52:  040  039  040
53:  040  040  040
54:  041  040  041
55:  041  041  040
56:  042  041  042
57:  041  042  042
58:  043  042  042
59:  042  043  043
60:  044  043  043
61:  043  044  044
62:  045  044  045
63:  044  045  045
64:  046  045  045
65:  045  046  045
66:  047  046  046
67:  046  047  047
68:  048  047  047
69:  047  048  048
70:  049  048  048
71:  048  049  048
72:  049  049  050
73:  049  050  049
74:  051  050  050
75:  050  051  051
76:  052  051  051
77:  052  052  051
78:  053  052  053
79:  052  053  053
80:  054  053  054
81:  054  054  054
82:  055  054  055
83:  055  055  054
84:  055  056  055
85:  056  056  057
86:  056  057  056
87:  058  057  057
88:  058  058  057
89:  059  058  059
90:  059  059  059
91:  059  060  059
92:  061  060  060
93:  060  061  061
94:  062  061  062
95:  062  062  063
96:  062  063  063
97:  064  063  064
98:  064  064  063
99:  064  065  064
100:  066  065  066
101:  066  066  066
102:  066  067  066
103:  068  067  067
104:  068  068  067
105:  068  069  068
106:  070  069  069
107:  070  070  071
108:  070  071  070
109:  072  071  072
110:  072  072  072
111:  073  073  072
112:  073  074  073
113:  075  074  074
114:  075  075  075
115:  075  076  075
116:  077  076  077
117:  077  077  078
118:  078  078  078
119:  078  079  079
120:  079  080  079
121:  081  080  080
122:  081  081  080
123:  081  082  081
124:  083  082  083
125:  083  083  084
126:  083  084  084
127:  084  085  084
128:  085  086  085
129:  087  086  087
130:  088  087  088
131:  088  088  088
132:  089  089  088
133:  089  090  089
134:  091  090  091
135:  092  091  092
136:  092  092  093
137:  093  093  093
138:  094  094  093
139:  094  095  094
140:  095  096  095
141:  097  096  097
142:  097  097  098
143:  098  098  098
144:  099  099  098
145:  099  100  099
146:  100  101  100
147:  102  101  102
148:  102  102  103
149:  103  103  103
150:  104  104  103
151:  104  105  104
152:  105  106  105
153:  107  106  107
154:  108  107  108
155:  109  108  108
156:  109  109  110
157:  111  110  110
158:  111  111  112
159:  113  112  112
160:  113  113  114
161:  114  114  114
162:  115  115  115
163:  115  116  116
164:  116  117  117
165:  118  118  117
166:  119  119  119
167:  120  120  121
168:  122  121  122
169:  122  123  122
170:  123  124  124
171:  125  125  125
172:  127  126  126
173:  127  128  127
174:  128  129  129
175:  130  130  130
176:  132  131  131
177:  132  133  133
178:  134  134  133
179:  135  135  135
180:  137  136  137
181:  137  138  137
182:  139  139  138
183:  140  140  141
184:  142  141  141
185:  142  143  142
186:  143  144  144
187:  145  145  145
188:  147  146  147
189:  148  147  148
190:  148  149  149
191:  150  150  150
192:  152  151  151
193:  152  153  152
194:  153  154  153
195:  155  155  155
196:  157  156  156
197:  157  158  157
198:  158  159  159
199:  160  160  161
200:  162  161  162
201:  162  163  162
202:  164  164  163
203:  166  165  166
204:  166  167  167
205:  168  168  168
206:  170  169  169
207:  170  171  170
208:  172  172  172
209:  174  173  173
210:  174  175  174
211:  175  176  176
212:  178  177  177
213:  179  178  179
214:  179  180  180
215:  181  181  182
216:  183  182  183
217:  183  184  183
218:  185  185  185
219:  187  186  186
220:  187  188  187
221:  190  189  189
222:  191  191  190
223:  193  192  193
224:  194  194  195
225:  196  196  195
226:  197  198  197
227:  200  199  199
228:  201  201  201
229:  202  203  203
230:  205  204  205
231:  207  206  206
232:  208  208  208
233:  209  210  209
234:  212  211  212
235:  214  213  213
236:  215  215  215
237:  216  217  217
238:  218  219  218
239:  221  220  221
240:  223  222  223
241:  224  224  224
242:  226  226  227
243:  228  228  229
244:  230  230  231
245:  231  232  232
246:  234  235  234
247:  235  236  236
248:  239  238  239
249:  240  240  239
250:  241  242  242
251:  245  244  244
252:  245  246  246
253:  249  248  249
254:  250  251  250
255:  253  252  253
256:  255  255  254
