# LutGenerate 2.2 - 01/26/04
#  Display ID: SHARP_T2020_3A001361
# Ambient = 0.10   Max. Luminence = 180.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5c - 01/26/04
#  iLdelay=1  avgN=1  ILlimit=0.50  R=23.0% G=65.7% B=11.3%
1:  007  006  007
2:  012  011  011
3:  013  012  013
4:  013  014  013
5:  015  015  014
6:  017  016  017
7:  017  018  017
8:  018  019  019
9:  019  020  020
10:  020  021  021
11:  023  022  023
12:  024  023  024
13:  025  024  025
14:  025  026  025
15:  027  026  027
16:  028  027  028
17:  029  028  029
18:  029  029  030
19:  030  030  030
20:  030  031  031
21:  031  031  032
22:  032  031  032
23:  033  032  032
24:  033  033  032
25:  034  033  034
26:  034  034  035
27:  034  035  035
28:  036  035  036
29:  036  036  036
30:  036  037  036
31:  037  037  038
32:  037  038  037
33:  039  038  038
34:  039  039  038
35:  040  039  040
36:  040  040  040
37:  040  041  040
38:  041  041  042
39:  041  042  041
40:  042  043  043
41:  044  043  044
42:  044  044  044
43:  045  044  045
44:  045  045  045
45:  045  046  045
46:  046  046  047
47:  046  047  046
48:  047  047  048
49:  047  048  047
50:  048  048  049
51:  048  049  049
52:  049  050  049
53:  050  050  051
54:  050  051  051
55:  052  051  052
56:  052  052  051
57:  053  052  053
58:  053  053  053
59:  054  053  054
60:  053  054  054
61:  055  054  055
62:  055  055  055
63:  055  056  055
64:  056  056  056
65:  056  057  056
66:  057  057  058
67:  057  058  058
68:  059  058  058
69:  059  059  058
70:  060  059  060
71:  060  060  060
72:  060  061  060
73:  061  061  062
74:  061  062  061
75:  063  062  062
76:  062  063  063
77:  063  064  063
78:  064  064  064
79:  064  065  064
80:  066  065  066
81:  066  066  065
82:  067  066  067
83:  067  067  067
84:  067  068  067
85:  069  068  068
86:  068  069  069
87:  070  069  070
88:  070  070  070
89:  070  071  070
90:  071  071  072
91:  071  072  072
92:  073  072  073
93:  073  073  073
94:  073  074  073
95:  074  074  075
96:  075  075  074
97:  076  075  076
98:  076  076  077
99:  076  077  077
100:  078  077  078
101:  079  078  078
102:  079  079  078
103:  079  080  080
104:  080  081  080
105:  082  081  081
106:  082  082  082
107:  082  083  082
108:  083  084  083
109:  084  084  085
110:  085  085  086
111:  085  086  086
112:  087  086  087
113:  088  087  087
114:  088  088  087
115:  088  089  089
116:  089  090  089
117:  091  090  090
118:  091  091  091
119:  091  092  092
120:  092  093  092
121:  094  093  093
122:  095  094  095
123:  096  095  095
124:  095  096  096
125:  096  097  096
126:  097  098  097
127:  099  098  099
128:  099  099  100
129:  100  100  101
130:  101  101  102
131:  102  102  101
132:  102  103  103
133:  103  104  103
134:  105  104  104
135:  105  105  106
136:  106  106  106
137:  106  107  107
138:  107  108  107
139:  109  108  109
140:  110  109  110
141:  110  110  111
142:  111  111  111
143:  112  112  112
144:  112  113  113
145:  114  114  113
146:  114  115  115
147:  115  116  115
148:  116  117  116
149:  118  117  118
150:  118  118  119
151:  119  119  119
152:  120  120  119
153:  120  121  121
154:  121  122  121
155:  123  122  123
156:  124  123  124
157:  125  124  125
158:  126  125  125
159:  126  126  126
160:  127  127  127
161:  129  128  128
162:  130  129  129
163:  130  130  131
164:  131  131  132
165:  132  132  133
166:  133  133  133
167:  134  134  134
168:  135  135  135
169:  136  136  135
170:  137  137  137
171:  138  138  138
172:  138  139  139
173:  140  140  140
174:  142  141  141
175:  142  143  142
176:  144  144  144
177:  146  145  145
178:  147  146  147
179:  147  148  147
180:  149  149  149
181:  150  151  151
182:  152  152  152
183:  154  153  153
184:  154  155  154
185:  155  156  155
186:  157  157  156
187:  158  158  159
188:  159  159  160
189:  160  160  159
190:  161  161  162
191:  163  162  162
192:  164  163  164
193:  164  165  164
194:  165  166  166
195:  167  167  167
196:  169  168  168
197:  170  169  170
198:  172  171  171
199:  173  172  173
200:  173  174  173
201:  174  175  175
202:  176  176  176
203:  178  177  178
204:  178  179  178
205:  180  180  179
206:  181  181  181
207:  182  182  182
208:  184  183  183
209:  185  184  185
210:  185  186  186
211:  187  187  187
212:  189  188  188
213:  190  189  190
214:  190  191  190
215:  191  192  192
216:  194  193  194
217:  195  194  195
218:  195  196  196
219:  196  197  197
220:  198  198  197
221:  199  199  200
222:  201  200  201
223:  201  202  201
224:  202  203  203
225:  204  204  205
226:  205  206  206
227:  208  207  207
228:  209  209  209
229:  210  211  210
230:  212  212  212
231:  213  214  213
232:  215  215  215
233:  216  217  216
234:  219  218  218
235:  219  220  219
236:  222  221  221
237:  222  223  223
238:  225  224  225
239:  226  226  225
240:  228  227  228
241:  229  229  230
242:  230  231  230
243:  233  232  232
244:  234  234  233
245:  235  236  235
246:  238  237  237
247:  239  239  240
248:  241  242  241
249:  243  243  244
250:  244  244  245
251:  247  246  246
252:  247  248  247
253:  249  249  250
254:  252  251  251
255:  252  253  252
256:  254  255  254
