#  lumResponse - average luminance response
#  Display ID: GENERIC
#  2 files
#    44.3500 #ff0000
#   120.4000 #00ff00
#    20.1000 #0000ff
   1      0.3895  #000000    1   1 
   2      0.3915  #000001    1   2    0.00512
   3      0.3935  #010000    1   3    0.00510
   4      0.3960  #010001    1   4    0.00633
   5      0.4045  #000100    1   5    0.02124
   6      0.4080  #000101    1   6    0.00862
   7      0.4090  #010100    1   7    0.00245
   8      0.3930  #010101    2   1   -0.03990
   9      0.3915  #010102    2   2   -0.00382
  10      0.3935  #020101    2   3    0.00510
  11      0.3960  #020102    2   4    0.00633
  12      0.4045  #010201    2   5    0.02124
  13      0.4085  #010202    2   6    0.00984
  14      0.4095  #020201    2   7    0.00244
  15      0.3930  #020202    3   1   -0.04112
  16      0.3915  #020203    3   2   -0.00382
  17      0.3940  #030202    3   3    0.00637
  18      0.3960  #030203    3   4    0.00506
  19      0.4050  #020302    3   5    0.02247
  20      0.4080  #020303    3   6    0.00738
  21      0.4095  #030302    3   7    0.00367
  22      0.3930  #030303    4   1   -0.04112
  23      0.3915  #030304    4   2   -0.00382
  24      0.3940  #040303    4   3    0.00637
  25      0.3965  #040304    4   4    0.00633
  26      0.4050  #030403    4   5    0.02121
  27      0.4080  #030404    4   6    0.00738
  28      0.4095  #040403    4   7    0.00367
  29      0.3930  #040404    5   1   -0.04112
  30      0.3920  #040405    5   2   -0.00255
  31      0.3940  #050404    5   3    0.00509
  32      0.3965  #050405    5   4    0.00633
  33      0.4045  #040504    5   5    0.01998
  34      0.4085  #040505    5   6    0.00984
  35      0.4100  #050504    5   7    0.00367
  36      0.3935  #050505    6   1   -0.04107
  37      0.3915  #050506    6   2   -0.00510
  38      0.3940  #060505    6   3    0.00637
  39      0.3965  #060506    6   4    0.00633
  40      0.4050  #050605    6   5    0.02121
  41      0.4085  #050606    6   6    0.00860
  42      0.4100  #060605    6   7    0.00367
  43      0.3935  #060606    7   1   -0.04107
  44      0.3915  #060607    7   2   -0.00510
  45      0.3935  #070606    7   3    0.00510
  46      0.3970  #070607    7   4    0.00886
  47      0.4050  #060706    7   5    0.01995
  48      0.4085  #060707    7   6    0.00860
  49      0.4100  #070706    7   7    0.00367
  50      0.3935  #070707    8   1   -0.04107
  51      0.3920  #070708    8   2   -0.00382
  52      0.3940  #080707    8   3    0.00509
  53      0.3965  #080708    8   4    0.00633
  54      0.4050  #070807    8   5    0.02121
  55      0.4085  #070808    8   6    0.00860
  56      0.4095  #080807    8   7    0.00244
  57      0.3935  #080808    9   1   -0.03985
  58      0.3920  #080809    9   2   -0.00382
  59      0.3940  #090808    9   3    0.00509
  60      0.3965  #090809    9   4    0.00633
  61      0.4050  #080908    9   5    0.02121
  62      0.4090  #080909    9   6    0.00983
  63      0.4095  #090908    9   7    0.00122
  64      0.3940  #090909   10   1   -0.03858
  65      0.3920  #09090a   10   2   -0.00509
  66      0.3940  #0a0909   10   3    0.00509
  67      0.3965  #0a090a   10   4    0.00633
  68      0.4050  #090a09   10   5    0.02121
  69      0.4085  #090a0a   10   6    0.00860
  70      0.4100  #0a0a09   10   7    0.00367
  71      0.4135  #0a0a0a   11   1    0.00850
  72      0.4185  #0a0a0b   11   2    0.01202
  73      0.4195  #0b0a0a   11   3    0.00239
  74      0.4255  #0b0a0b   11   4    0.01420
  75      0.4355  #0a0b0a   11   5    0.02323
  76      0.4420  #0a0b0b   11   6    0.01481
  77      0.4425  #0b0b0a   11   7    0.00113
  78      0.4500  #0b0b0b   12   1    0.01681
  79      0.4545  #0b0b0c   12   2    0.00995
  80      0.4585  #0c0b0b   12   3    0.00876
  81      0.4630  #0c0b0c   12   4    0.00977
  82      0.4740  #0b0c0b   12   5    0.02348
  83      0.4790  #0b0c0c   12   6    0.01049
  84      0.4825  #0c0c0b   12   7    0.00728
  85      0.4880  #0c0c0c   13   1    0.01133
  86      0.4925  #0c0c0d   13   2    0.00918
  87      0.4965  #0d0c0c   13   3    0.00809
  88      0.5010  #0d0c0d   13   4    0.00902
  89      0.5120  #0c0d0c   13   5    0.02172
  90      0.5170  #0c0d0d   13   6    0.00972
  91      0.5205  #0d0d0c   13   7    0.00675
  92      0.5255  #0d0d0d   14   1    0.00956
  93      0.5305  #0d0d0e   14   2    0.00947
  94      0.5345  #0e0d0d   14   3    0.00751
  95      0.5400  #0e0d0e   14   4    0.01024
  96      0.5530  #0d0e0d   14   5    0.02379
  97      0.5580  #0d0e0e   14   6    0.00900
  98      0.5620  #0e0e0d   14   7    0.00714
  99      0.5675  #0e0e0e   15   1    0.00974
 100      0.5730  #0e0e0f   15   2    0.00964
 101      0.5775  #0f0e0e   15   3    0.00782
 102      0.5830  #0f0e0f   15   4    0.00948
 103      0.5970  #0e0f0e   15   5    0.02373
 104      0.6025  #0e0f0f   15   6    0.00917
 105      0.6070  #0f0f0e   15   7    0.00744
 106      0.6130  #0f0f0f   16   1    0.00984
 107      0.6180  #0f0f10   16   2    0.00812
 108      0.6220  #100f0f   16   3    0.00645
 109      0.6270  #100f10   16   4    0.00801
 110      0.6360  #0f100f   16   5    0.01425
 111      0.6420  #0f1010   16   6    0.00939
 112      0.6455  #10100f   16   7    0.00544
 113      0.6515  #101010   17   1    0.00925
 114      0.6560  #101011   17   2    0.00688
 115      0.6600  #111010   17   3    0.00608
 116      0.6650  #111011   17   4    0.00755
 117      0.6765  #101110   17   5    0.01714
 118      0.6825  #101111   17   6    0.00883
 119      0.6855  #111110   17   7    0.00439
 120      0.6910  #111111   18   1    0.00799
 121      0.6965  #111112   18   2    0.00793
 122      0.7005  #121111   18   3    0.00573
 123      0.7060  #121112   18   4    0.00782
 124      0.7195  #111211   18   5    0.01894
 125      0.7255  #111212   18   6    0.00830
 126      0.7290  #121211   18   7    0.00481
 127      0.7350  #121212   19   1    0.00820
 128      0.7405  #121213   19   2    0.00746
 129      0.7460  #131212   19   3    0.00740
 130      0.7515  #131213   19   4    0.00735
 131      0.7675  #121312   19   5    0.02107
 132      0.7735  #121313   19   6    0.00779
 133      0.7780  #131312   19   7    0.00580
 134      0.7845  #131313   20   1    0.00832
 135      0.7915  #131314   20   2    0.00888
 136      0.7960  #141313   20   3    0.00567
 137      0.8030  #141314   20   4    0.00876
 138      0.8195  #131413   20   5    0.02034
 139      0.8270  #131414   20   6    0.00911
 140      0.8310  #141413   20   7    0.00483
 141      0.8380  #141414   21   1    0.00839
 142      0.8460  #141415   21   2    0.00950
 143      0.8515  #151414   21   3    0.00648
 144      0.8595  #151415   21   4    0.00935
 145      0.8790  #141514   21   5    0.02243
 146      0.8870  #141515   21   6    0.00906
 147      0.8925  #151514   21   7    0.00618
 148      0.9005  #151515   22   1    0.00892
 149      0.8950  #151516   22   2   -0.00613
 150      0.9125  #161515   22   3    0.01936
 151      0.9065  #161516   22   4   -0.00660
 152      0.9450  #151615   22   5    0.04159
 153      0.9385  #151616   22   6   -0.00690
 154      0.9600  #161615   22   7    0.02265
 155      0.9535  #161616   23   1   -0.00679
 156      0.9615  #161617   23   2    0.00836
 157      0.9685  #171616   23   3    0.00725
 158      0.9770  #171617   23   4    0.00874
 159      0.9970  #161716   23   5    0.02026
 160      1.0055  #161717   23   6    0.00849
 161      1.0120  #171716   23   7    0.00644
 162      1.0205  #171717   24   1    0.00836
 163      1.0305  #171718   24   2    0.00975
 164      1.0380  #181717   24   3    0.00725
 165      1.0485  #181718   24   4    0.01006
 166      1.0755  #171817   24   5    0.02542
 167      1.0865  #171818   24   6    0.01018
 168      1.0935  #181817   24   7    0.00642
 169      1.1040  #181818   25   1    0.00956
 170      1.1140  #181819   25   2    0.00902
 171      1.1200  #191818   25   3    0.00537
 172      1.1305  #191819   25   4    0.00933
 173      1.1515  #181918   25   5    0.01840
 174      1.1625  #181919   25   6    0.00951
 175      1.1685  #191918   25   7    0.00515
 176      1.1790  #191919   26   1    0.00895
 177      1.1910  #19191a   26   2    0.01013
 178      1.2000  #1a1919   26   3    0.00753
 179      1.2120  #1a191a   26   4    0.00995
 180      1.2420  #191a19   26   5    0.02445
 181      1.2545  #191a1a   26   6    0.01001
 182      1.2635  #1a1a19   26   7    0.00715
 183      1.2760  #1a1a1a   27   1    0.00984
 184      1.2845  #1a1a1b   27   2    0.00664
 185      1.2920  #1b1a1a   27   3    0.00582
 186      1.3055  #1b1a1b   27   4    0.01039
 187      1.3335  #1a1b1a   27   5    0.02122
 188      1.3475  #1a1b1b   27   6    0.01044
 189      1.3545  #1b1b1a   27   7    0.00518
 190      1.3680  #1b1b1b   28   1    0.00992
 191      1.3820  #1b1b1c   28   2    0.01018
 192      1.3895  #1c1b1b   28   3    0.00541
 193      1.4035  #1c1b1c   28   4    0.01003
 194      1.4320  #1b1c1b   28   5    0.02010
 195      1.4460  #1b1c1c   28   6    0.00973
 196      1.4535  #1c1c1b   28   7    0.00517
 197      1.4625  #1c1c1c   29   1    0.00617
 198      1.4820  #1c1c1d   29   2    0.01325
 199      1.4895  #1d1c1c   29   3    0.00505
 200      1.5035  #1d1c1d   29   4    0.00936
 201      1.5325  #1c1d1c   29   5    0.01910
 202      1.5470  #1c1d1d   29   6    0.00942
 203      1.5540  #1d1d1c   29   7    0.00451
 204      1.5690  #1d1d1d   30   1    0.00961
 205      1.5890  #1d1d1e   30   2    0.01267
 206      1.5965  #1e1d1d   30   3    0.00471
 207      1.6160  #1e1d1e   30   4    0.01214
 208      1.6565  #1d1e1d   30   5    0.02475
 209      1.6765  #1d1e1e   30   6    0.01200
 210      1.6890  #1e1e1d   30   7    0.00743
 211      1.7040  #1e1e1e   31   1    0.00884
 212      1.7195  #1e1e1f   31   2    0.00906
 213      1.7325  #1f1e1e   31   3    0.00753
 214      1.7480  #1f1e1f   31   4    0.00891
 215      1.7890  #1e1f1e   31   5    0.02318
 216      1.8045  #1e1f1f   31   6    0.00863
 217      1.8130  #1f1f1e   31   7    0.00470
 218      1.8330  #1f1f1f   32   1    0.01097
 219      1.8585  #1f1f20   32   2    0.01382
 220      1.8840  #201f1f   32   3    0.01363
 221      1.9100  #201f20   32   4    0.01371
 222      1.9210  #1f201f   32   5    0.00574
 223      1.9365  #1f2020   32   6    0.00804
 224      1.9790  #20201f   32   7    0.02171
 225      2.0005  #202020   33   1    0.01081
 226      2.0170  #202021   33   2    0.00821
 227      2.0300  #212020   33   3    0.00642
 228      2.0515  #212021   33   4    0.01054
 229      2.1030  #202120   33   5    0.02479
 230      2.1195  #202121   33   6    0.00782
 231      2.1325  #212120   33   7    0.00611
 232      2.1545  #212121   34   1    0.01026
 233      2.1715  #212122   34   2    0.00786
 234      2.1860  #222121   34   3    0.00666
 235      2.2080  #222122   34   4    0.01001
 236      2.2550  #212221   34   5    0.02106
 237      2.2750  #212222   34   6    0.00883
 238      2.2900  #222221   34   7    0.00657
 239      2.3100  #222222   35   1    0.00870
 240      2.3300  #222223   35   2    0.00862
 241      2.3450  #232222   35   3    0.00642
 242      2.3650  #232223   35   4    0.00849
 243      2.4150  #222322   35   5    0.02092
 244      2.4350  #222323   35   6    0.00825
 245      2.4500  #232322   35   7    0.00614
 246      2.4750  #232323   36   1    0.01015
 247      2.4950  #232324   36   2    0.00805
 248      2.5100  #242323   36   3    0.00599
 249      2.5350  #242324   36   4    0.00991
 250      2.5800  #232423   36   5    0.01760
 251      2.6050  #232424   36   6    0.00964
 252      2.6200  #242423   36   7    0.00574
 253      2.6450  #242424   37   1    0.00950
 254      2.6750  #242425   37   2    0.01128
 255      2.6850  #252424   37   3    0.00373
 256      2.7100  #252425   37   4    0.00927
 257      2.7700  #242524   37   5    0.02190
 258      2.7950  #242525   37   6    0.00898
 259      2.8100  #252524   37   7    0.00535
 260      2.8350  #252525   38   1    0.00886
 261      2.8600  #252526   38   2    0.00878
 262      2.8750  #262525   38   3    0.00523
 263      2.9050  #262526   38   4    0.01038
 264      2.9600  #252625   38   5    0.01876
 265      2.9900  #252626   38   6    0.01008
 266      3.0050  #262625   38   7    0.00500
 267      3.0300  #262626   39   1    0.00829
 268      3.0600  #262627   39   2    0.00985
 269      3.0750  #272626   39   3    0.00489
 270      3.1050  #272627   39   4    0.00971
 271      3.1600  #262726   39   5    0.01756
 272      3.1900  #262727   39   6    0.00945
 273      3.2050  #272726   39   7    0.00469
 274      3.2350  #272727   40   1    0.00932
 275      3.2600  #272728   40   2    0.00770
 276      3.2750  #282727   40   3    0.00459
 277      3.3000  #282728   40   4    0.00760
 278      3.3550  #272827   40   5    0.01653
 279      3.3800  #272828   40   6    0.00742
 280      3.3950  #282827   40   7    0.00443
 281      3.4250  #282828   41   1    0.00880
 282      3.4550  #282829   41   2    0.00872
 283      3.4700  #292828   41   3    0.00433
 284      3.5000  #292829   41   4    0.00861
 285      3.5650  #282928   41   5    0.01840
 286      3.5950  #282929   41   6    0.00838
 287      3.6150  #292928   41   7    0.00555
 288      3.6450  #292929   42   1    0.00826
 289      3.6750  #29292a   42   2    0.00820
 290      3.6950  #2a2929   42   3    0.00543
 291      3.7300  #2a292a   42   4    0.00943
 292      3.8000  #292a29   42   5    0.01859
 293      3.8350  #292a2a   42   6    0.00917
 294      3.8550  #2a2a29   42   7    0.00520
 295      3.8850  #2a2a2a   43   1    0.00775
 296      3.8650  #2a2a2b   43   2   -0.00516
 297      3.9250  #2b2a2a   43   3    0.01540
 298      3.9000  #2b2a2b   43   4   -0.00639
 299      4.0450  #2a2b2a   43   5    0.03650
 300      4.0200  #2a2b2b   43   6   -0.00620
 301      4.0950  #2b2b2a   43   7    0.01848
