#  lumResponse vers. 1.5b - 04/29/03
#  Display ID: DELL_1900FP_AQCG
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  59.3  #ff0000
2  171.0  #00ff00
3  27.7  #0000ff
4  0.266  #000000
5  0.265  #000001
6  0.266  #010000
7  0.267  #010001
8  0.266  #000100
9  0.266  #000101
10  0.266  #010100
11  0.266  #010101
12  0.266  #010102
13  0.266  #020101
14  0.266  #020102
15  0.266  #010201
16  0.266  #010202
17  0.266  #020201
18  0.266  #020202
19  0.266  #020203
20  0.269  #030202
21  0.265  #030203
22  0.269  #020302
23  0.269  #020303
24  0.27  #030302
25  0.269  #030303
26  0.27  #030304
27  0.269  #040303
28  0.269  #040304
29  0.27  #030403
30  0.262  #030404
31  0.271  #040403
32  0.274  #040404
33  0.27  #040405
34  0.27  #050404
35  0.27  #050405
36  0.269  #040504
37  0.27  #040505
38  0.27  #050504
39  0.27  #050505
40  0.27  #050506
41  0.269  #060505
42  0.27  #060506
43  0.271  #050605
44  0.271  #050606
45  0.272  #060605
46  0.271  #060606
47  0.271  #060607
48  0.271  #070606
49  0.271  #070607
50  0.271  #060706
51  0.271  #060707
52  0.271  #070706
53  0.271  #070707
54  0.272  #070708
55  0.271  #080707
56  0.272  #080708
57  0.273  #070807
58  0.274  #070808
59  0.273  #080807
60  0.273  #080808
61  0.273  #080809
62  0.273  #090808
63  0.274  #090809
64  0.274  #080908
65  0.274  #080909
66  0.274  #090908
67  0.274  #090909
68  0.274  #09090a
69  0.274  #0a0909
70  0.274  #0a090a
71  0.276  #090a09
72  0.276  #090a0a
73  0.276  #0a0a09
74  0.276  #0a0a0a
75  0.276  #0a0a0b
76  0.276  #0b0a0a
77  0.276  #0b0a0b
78  0.276  #0a0b0a
79  0.277  #0a0b0b
80  0.276  #0b0b0a
81  0.276  #0b0b0b
82  0.277  #0b0b0c
83  0.277  #0c0b0b
84  0.278  #0c0b0c
85  0.279  #0b0c0b
86  0.279  #0b0c0c
87  0.28  #0c0c0b
88  0.281  #0c0c0c
89  0.281  #0c0c0d
90  0.281  #0d0c0c
91  0.281  #0d0c0d
92  0.281  #0c0d0c
93  0.281  #0c0d0d
94  0.281  #0d0d0c
95  0.281  #0d0d0d
96  0.281  #0d0d0e
97  0.281  #0e0d0d
98  0.282  #0e0d0e
99  0.283  #0d0e0d
100  0.284  #0d0e0e
101  0.284  #0e0e0d
102  0.285  #0e0e0e
103  0.285  #0e0e0f
104  0.285  #0f0e0e
105  0.285  #0f0e0f
106  0.285  #0e0f0e
107  0.285  #0e0f0f
108  0.285  #0f0f0e
109  0.285  #0f0f0f
110  0.285  #0f0f10
111  0.287  #100f0f
112  0.288  #100f10
113  0.288  #0f100f
114  0.289  #0f1010
115  0.289  #10100f
116  0.289  #101010
117  0.29  #101011
118  0.29  #111010
119  0.29  #111011
120  0.29  #101110
121  0.29  #101111
122  0.29  #111110
123  0.29  #111111
124  0.29  #111112
125  0.29  #121111
126  0.291  #121112
127  0.293  #111211
128  0.294  #111212
129  0.294  #121211
130  0.295  #121212
131  0.295  #121213
132  0.295  #131212
133  0.295  #131213
134  0.295  #121312
135  0.295  #121313
136  0.295  #131312
137  0.295  #131313
138  0.296  #131314
139  0.296  #141313
140  0.297  #141314
141  0.3  #131413
142  0.3  #131414
143  0.3  #141413
144  0.301  #141414
145  0.302  #141415
146  0.302  #151414
147  0.303  #151415
148  0.306  #141514
149  0.307  #141515
150  0.307  #151514
151  0.308  #151515
152  0.308  #151516
153  0.308  #161515
154  0.308  #161516
155  0.308  #151615
156  0.308  #151616
157  0.308  #161615
158  0.308  #161616
159  0.309  #161617
160  0.31  #171616
161  0.311  #171617
162  0.314  #161716
163  0.315  #161717
164  0.315  #171716
165  0.316  #171717
166  0.317  #171718
167  0.318  #181717
168  0.319  #181718
169  0.322  #171817
170  0.324  #171818
171  0.324  #181817
172  0.325  #181818
173  0.325  #181819
174  0.325  #191818
175  0.325  #191819
176  0.325  #181918
177  0.325  #181919
178  0.325  #191918
179  0.325  #191919
180  0.326  #19191a
181  0.327  #1a1919
182  0.328  #1a191a
183  0.332  #191a19
184  0.333  #191a1a
185  0.333  #1a1a19
186  0.335  #1a1a1a
187  0.335  #1a1a1b
188  0.335  #1b1a1a
189  0.335  #1b1a1b
190  0.335  #1a1b1a
191  0.334  #1a1b1b
192  0.335  #1b1b1a
193  0.335  #1b1b1b
194  0.336  #1b1b1c
195  0.337  #1c1b1b
196  0.338  #1c1b1c
197  0.342  #1b1c1b
198  0.343  #1b1c1c
199  0.344  #1c1c1b
200  0.346  #1c1c1c
201  0.347  #1c1c1d
202  0.348  #1d1c1c
203  0.349  #1d1c1d
204  0.354  #1c1d1c
205  0.355  #1c1d1d
206  0.356  #1d1d1c
207  0.357  #1d1d1d
208  0.357  #1d1d1e
209  0.357  #1e1d1d
210  0.357  #1e1d1e
211  0.357  #1d1e1d
212  0.357  #1d1e1e
213  0.357  #1e1e1d
214  0.357  #1e1e1e
215  0.358  #1e1e1f
216  0.359  #1f1e1e
217  0.361  #1f1e1f
218  0.365  #1e1f1e
219  0.367  #1e1f1f
220  0.367  #1f1f1e
221  0.369  #1f1f1f
222  0.371  #1f1f20
223  0.371  #201f1f
224  0.373  #201f20
225  0.378  #1f201f
226  0.38  #1f2020
227  0.381  #20201f
228  0.383  #202020
229  0.384  #202021
230  0.385  #212020
231  0.387  #212021
232  0.392  #202120
233  0.394  #202121
234  0.395  #212120
235  0.396  #212121
236  0.397  #212122
237  0.397  #222121
238  0.396  #222122
239  0.396  #212221
240  0.396  #212222
241  0.396  #222221
242  0.396  #222222
243  0.398  #222223
244  0.4  #232222
245  0.402  #232223
246  0.407  #222322
247  0.409  #222323
248  0.41  #232322
249  0.412  #232323
250  0.414  #232324
251  0.415  #242323
252  0.417  #242324
253  0.422  #232423
254  0.425  #232424
255  0.426  #242423
256  0.428  #242424
257  0.428  #242425
258  0.428  #252424
259  0.428  #252425
260  0.428  #242524
261  0.428  #242525
262  0.428  #252524
263  0.428  #252525
264  0.43  #252526
265  0.432  #262525
266  0.434  #262526
267  0.439  #252625
268  0.441  #252626
269  0.443  #262625
270  0.445  #262626
271  0.447  #262627
272  0.449  #272626
273  0.451  #272627
274  0.457  #262726
275  0.459  #262727
276  0.461  #272726
277  0.463  #272727
278  0.465  #272728
279  0.467  #282727
280  0.469  #282728
281  0.476  #272827
282  0.478  #272828
283  0.48  #282827
284  0.482  #282828
285  0.482  #282829
286  0.482  #292828
287  0.482  #292829
288  0.482  #282928
289  0.482  #282929
290  0.482  #292928
291  0.482  #292929
292  0.485  #29292a
293  0.486  #2a2929
294  0.489  #2a292a
295  0.495  #292a29
296  0.498  #292a2a
297  0.5  #2a2a29
298  0.502  #2a2a2a
299  0.505  #2a2a2b
300  0.507  #2b2a2a
301  0.509  #2b2a2b
302  0.516  #2a2b2a
303  0.519  #2a2b2b
304  0.521  #2b2b2a
305  0.524  #2b2b2b
306  0.526  #2b2b2c
307  0.528  #2c2b2b
308  0.531  #2c2b2c
309  0.538  #2b2c2b
310  0.541  #2b2c2c
311  0.543  #2c2c2b
312  0.545  #2c2c2c
313  0.545  #2c2c2d
314  0.545  #2d2c2c
315  0.545  #2d2c2d
316  0.546  #2c2d2c
317  0.546  #2c2d2d
318  0.545  #2d2d2c
319  0.545  #2d2d2d
320  0.548  #2d2d2e
321  0.55  #2e2d2d
322  0.553  #2e2d2e
323  0.561  #2d2e2d
324  0.564  #2d2e2e
325  0.566  #2e2e2d
326  0.569  #2e2e2e
327  0.572  #2e2e2f
328  0.575  #2f2e2e
329  0.578  #2f2e2f
330  0.585  #2e2f2e
331  0.588  #2e2f2f
332  0.591  #2f2f2e
333  0.595  #2f2f2f
334  0.597  #2f2f30
335  0.6  #302f2f
336  0.602  #302f30
337  0.612  #2f302f
338  0.614  #2f3030
339  0.617  #30302f
340  0.619  #303030
341  0.619  #303031
342  0.619  #313030
343  0.619  #313031
344  0.619  #303130
345  0.619  #303131
346  0.619  #313130
347  0.619  #313131
348  0.623  #313132
349  0.625  #323131
350  0.628  #323132
351  0.638  #313231
352  0.641  #313232
353  0.644  #323231
354  0.647  #323232
355  0.65  #323233
356  0.653  #333232
357  0.656  #333233
358  0.666  #323332
359  0.669  #323333
360  0.672  #333332
361  0.675  #333333
362  0.678  #333334
363  0.681  #343333
364  0.685  #343334
365  0.693  #333433
366  0.696  #333434
367  0.699  #343433
368  0.702  #343434
369  0.706  #343435
370  0.709  #353434
371  0.712  #353435
372  0.721  #343534
373  0.724  #343535
374  0.728  #353534
375  0.731  #353535
376  0.731  #353536
377  0.731  #363535
378  0.731  #363536
379  0.731  #353635
380  0.731  #353636
381  0.731  #363635
382  0.731  #363636
383  0.734  #363637
384  0.74  #373636
385  0.743  #373637
386  0.751  #363736
387  0.754  #363737
388  0.759  #373736
389  0.763  #373737
390  0.766  #373738
391  0.77  #383737
392  0.772  #383738
393  0.783  #373837
394  0.786  #373838
395  0.79  #383837
396  0.793  #383838
397  0.797  #383839
398  0.8  #393838
399  0.804  #393839
400  0.812  #383938
401  0.816  #383939
402  0.819  #393938
403  0.823  #393939
404  0.827  #39393a
405  0.831  #3a3939
406  0.835  #3a393a
407  0.847  #393a39
408  0.851  #393a3a
409  0.854  #3a3a39
410  0.858  #3a3a3a
411  0.859  #3a3a3b
412  0.858  #3b3a3a
413  0.858  #3b3a3b
414  0.859  #3a3b3a
415  0.859  #3a3b3b
416  0.859  #3b3b3a
417  0.859  #3b3b3b
418  0.863  #3b3b3c
419  0.866  #3c3b3b
420  0.87  #3c3b3c
421  0.883  #3b3c3b
422  0.887  #3b3c3c
423  0.891  #3c3c3b
424  0.895  #3c3c3c
425  0.9  #3c3c3d
426  0.903  #3d3c3c
427  0.907  #3d3c3d
428  0.921  #3c3d3c
429  0.925  #3c3d3d
430  0.928  #3d3d3c
431  0.933  #3d3d3d
432  0.938  #3d3d3e
433  0.942  #3e3d3d
434  0.947  #3e3d3e
435  0.96  #3d3e3d
436  0.965  #3d3e3e
