#  lumResponse vers. 1.5b - 05/08/03
#  Display ID: DELL_1900FP_AR5E
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  64.6  #ff0000
2  188.0  #00ff00
3  30.3  #0000ff
4  0.245  #000000
5  0.245  #000001
6  0.245  #010000
7  0.245  #010001
8  0.245  #000100
9  0.245  #000101
10  0.245  #010100
11  0.245  #010101
12  0.245  #010102
13  0.245  #020101
14  0.245  #020102
15  0.245  #010201
16  0.245  #010202
17  0.245  #020201
18  0.245  #020202
19  0.245  #020203
20  0.245  #030202
21  0.245  #030203
22  0.249  #020302
23  0.249  #020303
24  0.249  #030302
25  0.249  #030303
26  0.249  #030304
27  0.249  #040303
28  0.249  #040304
29  0.249  #030403
30  0.249  #030404
31  0.249  #040403
32  0.249  #040404
33  0.249  #040405
34  0.249  #050404
35  0.249  #050405
36  0.249  #040504
37  0.249  #040505
38  0.249  #050504
39  0.249  #050505
40  0.249  #050506
41  0.249  #060505
42  0.249  #060506
43  0.25  #050605
44  0.251  #050606
45  0.25  #060605
46  0.251  #060606
47  0.251  #060607
48  0.251  #070606
49  0.251  #070607
50  0.251  #060706
51  0.251  #060707
52  0.251  #070706
53  0.251  #070707
54  0.251  #070708
55  0.251  #080707
56  0.251  #080708
57  0.252  #070807
58  0.253  #070808
59  0.252  #080807
60  0.253  #080808
61  0.253  #080809
62  0.253  #090808
63  0.253  #090809
64  0.253  #080908
65  0.253  #080909
66  0.253  #090908
67  0.253  #090909
68  0.254  #09090a
69  0.253  #0a0909
70  0.254  #0a090a
71  0.255  #090a09
72  0.256  #090a0a
73  0.255  #0a0a09
74  0.256  #0a0a0a
75  0.256  #0a0a0b
76  0.256  #0b0a0a
77  0.256  #0b0a0b
78  0.256  #0a0b0a
79  0.256  #0a0b0b
80  0.256  #0b0b0a
81  0.256  #0b0b0b
82  0.257  #0b0b0c
83  0.258  #0c0b0b
84  0.258  #0c0b0c
85  0.259  #0b0c0b
86  0.259  #0b0c0c
87  0.26  #0c0c0b
88  0.261  #0c0c0c
89  0.261  #0c0c0d
90  0.261  #0d0c0c
91  0.261  #0d0c0d
92  0.261  #0c0d0c
93  0.261  #0c0d0d
94  0.261  #0d0d0c
95  0.261  #0d0d0d
96  0.262  #0d0d0e
97  0.261  #0e0d0d
98  0.262  #0e0d0e
99  0.264  #0d0e0d
100  0.265  #0d0e0e
101  0.265  #0e0e0d
102  0.266  #0e0e0e
103  0.265  #0e0e0f
104  0.266  #0f0e0e
105  0.266  #0f0e0f
106  0.265  #0e0f0e
107  0.265  #0e0f0f
108  0.265  #0f0f0e
109  0.266  #0f0f0f
110  0.266  #0f0f10
111  0.266  #100f0f
112  0.267  #100f10
113  0.269  #0f100f
114  0.27  #0f1010
115  0.27  #10100f
116  0.271  #101010
117  0.271  #101011
118  0.271  #111010
119  0.271  #111011
120  0.271  #101110
121  0.271  #101111
122  0.271  #111110
123  0.271  #111111
124  0.272  #111112
125  0.272  #121111
126  0.273  #121112
127  0.275  #111211
128  0.276  #111212
129  0.276  #121211
130  0.277  #121212
131  0.277  #121213
132  0.277  #131212
133  0.277  #131213
134  0.277  #121312
135  0.277  #121313
136  0.277  #131312
137  0.277  #131313
138  0.278  #131314
139  0.278  #141313
140  0.279  #141314
141  0.282  #131413
142  0.283  #131414
