#  lumResponse vers. 1.5b - 05/08/03
#  Display ID: DELL_1900FP_ARQ1
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  60.1  #ff0000
2  180.0  #00ff00
3  28.8  #0000ff
4  0.293  #000000
5  0.293  #000001
6  0.293  #010000
7  0.293  #010001
8  0.293  #000100
9  0.293  #000101
10  0.293  #010100
11  0.293  #010101
12  0.293  #010102
13  0.293  #020101
14  0.292  #020102
15  0.293  #010201
16  0.292  #010202
17  0.292  #020201
18  0.292  #020202
19  0.293  #020203
20  0.293  #030202
21  0.293  #030203
22  0.296  #020302
23  0.296  #020303
24  0.296  #030302
25  0.296  #030303
26  0.296  #030304
27  0.296  #040303
28  0.296  #040304
29  0.296  #030403
30  0.296  #030404
31  0.296  #040403
32  0.296  #040404
33  0.296  #040405
34  0.296  #050404
35  0.296  #050405
36  0.296  #040504
37  0.296  #040505
38  0.296  #050504
39  0.296  #050505
40  0.296  #050506
41  0.296  #060505
42  0.296  #060506
43  0.298  #050605
44  0.298  #050606
45  0.298  #060605
46  0.298  #060606
47  0.298  #060607
48  0.298  #070606
49  0.298  #070607
50  0.298  #060706
51  0.298  #060707
52  0.298  #070706
53  0.298  #070707
54  0.299  #070708
55  0.298  #080707
56  0.298  #080708
57  0.3  #070807
58  0.3  #070808
59  0.3  #080807
60  0.3  #080808
61  0.3  #080809
62  0.3  #090808
63  0.3  #090809
64  0.3  #080908
65  0.3  #080909
66  0.3  #090908
67  0.3  #090909
68  0.301  #09090a
69  0.301  #0a0909
70  0.301  #0a090a
71  0.303  #090a09
72  0.303  #090a0a
73  0.303  #0a0a09
74  0.303  #0a0a0a
75  0.303  #0a0a0b
76  0.303  #0b0a0a
77  0.303  #0b0a0b
78  0.303  #0a0b0a
79  0.303  #0a0b0b
80  0.303  #0b0b0a
81  0.303  #0b0b0b
82  0.304  #0b0b0c
83  0.305  #0c0b0b
84  0.306  #0c0b0c
85  0.306  #0b0c0b
86  0.307  #0b0c0c
87  0.308  #0c0c0b
88  0.308  #0c0c0c
89  0.308  #0c0c0d
