#  lumResponse vers. 1.5b - 05/09/03
#  Display ID: DELL_1900FP_ARW8
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  63.1  #ff0000
2  180.0  #00ff00
3  28.5  #0000ff
4  0.257  #000000
5  0.257  #000001
6  0.257  #010000
7  0.257  #010001
8  0.256  #000100
9  0.257  #000101
10  0.256  #010100
11  0.257  #010101
12  0.256  #010102
13  0.257  #020101
14  0.256  #020102
15  0.257  #010201
16  0.257  #010202
17  0.257  #020201
18  0.257  #020202
19  0.257  #020203
20  0.257  #030202
21  0.257  #030203
22  0.26  #020302
23  0.26  #020303
24  0.26  #030302
25  0.26  #030303
26  0.26  #030304
27  0.26  #040303
28  0.26  #040304
29  0.26  #030403
30  0.26  #030404
31  0.26  #040403
32  0.26  #040404
33  0.26  #040405
34  0.26  #050404
35  0.26  #050405
36  0.26  #040504
37  0.26  #040505
38  0.26  #050504
39  0.26  #050505
40  0.26  #050506
41  0.26  #060505
42  0.26  #060506
43  0.261  #050605
44  0.262  #050606
45  0.261  #060605
46  0.262  #060606
47  0.262  #060607
48  0.262  #070606
49  0.262  #070607
50  0.262  #060706
51  0.262  #060707
52  0.262  #070706
53  0.262  #070707
54  0.262  #070708
55  0.262  #080707
56  0.262  #080708
57  0.264  #070807
58  0.264  #070808
59  0.264  #080807
60  0.264  #080808
61  0.264  #080809
62  0.264  #090808
63  0.264  #090809
64  0.264  #080908
65  0.264  #080909
66  0.264  #090908
67  0.264  #090909
68  0.265  #09090a
69  0.264  #0a0909
70  0.265  #0a090a
71  0.266  #090a09
72  0.267  #090a0a
73  0.266  #0a0a09
74  0.267  #0a0a0a
75  0.267  #0a0a0b
76  0.267  #0b0a0a
77  0.267  #0b0a0b
78  0.267  #0a0b0a
79  0.267  #0a0b0b
80  0.267  #0b0b0a
81  0.267  #0b0b0b
82  0.267  #0b0b0c
83  0.268  #0c0b0b
84  0.269  #0c0b0c
85  0.27  #0b0c0b
86  0.27  #0b0c0c
87  0.271  #0c0c0b
88  0.272  #0c0c0c
89  0.271  #0c0c0d
90  0.271  #0d0c0c
91  0.272  #0d0c0d
92  0.272  #0c0d0c
93  0.272  #0c0d0d
94  0.272  #0d0d0c
95  0.272  #0d0d0d
96  0.272  #0d0d0e
97  0.272  #0e0d0d
98  0.273  #0e0d0e
99  0.275  #0d0e0d
100  0.275  #0d0e0e
101  0.275  #0e0e0d
102  0.276  #0e0e0e
103  0.276  #0e0e0f
104  0.276  #0f0e0e
105  0.276  #0f0e0f
106  0.276  #0e0f0e
107  0.276  #0e0f0f
108  0.276  #0f0f0e
109  0.276  #0f0f0f
110  0.276  #0f0f10
111  0.276  #100f0f
112  0.277  #100f10
113  0.279  #0f100f
114  0.28  #0f1010
115  0.28  #10100f
116  0.281  #101010
117  0.28  #101011
118  0.28  #111010
119  0.28  #111011
120  0.28  #101110
121  0.28  #101111
122  0.28  #111110
123  0.28  #111111
124  0.281  #111112
125  0.282  #121111
126  0.283  #121112
127  0.285  #111211
128  0.286  #111212
129  0.286  #121211
130  0.287  #121212
131  0.287  #121213
132  0.287  #131212
133  0.287  #131213
134  0.287  #121312
135  0.287  #121313
136  0.287  #131312
137  0.287  #131313
138  0.287  #131314
139  0.288  #141313
140  0.288  #141314
141  0.291  #131413
142  0.292  #131414
143  0.292  #141413
144  0.293  #141414
145  0.294  #141415
146  0.294  #151414
147  0.295  #151415
148  0.298  #141514
149  0.299  #141515
150  0.3  #151514
151  0.301  #151515
152  0.3  #151516
153  0.3  #161515
154  0.3  #161516
155  0.3  #151615
156  0.301  #151616
157  0.301  #161615
158  0.301  #161616
159  0.302  #161617
160  0.302  #171616
161  0.303  #171617
162  0.306  #161716
163  0.308  #161717
164  0.308  #171716
165  0.309  #171717
166  0.31  #171718
167  0.311  #181717
168  0.312  #181718
169  0.316  #171817
170  0.316  #171818
171  0.317  #181817
172  0.318  #181818
173  0.318  #181819
174  0.318  #191818
175  0.318  #191819
176  0.318  #181918
177  0.318  #181919
178  0.319  #191918
179  0.319  #191919
180  0.32  #19191a
181  0.32  #1a1919
182  0.322  #1a191a
183  0.325  #191a19
184  0.327  #191a1a
185  0.327  #1a1a19
186  0.329  #1a1a1a
187  0.329  #1a1a1b
188  0.329  #1b1a1a
189  0.329  #1b1a1b
190  0.329  #1a1b1a
191  0.329  #1a1b1b
192  0.329  #1b1b1a
193  0.329  #1b1b1b
194  0.33  #1b1b1c
195  0.331  #1c1b1b
196  0.333  #1c1b1c
197  0.336  #1b1c1b
198  0.338  #1b1c1c
199  0.339  #1c1c1b
200  0.341  #1c1c1c
201  0.342  #1c1c1d
202  0.343  #1d1c1c
203  0.344  #1d1c1d
204  0.349  #1c1d1c
205  0.35  #1c1d1d
206  0.351  #1d1d1c
207  0.352  #1d1d1d
208  0.353  #1d1d1e
209  0.353  #1e1d1d
210  0.352  #1e1d1e
211  0.353  #1d1e1d
212  0.353  #1d1e1e
213  0.353  #1e1e1d
214  0.352  #1e1e1e
215  0.354  #1e1e1f
216  0.355  #1f1e1e
217  0.357  #1f1e1f
218  0.361  #1e1f1e
219  0.363  #1e1f1f
220  0.364  #1f1f1e
221  0.366  #1f1f1f
222  0.368  #1f1f20
223  0.369  #201f1f
224  0.371  #201f20
225  0.376  #1f201f
226  0.378  #1f2020
227  0.379  #20201f
228  0.381  #202020
229  0.383  #202021
230  0.384  #212020
231  0.386  #212021
232  0.391  #202120
233  0.393  #202121
234  0.394  #212120
235  0.396  #212121
236  0.396  #212122
237  0.396  #222121
238  0.396  #222122
239  0.396  #212221
240  0.396  #212222
241  0.396  #222221
242  0.396  #222222
243  0.399  #222223
244  0.4  #232222
245  0.402  #232223
246  0.408  #222322
247  0.41  #222323
248  0.411  #232322
249  0.413  #232323
250  0.415  #232324
251  0.416  #242323
252  0.419  #242324
253  0.425  #232423
254  0.427  #232424
255  0.429  #242423
256  0.431  #242424
257  0.431  #242425
258  0.431  #252424
259  0.431  #252425
260  0.431  #242524
261  0.431  #242525
262  0.431  #252524
263  0.431  #252525
264  0.434  #252526
265  0.436  #262525
266  0.439  #262526
267  0.444  #252625
