# LutGenerate 2.2 - 03/18/04
#  Display ID: DELL_1901FP_ABL2
# Ambient = 0.10   Max. Luminence = 242.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5b - 01/16/04
#  iLdelay=1  avgN=1  ILlimit=0.50  R=27.5% G=63.8% B=8.7%
1:  017  018  017
2:  019  018  018
3:  019  019  018
4:  019  020  019
5:  020  020  021
6:  020  021  021
7:  022  021  021
8:  021  022  022
9:  023  022  022
10:  022  023  023
11:  024  023  023
12:  023  024  024
13:  024  024  025
14:  024  025  024
15:  025  025  024
16:  026  025  026
17:  025  026  026
18:  026  026  027
19:  026  027  026
20:  027  027  026
21:  028  027  028
22:  027  028  027
23:  028  028  029
24:  029  028  029
25:  028  029  029
26:  030  029  029
27:  029  030  029
28:  030  030  029
29:  031  030  030
30:  030  031  030
31:  031  031  031
32:  032  031  032
33:  031  032  032
34:  033  032  032
35:  032  033  032
36:  033  033  034
37:  033  034  033
38:  034  034  034
39:  035  034  035
40:  035  035  034
41:  036  035  036
42:  036  036  035
43:  037  036  037
44:  037  037  036
45:  038  037  037
46:  037  038  038
47:  039  038  038
48:  038  039  039
49:  040  039  039
50:  039  040  039
51:  041  040  040
52:  040  041  041
53:  042  041  041
54:  041  042  042
55:  043  042  043
56:  043  043  042
57:  044  043  044
58:  044  044  043
59:  045  044  044
60:  045  045  044
61:  046  045  046
62:  045  046  046
63:  047  046  047
64:  047  047  046
65:  048  047  048
66:  048  048  047
67:  049  048  049
68:  049  049  049
69:  049  050  049
70:  050  050  050
71:  050  051  050
72:  052  051  051
73:  052  052  051
74:  053  052  053
75:  053  053  053
76:  053  054  053
77:  054  054  055
78:  054  055  055
79:  056  055  056
80:  056  056  055
81:  056  057  056
82:  057  057  057
83:  057  058  057
84:  059  058  059
85:  059  059  059
86:  059  060  059
87:  061  060  060
88:  061  061  060
89:  062  061  062
90:  062  062  063
91:  062  063  063
92:  064  063  064
93:  064  064  065
94:  064  065  065
95:  066  065  066
96:  066  066  066
97:  066  067  066
98:  068  067  068
99:  068  068  067
100:  068  069  068
101:  070  069  070
102:  070  070  070
103:  070  071  071
104:  072  071  072
105:  072  072  073
106:  073  073  072
107:  074  073  074
108:  075  074  074
109:  075  075  075
110:  075  076  075
111:  077  076  077
112:  078  077  077
113:  078  078  077
114:  078  079  078
115:  080  079  080
116:  081  080  080
117:  082  081  081
118:  082  082  082
119:  082  083  082
120:  083  084  083
121:  085  084  085
122:  085  085  086
123:  086  086  085
124:  086  087  086
125:  088  087  088
126:  089  088  089
127:  089  089  090
128:  090  090  089
129:  091  091  090
130:  091  092  091
131:  092  093  092
132:  094  093  093
133:  094  094  094
134:  095  095  096
135:  096  096  095
136:  096  097  097
137:  097  098  097
138:  098  099  098
139:  099  100  099
140:  100  101  100
141:  101  102  101
142:  103  102  102
143:  104  103  103
144:  105  104  105
145:  106  105  105
146:  107  106  106
147:  108  107  108
148:  109  108  108
149:  110  109  109
150:  111  110  110
151:  112  111  111
152:  113  112  112
153:  114  113  113
154:  115  114  115
155:  115  116  115
156:  117  116  117
157:  117  118  117
158:  118  119  118
159:  119  120  119
160:  120  121  120
161:  121  122  122
162:  122  123  122
163:  123  124  124
164:  125  125  124
165:  126  126  126
166:  127  127  128
167:  128  128  129
168:  130  129  129
169:  131  130  131
170:  132  131  131
171:  132  133  132
172:  133  134  134
173:  134  135  135
174:  136  136  135
175:  137  137  137
176:  138  138  138
177:  140  139  139
178:  141  140  141
179:  142  141  142
180:  142  143  142
181:  143  144  144
182:  145  145  144
183:  146  146  147
184:  148  147  147
185:  149  148  149
186:  149  150  149
187:  150  151  151
188:  152  152  152
189:  154  153  153
190:  155  154  155
191:  155  156  155
192:  156  157  157
193:  158  158  159
194:  160  159  159
195:  160  161  160
196:  161  162  162
197:  163  163  164
198:  165  164  165
199:  165  166  165
200:  167  167  166
201:  169  168  168
202:  169  170  169
203:  171  171  170
204:  172  172  172
205:  173  173  173
206:  175  174  174
207:  175  176  175
208:  177  177  177
209:  179  178  178
210:  179  180  180
211:  181  181  182
212:  183  182  183
213:  183  184  184
214:  186  185  185
215:  186  187  187
216:  188  188  189
217:  189  190  189
218:  191  191  190
219:  193  192  193
220:  194  194  193
221:  195  196  195
222:  197  197  198
223:  198  199  199
224:  201  200  201
225:  202  202  202
226:  204  204  203
227:  205  206  205
228:  208  207  208
229:  208  209  209
230:  211  211  210
231:  213  212  212
232:  215  214  214
233:  216  216  216
234:  218  217  218
235:  220  219  220
236:  221  222  221
237:  222  223  223
238:  224  225  225
239:  227  227  226
240:  229  229  228
241:  230  231  230
242:  232  232  231
243:  233  234  234
244:  235  236  235
245:  237  238  237
246:  240  240  239
247:  242  241  242
248:  243  243  244
249:  244  245  244
250:  246  246  247
251:  248  248  248
252:  249  250  249
253:  251  251  250
254:  252  252  253
255:  254  253  253
256:  255  255  254
