# LutGenerate 2.2 - 05/11/05
#  Display ID: DELL_1905FP_53U-173A
# Ambient = 0.10   Max. Luminence = 255.00   Luminence Ratio = 250.00
#  lumResponse vers. 1.5c - 05/09/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=26.1% G=63.7% B=10.3%
1:  016  016  015
2:  017  016  017
3:  017  017  017
4:  018  017  018
5:  018  018  018
6:  019  018  019
7:  019  019  018
8:  020  019  019
9:  019  020  020
10:  020  020  021
11:  020  021  020
12:  021  021  022
13:  021  022  021
14:  022  022  021
15:  023  022  022
16:  022  023  022
17:  023  023  023
18:  024  023  024
19:  023  024  024
20:  024  024  025
21:  025  024  025
22:  025  025  024
23:  025  025  026
24:  025  026  025
25:  026  026  025
26:  027  026  026
27:  028  027  027
28:  027  028  027
29:  028  028  028
30:  029  028  029
31:  029  029  028
32:  030  029  029
33:  029  030  029
34:  030  030  030
35:  031  030  031
36:  030  031  031
37:  031  031  031
38:  031  032  031
39:  032  032  032
40:  032  033  032
41:  033  033  033
42:  033  034  033
43:  034  034  034
44:  034  035  034
45:  035  035  036
46:  035  036  035
47:  037  036  036
48:  036  037  037
49:  038  037  037
50:  038  038  037
51:  039  038  039
52:  039  039  039
53:  039  040  039
54:  040  041  040
55:  042  041  042
56:  042  042  042
57:  042  043  042
58:  044  043  043
59:  044  044  043
60:  044  045  044
61:  046  045  045
62:  046  046  045
63:  046  047  046
64:  048  047  047
65:  047  048  048
66:  049  048  048
67:  049  049  048
68:  050  049  050
69:  050  050  051
70:  050  051  050
71:  052  051  052
72:  052  052  053
73:  052  053  053
74:  054  054  055
75:  054  055  055
76:  056  055  056
77:  056  056  057
78:  056  057  057
79:  058  057  058
80:  058  058  059
81:  059  059  058
82:  059  060  059
83:  061  060  061
84:  061  061  062
85:  062  062  062
86:  063  063  062
87:  063  064  064
88:  064  065  064
89:  065  066  065
90:  067  066  066
91:  067  067  066
92:  068  067  068
93:  068  068  069
94:  069  069  068
95:  070  069  070
96:  071  070  070
97:  071  071  072
98:  072  072  071
99:  073  072  073
100:  073  073  074
101:  074  074  073
102:  074  075  074
103:  076  075  075
104:  076  076  077
105:  076  077  077
106:  077  078  077
107:  079  078  078
108:  079  079  079
109:  080  080  079
110:  081  081  082
111:  083  082  082
112:  083  083  084
113:  083  084  084
114:  085  084  085
115:  085  085  086
116:  086  086  086
117:  086  087  087
118:  088  087  088
119:  088  088  089
120:  089  089  088
121:  089  090  089
122:  090  091  090
123:  092  091  092
124:  093  092  092
125:  093  093  093
126:  093  094  094
127:  094  095  094
128:  096  095  096
129:  097  096  096
130:  097  097  097
131:  098  098  097
132:  098  099  099
133:  099  100  099
134:  101  100  101
135:  102  101  101
136:  102  102  103
137:  104  103  103
138:  105  104  104
139:  106  105  105
140:  106  106  107
141:  107  107  107
142:  108  109  108
143:  109  110  109
144:  111  110  111
145:  112  111  111
146:  113  112  113
147:  114  113  114
148:  115  114  114
149:  116  115  116
150:  117  116  117
151:  118  117  118
152:  119  118  118
153:  120  119  119
154:  121  120  120
155:  121  122  121
156:  122  123  122
157:  124  124  123
158:  125  125  124
159:  126  126  125
160:  127  127  127
161:  128  128  129
162:  130  129  129
163:  130  131  130
164:  131  132  131
165:  132  133  132
166:  134  134  133
167:  135  136  135
168:  136  137  136
169:  137  138  137
170:  138  139  138
171:  139  140  140
172:  141  141  140
173:  142  142  141
174:  143  143  144
175:  145  144  145
176:  145  146  145
177:  146  147  146
178:  147  148  148
179:  149  149  149
180:  150  150  149
181:  151  151  151
182:  152  152  153
183:  153  153  154
184:  154  154  155
185:  156  155  155
186:  157  156  156
187:  158  157  158
188:  159  158  159
189:  159  160  159
190:  160  161  161
191:  163  162  163
192:  164  164  163
193:  165  165  165
194:  167  166  166
195:  168  167  168
196:  168  169  168
197:  169  170  170
198:  171  171  172
199:  173  172  172
200:  173  174  173
201:  175  175  175
202:  177  176  176
203:  178  177  178
204:  178  179  178
205:  180  180  179
206:  182  181  181
207:  183  182  183
208:  183  184  184
209:  186  185  185
210:  187  186  186
211:  187  188  187
212:  189  190  189
213:  190  191  191
214:  192  192  193
215:  194  193  194
216:  194  195  195
217:  196  196  196
218:  198  197  197
219:  198  199  198
220:  200  200  199
221:  202  201  201
222:  202  203  202
223:  204  204  204
224:  205  206  205
225:  207  207  208
226:  208  209  208
227:  210  210  209
228:  212  211  211
229:  212  213  212
230:  214  214  214
231:  216  215  215
232:  218  217  217
233:  219  219  218
234:  221  220  221
235:  222  221  221
236:  223  223  222
237:  225  224  224
238:  225  226  226
239:  228  227  228
240:  228  229  229
241:  230  230  231
242:  231  232  231
243:  234  233  233
244:  235  235  235
245:  236  237  236
246:  238  238  237
247:  240  240  241
248:  241  242  241
249:  243  244  244
250:  245  246  245
251:  247  247  248
252:  249  249  248
253:  250  250  251
254:  251  252  252
255:  253  253  253
256:  254  255  254
