# LutGenerate 2.2 - 03/14/05
#  Display ID: FP1905-4ADAELM
# Ambient = 0.30   Max. Luminence = 260.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5c - 03/11/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.0% G=68.9% B=9.1%
1:  013  013  014
2:  014  014  015
3:  015  015  015
4:  015  016  015
5:  017  016  016
6:  017  017  016
7:  018  017  018
8:  018  018  017
9:  019  018  018
10:  018  019  018
11:  019  019  020
12:  020  019  020
13:  019  020  020
14:  021  020  020
15:  020  021  020
16:  021  021  020
17:  022  021  021
18:  021  022  021
19:  021  022  022
20:  022  022  023
21:  023  022  023
22:  022  023  022
23:  023  023  023
24:  024  023  023
25:  023  024  023
26:  024  024  023
27:  024  024  025
28:  025  024  025
29:  024  025  024
30:  025  025  024
31:  026  025  025
32:  025  026  025
33:  025  026  026
34:  026  026  027
35:  027  026  027
36:  026  027  026
37:  027  027  027
38:  028  027  027
39:  027  028  027
40:  028  028  027
41:  029  028  028
42:  028  029  028
43:  028  029  029
44:  030  029  029
45:  030  029  030
46:  029  030  030
47:  030  030  031
48:  031  030  031
49:  030  031  031
50:  031  031  032
51:  032  031  032
52:  032  032  031
53:  033  032  033
54:  032  033  033
55:  034  033  033
56:  033  034  034
57:  035  034  034
58:  034  035  034
59:  036  035  036
60:  036  036  035
61:  037  036  037
62:  037  037  037
63:  037  038  037
64:  038  038  039
65:  038  039  038
66:  040  039  039
67:  040  040  039
68:  040  041  040
69:  042  041  041
70:  041  042  042
71:  043  042  043
72:  043  043  043
73:  043  044  043
74:  045  044  044
75:  045  045  044
76:  045  046  045
77:  047  046  046
78:  047  047  046
79:  047  048  047
80:  049  048  048
81:  049  049  048
82:  049  050  049
83:  051  050  051
84:  051  051  051
85:  051  052  051
86:  053  052  053
87:  053  053  054
88:  054  054  053
89:  054  055  054
90:  056  055  056
91:  057  056  056
92:  057  057  056
93:  057  058  058
94:  059  058  059
95:  060  059  060
96:  061  060  060
97:  061  061  061
98:  061  062  061
99:  062  063  062
100:  064  063  064
101:  065  064  064
102:  065  065  064
103:  065  066  066
104:  066  067  066
105:  068  067  068
106:  069  068  068
107:  069  069  068
108:  069  070  069
109:  070  071  070
110:  072  071  072
111:  073  072  072
112:  073  073  073
113:  074  074  073
114:  074  075  074
115:  075  076  076
116:  076  077  076
117:  077  078  077
118:  078  079  078
119:  079  080  079
120:  080  081  080
121:  082  081  082
122:  083  082  082
123:  083  083  084
124:  084  084  083
125:  084  085  084
126:  086  086  085
127:  086  087  087
128:  087  088  087
129:  088  089  088
130:  089  090  089
131:  090  091  090
132:  091  092  091
133:  092  093  092
134:  093  094  093
135:  094  095  094
136:  095  096  095
137:  096  097  096
138:  097  098  097
139:  099  098  099
140:  100  099  100
141:  101  100  100
142:  102  101  102
143:  103  102  102
144:  104  103  103
145:  105  104  104
146:  106  105  105
147:  107  106  106
148:  108  107  107
149:  109  108  108
150:  110  109  109
151:  111  110  110
152:  112  111  111
153:  113  112  113
154:  114  113  113
155:  115  114  115
156:  116  115  116
157:  116  117  116
158:  117  118  117
159:  118  119  118
160:  119  120  119
161:  121  121  120
162:  122  122  121
163:  123  123  122
164:  124  124  125
165:  126  125  125
166:  127  126  126
167:  128  127  128
168:  128  129  128
169:  129  130  129
170:  131  131  130
171:  132  132  133
172:  134  133  133
173:  135  134  134
174:  136  135  136
175:  136  137  136
176:  137  138  138
177:  139  139  138
178:  140  140  141
179:  142  141  141
180:  143  142  143
181:  143  144  143
182:  145  145  144
183:  146  146  147
184:  148  147  148
185:  148  149  148
186:  149  150  150
187:  151  151  151
188:  153  152  152
189:  154  153  154
190:  154  155  154
191:  156  156  157
192:  158  157  157
193:  158  159  158
194:  159  160  160
195:  161  161  162
196:  163  162  163
197:  163  164  163
198:  165  165  164
199:  167  166  166
200:  167  168  167
201:  168  169  169
202:  170  170  171
203:  172  171  172
204:  172  173  173
205:  174  174  174
206:  176  175  175
207:  176  177  176
208:  178  178  179
209:  180  179  180
210:  180  181  181
211:  182  182  183
212:  183  184  183
213:  185  185  184
214:  187  186  187
215:  187  188  188
216:  190  189  189
217:  190  191  190
218:  192  192  193
219:  193  194  193
220:  196  195  195
221:  196  197  197
222:  199  198  199
223:  200  200  201
224:  201  202  201
225:  204  203  203
226:  205  205  204
227:  206  207  206
228:  209  208  208
229:  210  210  209
230:  212  211  212
231:  213  213  214
232:  215  215  215
233:  217  217  216
234:  218  218  218
235:  219  220  219
236:  221  222  221
237:  224  223  224
238:  225  225  226
239:  228  227  227
240:  229  229  228
241:  231  231  230
242:  232  233  232
243:  235  235  234
244:  236  237  236
245:  238  238  239
246:  241  240  240
247:  241  242  241
248:  243  243  243
249:  245  245  244
250:  246  246  247
251:  247  248  248
252:  249  250  249
253:  250  251  250
254:  252  252  252
255:  253  253  253
256:  254  255  254
