# LutGenerate 2.2 - 10/05/05
#  Display ID: DELL_2001FP_C064657T2NVL
# Ambient = 0.25   Max. Luminence = 242.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/05/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=23.0% G=69.9% B=7.2%
1:  005  004  005
2:  007  006  006
3:  007  008  007
4:  008  009  008
5:  011  010  010
6:  012  011  011
7:  013  012  012
8:  013  013  014
9:  014  014  014
10:  015  015  014
11:  015  016  015
12:  017  016  017
13:  018  017  017
14:  018  018  018
15:  019  019  020
16:  019  020  020
17:  020  021  020
18:  022  021  022
19:  023  022  022
20:  023  023  023
21:  023  024  024
22:  025  024  025
23:  026  025  025
24:  026  026  025
25:  026  027  026
26:  027  028  027
27:  029  028  029
28:  029  029  029
29:  029  030  029
30:  031  030  030
31:  031  031  031
32:  031  032  031
33:  033  032  033
34:  033  033  033
35:  033  034  033
36:  035  034  035
37:  035  035  036
38:  035  036  036
39:  036  037  037
40:  037  038  037
41:  039  038  038
42:  039  039  038
43:  039  040  039
44:  041  040  041
45:  041  041  042
46:  041  042  042
47:  042  043  042
48:  044  043  044
49:  044  044  045
50:  044  045  045
51:  046  046  045
52:  046  047  046
53:  048  047  048
54:  048  048  047
55:  048  049  048
56:  050  049  050
57:  050  050  051
58:  050  051  051
59:  051  052  051
60:  053  052  053
61:  053  053  054
62:  053  054  054
63:  054  055  055
64:  055  056  055
65:  057  056  057
66:  057  057  057
67:  057  058  058
68:  058  059  058
69:  060  059  060
70:  060  060  061
71:  060  061  061
72:  061  062  061
73:  063  062  063
74:  063  063  064
75:  063  064  064
76:  065  065  064
77:  065  066  065
78:  067  066  067
79:  067  067  068
80:  067  068  067
81:  069  068  069
82:  069  069  068
83:  069  070  069
84:  070  070  071
85:  070  071  070
86:  072  071  072
87:  072  072  071
88:  073  072  073
89:  073  073  074
90:  074  074  075
91:  074  075  074
92:  076  075  076
93:  075  076  076
94:  076  077  076
95:  078  077  077
96:  077  078  078
97:  079  078  079
98:  079  079  079
99:  079  080  079
100:  081  080  080
101:  081  081  080
102:  082  081  082
103:  082  082  083
104:  083  083  082
105:  083  084  083
106:  085  084  084
107:  085  085  084
108:  086  085  086
109:  087  086  086
110:  086  087  086
111:  088  087  088
112:  088  088  088
113:  088  089  088
114:  090  089  090
115:  090  090  091
116:  090  091  090
117:  091  092  091
118:  092  093  092
119:  094  093  094
120:  094  094  094
121:  094  095  095
122:  096  095  095
123:  096  096  096
124:  096  097  096
125:  098  097  098
126:  098  098  099
127:  098  099  098
128:  100  099  100
129:  101  100  100
130:  102  101  102
131:  102  102  102
132:  102  103  102
133:  103  104  103
134:  105  104  105
135:  105  105  106
136:  106  106  105
137:  106  107  106
138:  108  107  108
139:  109  108  108
140:  109  109  109
141:  111  110  111
142:  112  111  111
143:  112  112  113
144:  113  113  112
145:  113  114  113
146:  114  115  114
147:  116  115  116
148:  117  116  116
149:  118  117  117
150:  118  118  119
151:  120  119  120
152:  121  120  121
153:  122  121  122
154:  123  122  123
155:  124  123  124
156:  125  124  124
157:  126  125  125
158:  127  126  126
159:  128  127  127
160:  128  129  128
161:  129  130  130
162:  130  131  131
163:  132  132  131
164:  133  133  132
165:  134  134  133
166:  134  135  135
167:  135  136  136
168:  136  137  136
169:  139  138  139
170:  140  139  139
171:  141  140  141
172:  142  141  142
173:  143  142  143
174:  144  143  144
175:  144  145  144
176:  145  146  145
177:  148  147  147
178:  149  148  149
179:  150  149  149
180:  150  151  150
181:  151  152  151
182:  152  153  152
183:  153  154  153
184:  155  155  154
185:  157  156  157
186:  158  157  158
187:  158  159  158
188:  159  160  159
189:  160  161  160
190:  162  162  161
191:  163  163  164
192:  165  164  164
193:  165  166  166
194:  167  167  166
195:  168  168  169
196:  170  169  169
197:  171  170  171
198:  171  172  171
199:  172  173  173
200:  175  174  175
201:  175  176  175
202:  176  177  177
203:  178  178  178
204:  180  179  180
205:  180  181  180
206:  182  182  181
207:  183  184  183
208:  185  185  184
209:  186  186  187
210:  188  187  188
211:  189  189  188
212:  191  190  190
213:  191  192  191
214:  194  193  194
215:  194  195  194
216:  196  196  197
217:  197  198  197
218:  199  199  199
219:  201  200  201
220:  203  202  202
221:  204  203  204
222:  204  205  204
223:  206  206  207
224:  208  207  208
225:  208  209  208
226:  210  210  209
227:  211  212  211
228:  213  213  212
229:  215  214  215
230:  215  216  215
231:  217  217  216
232:  219  218  219
233:  220  220  221
234:  221  222  221
235:  223  223  224
236:  224  225  224
237:  227  226  226
238:  228  227  228
239:  230  229  229
240:  230  231  230
241:  232  233  232
242:  234  234  233
243:  235  236  235
244:  237  237  236
245:  238  239  238
246:  240  240  239
247:  242  241  242
248:  242  243  242
249:  244  244  243
250:  246  245  245
251:  247  247  246
252:  248  249  248
253:  250  250  249
254:  251  252  251
255:  254  253  253
256:  255  255  255
