# LutGenerate 2.2 - 10/05/05
#  Display ID: DELL_2001FP_C064657T2P9L
# Ambient = 0.25   Max. Luminence = 252.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/05/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=23.4% G=69.6% B=7.0%
1:  000  001  000
2:  002  001  001
3:  001  002  001
4:  003  004  003
5:  006  005  006
6:  007  007  007
7:  008  008  009
8:  009  009  010
9:  010  010  011
10:  011  011  010
11:  011  012  012
12:  012  013  012
13:  013  014  014
14:  014  015  014
15:  016  015  016
16:  016  016  017
17:  016  017  017
18:  018  017  018
19:  018  018  019
20:  019  019  018
21:  019  020  019
22:  020  021  021
23:  021  022  021
24:  023  022  022
25:  023  023  024
26:  024  024  023
27:  024  025  024
28:  026  025  025
29:  025  026  026
30:  027  027  026
31:  027  028  027
32:  028  028  029
33:  028  029  029
34:  029  030  029
35:  031  030  030
36:  031  031  030
37:  031  032  031
38:  033  032  032
39:  033  033  032
40:  033  034  034
41:  035  034  035
42:  035  035  036
43:  035  036  036
44:  037  036  036
45:  038  037  037
46:  037  038  038
47:  038  039  038
48:  040  039  040
49:  040  040  040
50:  041  041  042
51:  041  042  042
52:  042  043  042
53:  044  043  043
54:  044  044  043
55:  044  045  044
56:  046  045  046
57:  046  046  047
58:  046  047  047
59:  047  048  048
60:  049  048  049
61:  050  049  050
62:  050  050  050
63:  050  051  050
64:  052  051  052
65:  052  052  053
66:  052  053  053
67:  054  054  053
68:  054  055  054
69:  056  055  056
70:  056  056  056
71:  056  057  057
72:  058  057  058
73:  059  058  058
74:  059  059  058
75:  059  060  059
76:  061  061  060
77:  061  062  061
78:  063  062  063
79:  063  063  064
80:  064  064  063
81:  064  065  064
82:  066  065  066
83:  066  066  067
84:  066  067  067
85:  068  068  067
86:  068  069  068
87:  070  069  069
88:  069  070  070
89:  071  070  071
90:  071  071  071
91:  071  072  071
92:  073  072  072
93:  072  073  073
94:  074  073  074
95:  074  074  074
96:  075  075  074
97:  075  076  075
98:  077  076  076
99:  076  077  077
100:  078  077  078
101:  078  078  079
102:  078  079  078
103:  080  079  080
104:  080  080  081
105:  081  081  081
106:  081  082  081
107:  083  082  082
108:  082  083  082
109:  084  083  084
110:  084  084  083
111:  084  085  084
112:  086  085  085
113:  086  086  085
114:  086  087  086
115:  087  088  087
116:  089  088  088
117:  090  089  089
118:  090  090  089
119:  090  091  090
120:  092  091  091
121:  091  092  091
122:  093  092  092
123:  093  093  092
124:  093  094  093
125:  095  094  095
126:  096  095  095
127:  096  096  095
128:  096  097  096
129:  098  097  097
130:  098  098  099
131:  099  099  099
132:  099  100  099
133:  101  100  100
134:  102  101  101
135:  103  102  102
136:  103  103  103
137:  103  104  103
138:  105  104  105
139:  106  105  105
140:  106  106  105
141:  106  107  106
142:  108  108  107
143:  108  109  108
144:  109  110  109
145:  111  110  110
146:  112  111  112
147:  112  112  112
148:  113  113  112
149:  113  114  114
150:  115  115  115
151:  115  116  116
152:  116  117  116
153:  117  118  117
154:  118  119  118
155:  119  120  119
156:  121  120  120
157:  121  122  121
158:  122  123  122
159:  123  124  123
160:  124  125  124
161:  125  126  125
162:  126  127  126
163:  127  128  127
164:  129  129  129
165:  130  130  130
166:  131  131  132
167:  133  132  133
168:  134  133  133
169:  134  135  134
170:  135  136  135
171:  136  137  136
172:  137  138  137
173:  138  139  138
174:  139  140  139
175:  140  141  140
176:  142  142  143
177:  143  143  144
178:  144  144  145
179:  146  145  145
180:  147  146  147
181:  148  147  147
182:  149  149  148
183:  150  150  150
184:  151  151  152
185:  152  152  153
186:  154  153  153
187:  155  154  155
188:  155  156  156
189:  157  157  156
190:  158  158  159
191:  160  159  159
192:  161  160  161
193:  161  162  162
194:  163  163  162
195:  164  164  164
196:  166  165  165
197:  167  166  167
198:  167  168  167
199:  170  169  169
200:  171  170  171
201:  171  172  171
202:  172  173  172
203:  174  174  173
204:  175  175  176
205:  176  177  176
206:  178  178  179
207:  180  179  180
208:  180  181  180
209:  183  182  182
210:  184  183  184
211:  184  185  184
212:  186  186  187
213:  187  188  187
214:  190  189  190
215:  191  190  191
216:  191  192  192
217:  194  193  193
218:  194  195  194
219:  197  196  197
220:  198  198  197
221:  200  199  200
222:  200  201  201
223:  203  202  203
224:  204  204  205
225:  205  206  205
226:  207  207  208
227:  208  209  209
228:  211  210  210
229:  211  212  211
230:  213  213  212
231:  215  214  215
232:  217  216  216
233:  217  218  217
234:  219  220  219
235:  220  221  220
236:  222  222  222
237:  224  224  224
238:  225  226  225
239:  228  227  227
240:  228  229  229
241:  230  231  230
242:  233  232  232
243:  233  234  233
244:  235  235  235
245:  236  237  237
246:  238  239  238
247:  240  240  239
248:  241  242  241
249:  244  243  244
250:  244  245  244
251:  246  247  246
252:  247  248  248
253:  250  250  249
254:  252  251  251
255:  253  253  252
256:  254  255  254
