# LutGenerate 2.2 - 09/30/05
#  Display ID: DELL_2001FP_C064657T371L
# Ambient = 0.25   Max. Luminence = 233.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 09/30/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=24.7% G=68.1% B=7.2%
1:  000  000  001
2:  000  001  001
3:  002  001  002
4:  002  002  001
5:  005  005  006
6:  006  007  006
7:  007  008  008
8:  009  009  008
9:  011  010  010
10:  011  011  012
11:  012  012  012
12:  012  013  013
13:  014  014  014
14:  014  015  015
15:  015  016  015
16:  017  016  017
17:  017  017  018
18:  017  018  018
19:  018  019  019
20:  019  020  019
21:  021  020  020
22:  021  021  020
23:  021  022  021
24:  023  023  023
25:  023  024  023
26:  025  024  025
27:  025  025  026
28:  025  026  025
29:  027  026  027
30:  027  027  028
31:  028  028  029
32:  028  029  028
33:  030  029  030
34:  030  030  029
35:  030  031  030
36:  032  031  032
37:  032  032  032
38:  033  033  033
39:  033  034  033
40:  035  034  035
41:  035  035  034
42:  035  036  035
43:  037  036  036
44:  038  037  037
45:  038  038  037
46:  038  039  038
47:  040  039  039
48:  039  040  040
49:  040  041  040
50:  042  041  041
51:  043  042  042
52:  043  043  042
53:  043  044  043
54:  045  044  045
55:  045  045  044
56:  046  046  047
57:  046  047  047
58:  048  047  048
59:  049  048  048
60:  048  049  049
61:  049  050  049
62:  051  050  050
63:  052  051  051
64:  052  052  051
65:  052  053  052
66:  054  053  054
67:  054  054  054
68:  055  055  056
69:  055  056  055
70:  057  056  057
71:  057  057  058
72:  057  058  058
73:  058  059  058
74:  060  059  059
75:  061  060  061
76:  061  061  062
77:  061  062  062
78:  062  063  062
79:  064  063  064
80:  064  064  064
81:  065  065  066
82:  065  066  066
83:  067  066  067
84:  068  067  068
85:  068  068  069
86:  069  069  070
87:  069  070  070
88:  071  070  071
89:  071  071  072
90:  071  072  071
91:  073  072  072
92:  072  073  073
93:  073  074  074
94:  075  074  075
95:  075  075  074
96:  075  076  075
97:  077  076  077
98:  077  077  076
99:  077  078  078
100:  079  078  079
101:  079  079  080
102:  079  080  079
103:  081  080  080
104:  081  081  080
105:  081  082  081
106:  083  082  083
107:  084  083  084
108:  084  084  083
109:  085  084  085
110:  085  085  085
111:  085  086  085
112:  087  086  086
113:  088  087  087
114:  088  088  087
115:  088  089  088
116:  090  089  089
117:  090  090  089
118:  090  091  090
119:  092  091  091
120:  093  092  093
121:  093  093  093
122:  093  094  093
123:  095  094  095
124:  094  095  095
125:  096  095  095
126:  096  096  097
127:  097  097  098
128:  097  098  098
129:  098  099  098
130:  100  099  099
131:  100  100  099
132:  101  101  101
133:  101  102  101
134:  103  102  103
135:  103  103  104
136:  104  104  103
137:  104  105  104
138:  105  106  105
139:  106  107  106
140:  108  107  108
141:  108  108  109
142:  108  109  109
143:  110  110  109
144:  110  111  110
145:  112  111  112
146:  113  112  113
147:  114  113  113
148:  114  114  113
149:  115  115  115
150:  116  116  115
151:  116  117  116
152:  117  118  117
153:  118  119  119
154:  119  120  119
155:  120  121  120
156:  121  122  121
157:  123  122  123
158:  124  123  124
159:  124  125  124
160:  125  126  125
161:  127  126  127
162:  128  127  128
163:  128  129  128
164:  129  130  130
165:  130  131  130
166:  131  132  132
167:  133  133  134
168:  134  134  135
169:  136  135  136
170:  137  136  137
171:  137  138  137
172:  138  139  138
173:  139  140  139
174:  140  141  141
175:  142  142  142
176:  144  143  143
177:  145  144  144
178:  146  145  145
179:  147  146  146
180:  147  148  147
181:  148  149  148
182:  149  150  149
183:  152  151  151
184:  153  152  152
185:  154  153  153
186:  155  154  155
187:  155  156  155
188:  157  157  156
189:  158  158  157
190:  160  159  159
191:  161  160  160
192:  161  162  161
193:  162  163  163
194:  164  164  163
195:  166  165  166
196:  166  167  166
197:  167  168  167
198:  168  169  168
199:  171  170  170
200:  172  171  172
201:  173  172  173
202:  175  174  174
203:  176  175  175
204:  177  176  177
205:  177  178  177
206:  180  179  179
207:  181  180  180
208:  181  182  181
209:  184  183  183
210:  185  184  185
211:  185  186  185
212:  187  187  186
213:  188  189  188
214:  190  190  189
215:  192  191  191
216:  192  193  193
217:  195  194  194
218:  196  195  196
219:  197  197  198
220:  199  198  198
221:  200  200  199
222:  202  201  201
223:  203  203  202
224:  205  204  205
225:  207  206  206
226:  207  208  207
227:  209  209  208
228:  210  211  211
229:  213  212  213
230:  213  214  214
231:  216  215  215
232:  216  217  217
233:  219  218  218
234:  220  220  219
235:  222  221  222
236:  222  223  222
237:  224  224  224
238:  225  226  225
239:  227  227  228
240:  229  229  229
241:  230  231  230
242:  233  232  232
243:  233  234  233
244:  236  235  235
245:  236  237  237
246:  238  239  238
247:  241  240  240
248:  241  242  241
249:  244  243  243
250:  244  245  245
251:  247  246  246
252:  248  249  248
253:  250  250  250
254:  251  252  251
255:  253  253  253
256:  254  255  254
