# LutGenerate 2.2 - 10/07/05
#  Display ID: DELL_2001FP_C06465881L1L
# Ambient = 0.25   Max. Luminence = 222.00   Luminence Ratio = 225.00
#  lumResponse vers. 1.5d - 10/07/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=24.5% G=68.4% B=7.0%
1:  011  012  011
2:  014  013  014
3:  014  015  014
4:  015  016  015
5:  017  016  017
6:  018  017  017
7:  018  018  017
8:  019  020  019
9:  020  021  020
10:  021  022  022
11:  022  023  022
12:  023  024  023
13:  025  024  025
14:  026  025  026
15:  027  026  027
16:  026  027  027
17:  028  027  028
18:  028  028  029
19:  029  030  029
20:  031  030  031
21:  032  031  031
22:  031  032  031
23:  033  032  033
24:  033  033  032
25:  033  034  033
26:  034  035  034
27:  036  035  036
28:  035  036  036
29:  037  036  037
30:  037  037  036
31:  039  038  039
32:  039  039  040
33:  039  040  040
34:  041  040  040
35:  041  041  040
36:  041  042  041
37:  043  042  042
38:  043  043  042
39:  043  044  044
40:  044  044  045
41:  044  045  045
42:  045  046  045
43:  047  046  046
44:  046  047  046
45:  049  048  048
46:  049  049  048
47:  050  049  050
48:  050  050  049
49:  050  051  050
50:  051  051  052
51:  051  052  052
52:  053  052  052
53:  053  053  054
54:  053  054  053
55:  054  054  055
56:  054  055  054
57:  055  055  056
58:  056  056  057
59:  058  057  058
60:  058  058  058
61:  058  059  058
62:  060  059  059
63:  059  060  060
64:  061  060  061
65:  061  061  062
66:  061  062  062
67:  063  062  062
68:  062  063  063
69:  064  063  064
70:  063  064  064
71:  065  064  065
72:  065  065  066
73:  066  066  065
74:  068  067  068
75:  068  068  067
76:  069  068  069
77:  069  069  069
78:  069  070  069
79:  071  070  071
80:  071  071  072
81:  071  072  071
82:  073  072  072
83:  072  073  073
84:  074  073  074
85:  074  074  075
86:  075  075  074
87:  077  076  076
88:  076  077  076
89:  077  077  078
90:  079  078  078
91:  079  079  078
92:  079  080  079
93:  081  080  080
94:  080  081  080
95:  082  081  081
96:  082  082  081
97:  082  083  082
98:  084  083  083
99:  084  084  084
100:  084  085  084
101:  086  085  085
102:  087  086  087
103:  088  087  087
104:  087  088  087
105:  088  089  088
106:  089  089  088
107:  089  090  089
108:  090  091  090
109:  092  091  092
110:  092  092  092
111:  092  093  093
112:  094  093  093
113:  094  094  093
114:  096  095  095
115:  096  096  096
116:  096  097  097
117:  098  097  098
118:  099  098  098
119:  099  099  098
120:  099  100  099
121:  100  100  101
122:  102  101  101
123:  102  102  101
124:  102  103  102
125:  103  103  104
126:  104  104  103
127:  106  105  105
128:  106  106  107
129:  107  107  107
130:  107  108  107
131:  109  108  108
132:  110  109  109
133:  110  110  109
134:  111  111  110
135:  111  112  111
136:  112  113  112
137:  114  114  115
138:  115  115  115
139:  116  116  115
140:  116  117  116
141:  118  117  117
142:  119  118  118
143:  120  119  119
144:  120  120  121
145:  121  121  120
146:  121  122  122
147:  122  123  122
148:  124  125  124
149:  126  125  126
150:  127  126  126
151:  128  127  127
152:  129  128  128
153:  130  129  129
154:  130  130  131
155:  131  131  132
156:  132  132  133
157:  135  134  134
158:  136  135  135
159:  137  136  136
160:  138  137  137
161:  139  138  138
162:  140  139  139
163:  141  140  140
164:  142  141  141
165:  143  142  143
166:  143  144  144
167:  144  145  144
168:  145  146  145
169:  146  147  147
170:  147  148  147
171:  148  149  148
172:  149  150  149
173:  151  150  150
174:  153  152  153
175:  153  153  153
176:  153  154  154
177:  154  155  155
178:  155  156  156
179:  157  157  156
180:  157  158  157
181:  159  159  158
182:  159  160  160
183:  160  161  160
184:  163  162  162
185:  164  163  163
186:  165  164  164
187:  166  165  165
188:  166  166  167
189:  168  167  167
190:  169  168  168
191:  170  169  170
192:  171  170  170
193:  171  172  172
194:  172  173  173
195:  174  174  173
196:  174  175  174
197:  175  176  176
198:  176  177  177
199:  178  178  177
200:  178  179  179
201:  180  180  181
202:  181  182  182
203:  183  183  182
204:  183  184  184
205:  184  185  185
206:  186  186  185
207:  188  187  187
208:  188  188  189
209:  190  190  191
210:  192  191  191
211:  193  192  192
212:  194  193  194
213:  194  195  194
214:  195  196  196
215:  196  197  197
216:  198  198  197
217:  199  199  200
218:  202  201  202
219:  203  202  203
220:  203  204  203
221:  205  205  205
222:  206  206  207
223:  208  207  207
224:  209  208  209
225:  211  210  211
226:  212  212  211
227:  213  213  214
228:  215  214  215
229:  215  216  215
230:  217  217  216
231:  219  219  220
232:  220  220  220
233:  222  221  221
234:  223  223  223
235:  224  224  224
236:  225  225  226
237:  226  227  226
238:  228  229  228
239:  229  230  229
240:  231  231  232
241:  232  233  232
242:  235  234  234
243:  236  235  235
244:  236  237  237
245:  239  239  238
246:  240  240  240
247:  241  242  241
248:  242  243  242
249:  244  245  244
250:  246  246  247
251:  249  248  248
252:  250  250  249
253:  251  251  252
254:  253  252  252
255:  254  254  255
256:  255  255  255
