# LutGenerate 2.3 - 12/08/06
#  Display ID: DELL_2007FP_C953667D386L
# Ambient = 0.10   Max. Luminance = 237.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5f - 12/08/06
#  iLdelay=1  avgN=1  ILlimit_plus=0.50 ILlimit_minus=-0.05  R=22.4% G=68.2% B=9.4%
1:  015  014  015
2:  015  015  016
3:  016  016  015
4:  016  017  016
5:  018  017  018
6:  018  018  018
7:  019  018  019
8:  019  019  019
9:  019  020  019
10:  021  020  021
11:  021  021  021
12:  021  022  021
13:  022  022  023
14:  022  023  022
15:  024  023  023
16:  023  024  024
17:  025  024  025
18:  025  025  024
19:  026  025  026
20:  025  026  026
21:  027  026  026
22:  026  027  027
23:  028  027  027
24:  027  028  027
25:  028  028  028
26:  028  029  028
27:  030  029  030
28:  030  030  030
29:  031  030  031
30:  031  031  030
31:  032  031  032
32:  031  032  032
33:  033  032  033
34:  033  033  032
35:  033  034  033
36:  034  034  035
37:  034  035  034
38:  036  035  036
39:  036  036  035
40:  036  037  036
41:  038  037  037
42:  038  038  037
43:  039  038  039
44:  039  039  040
45:  039  040  040
46:  041  040  041
47:  041  041  042
48:  041  042  041
49:  043  042  043
50:  043  043  043
51:  043  044  043
52:  045  044  045
53:  045  045  045
54:  045  046  045
55:  047  046  046
56:  047  047  046
57:  048  047  048
58:  048  048  049
59:  048  049  049
60:  050  049  050
61:  050  050  051
62:  050  051  050
63:  052  051  052
64:  052  052  052
65:  052  053  052
66:  054  053  054
67:  054  054  054
68:  054  055  054
69:  056  055  056
70:  056  056  056
71:  056  057  056
72:  057  058  057
73:  059  058  059
74:  059  059  059
75:  059  060  059
76:  061  060  061
77:  061  061  062
78:  061  062  062
79:  063  062  063
80:  063  063  064
81:  063  064  064
82:  065  064  065
83:  065  065  066
84:  065  066  065
85:  067  066  067
86:  067  067  067
87:  067  068  067
88:  069  068  068
89:  069  069  068
90:  069  070  069
91:  071  070  070
92:  070  071  071
93:  072  071  072
94:  072  072  073
95:  072  073  073
96:  074  073  074
97:  074  074  074
98:  074  075  074
99:  076  075  075
100:  076  076  075
101:  076  077  076
102:  078  077  077
103:  078  078  077
104:  078  079  078
105:  080  079  079
106:  079  080  080
107:  080  081  080
108:  081  081  082
109:  082  082  081
110:  082  083  082
111:  084  083  083
112:  084  084  083
113:  084  085  084
114:  085  086  085
115:  087  086  087
116:  087  087  087
117:  087  088  088
118:  088  089  088
119:  090  089  089
120:  090  090  089
121:  090  091  090
122:  092  092  091
123:  092  093  092
124:  093  094  093
125:  095  094  095
126:  095  095  096
127:  096  096  097
128:  096  097  097
129:  097  098  097
130:  099  098  099
131:  100  099  100
132:  100  100  101
133:  101  101  102
134:  102  102  101
135:  102  103  102
136:  103  104  103
137:  104  105  104
138:  106  105  106
139:  107  106  107
140:  107  107  108
141:  108  108  109
142:  109  109  110
143:  110  110  110
144:  111  111  111
145:  112  112  112
146:  113  113  112
147:  115  114  115
148:  116  115  115
149:  117  116  116
150:  118  117  118
151:  118  119  118
152:  119  120  119
153:  120  121  120
154:  121  122  122
155:  123  123  123
156:  124  124  125
157:  126  125  125
158:  127  126  127
159:  127  128  127
160:  128  129  128
161:  129  130  129
162:  130  131  130
163:  131  132  131
164:  132  133  132
165:  134  133  134
166:  135  134  135
167:  136  135  135
168:  137  136  136
169:  137  137  138
170:  138  138  139
171:  139  139  139
172:  140  140  140
173:  141  141  141
174:  142  142  142
175:  144  143  143
176:  145  144  145
177:  146  145  146
178:  147  146  146
179:  148  147  147
180:  149  148  148
181:  150  149  149
182:  150  150  151
183:  152  151  151
184:  153  152  152
185:  154  153  154
186:  155  154  155
187:  156  155  156
188:  157  156  157
189:  158  157  158
190:  159  158  159
191:  159  160  159
192:  160  161  160
193:  161  162  161
194:  162  163  162
195:  164  164  163
196:  165  165  164
197:  166  166  166
198:  167  167  168
199:  169  168  168
200:  170  169  170
201:  170  171  170
202:  172  172  173
203:  174  173  173
204:  175  174  175
205:  175  176  175
206:  176  177  177
207:  178  178  178
208:  180  179  179
209:  181  180  181
210:  181  182  182
211:  183  183  183
212:  185  184  184
213:  185  186  185
214:  187  187  186
215:  189  188  188
216:  189  190  189
217:  191  191  191
218:  193  192  193
219:  193  194  194
220:  195  195  196
221:  196  197  196
222:  197  198  198
223:  199  199  200
224:  201  201  200
225:  202  202  203
226:  203  204  203
227:  205  205  205
228:  207  206  207
229:  207  208  208
230:  210  209  209
231:  210  211  210
232:  212  212  213
233:  213  214  213
234:  215  215  215
235:  216  217  216
236:  218  218  218
237:  220  220  219
238:  221  221  220
239:  222  223  222
240:  225  224  225
241:  226  226  226
242:  229  228  228
243:  230  229  230
244:  231  231  230
245:  232  233  233
246:  234  235  234
247:  236  237  236
248:  238  239  238
249:  240  241  240
250:  243  242  242
251:  245  244  244
252:  246  246  246
253:  248  249  248
254:  251  250  251
255:  252  253  253
256:  255  255  254
