# LutGenerate 2.3 - 12/08/06
#  Display ID: DELL_2007FP_C953667D38RL
# Ambient = 0.10   Max. Luminance = 217.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5f - 12/08/06
#  iLdelay=1  avgN=1  ILlimit_plus=0.50 ILlimit_minus=-0.05  R=22.3% G=68.7% B=9.0%
1:  013  012  012
2:  014  013  014
3:  014  014  015
4:  015  015  014
5:  015  016  016
6:  016  017  016
7:  018  017  018
8:  018  018  018
9:  018  019  018
10:  019  019  020
11:  019  020  020
12:  020  021  020
13:  022  021  021
14:  021  022  022
15:  023  022  023
16:  023  023  022
17:  023  024  023
18:  025  024  024
19:  024  025  025
20:  026  025  026
21:  025  026  026
22:  027  026  026
23:  026  027  026
24:  028  027  027
25:  027  028  028
26:  028  028  028
27:  029  029  030
28:  029  030  029
29:  030  030  031
30:  030  031  030
31:  031  031  032
32:  031  032  031
33:  032  032  033
34:  032  033  032
35:  034  033  034
36:  034  034  033
37:  034  035  034
38:  035  035  036
39:  035  036  036
40:  037  036  037
41:  037  037  038
42:  037  038  037
43:  039  038  039
44:  039  039  040
45:  039  040  039
46:  041  040  041
47:  041  041  042
48:  041  042  041
49:  043  042  043
50:  043  043  043
51:  043  044  043
52:  045  044  045
53:  045  045  045
54:  045  046  045
55:  047  046  047
56:  047  047  046
57:  047  048  047
58:  049  048  048
59:  049  049  048
60:  049  050  049
61:  051  050  050
62:  050  051  051
63:  052  051  052
64:  052  052  053
65:  052  053  053
66:  054  053  054
67:  054  054  055
68:  054  055  055
69:  056  055  056
70:  056  056  057
71:  058  057  057
72:  057  058  058
73:  058  059  058
74:  060  059  059
75:  060  060  059
76:  060  061  060
77:  062  061  061
78:  062  062  061
79:  062  063  062
80:  064  063  063
81:  064  064  063
82:  064  065  064
83:  066  065  066
84:  066  066  065
85:  066  067  066
86:  068  067  067
87:  067  068  068
88:  069  068  069
89:  069  069  070
90:  069  070  069
91:  071  070  071
92:  071  071  071
93:  071  072  071
94:  073  072  073
95:  073  073  073
96:  073  074  073
97:  075  074  074
98:  075  075  074
99:  075  076  075
100:  076  076  077
101:  076  077  077
102:  078  077  078
103:  078  078  079
104:  078  079  079
105:  080  079  080
106:  080  080  081
107:  080  081  080
108:  082  081  081
109:  082  082  083
110:  082  083  083
111:  084  083  084
112:  085  084  084
113:  085  085  084
114:  085  086  085
115:  086  087  086
116:  088  087  087
117:  088  088  088
118:  088  089  088
119:  089  090  089
120:  091  090  090
121:  091  091  091
122:  091  092  091
123:  092  093  092
124:  094  093  093
125:  094  094  094
126:  094  095  095
127:  097  096  096
128:  097  097  098
129:  097  098  098
130:  098  099  099
131:  099  100  099
132:  101  100  100
133:  102  101  101
134:  102  102  103
135:  103  103  102
136:  103  104  103
137:  104  105  105
138:  105  106  105
139:  107  106  107
140:  108  107  108
141:  109  108  108
142:  110  109  110
143:  111  110  110
144:  111  111  111
145:  112  112  113
146:  113  113  113
147:  114  115  114
148:  115  116  115
149:  116  117  116
150:  117  118  117
151:  118  119  118
152:  119  120  119
153:  120  121  120
154:  122  122  121
155:  123  123  123
156:  124  124  125
157:  126  125  126
158:  127  126  126
159:  127  128  127
160:  128  129  128
161:  130  129  129
162:  131  130  131
163:  132  131  132
164:  133  132  133
165:  134  133  134
166:  135  134  134
167:  135  135  136
168:  136  136  136
169:  137  137  137
170:  138  138  137
171:  139  139  138
172:  140  140  139
173:  140  141  141
174:  141  142  142
175:  142  143  142
176:  144  144  144
177:  145  145  145
178:  146  146  145
179:  147  147  146
180:  148  148  147
181:  149  149  148
182:  150  150  149
183:  151  151  150
184:  152  152  151
185:  153  153  152
186:  154  154  153
187:  155  155  154
188:  156  156  155
189:  157  157  156
190:  158  158  158
191:  159  159  159
192:  160  160  160
193:  161  161  162
194:  163  162  162
195:  164  163  163
196:  165  164  165
197:  166  165  165
198:  166  167  166
199:  167  168  168
200:  168  169  169
201:  170  170  169
202:  172  171  172
203:  172  173  172
204:  173  174  173
205:  175  175  174
206:  176  176  177
207:  178  177  178
208:  178  179  178
209:  179  180  180
210:  181  181  181
211:  183  182  182
212:  184  183  184
213:  184  185  185
214:  186  186  187
215:  188  187  188
216:  188  189  189
217:  190  190  191
218:  192  191  192
219:  193  193  192
220:  195  194  194
221:  195  196  195
222:  197  197  197
223:  199  198  198
224:  200  200  200
225:  202  201  202
226:  202  203  202
227:  204  204  205
228:  205  206  205
229:  207  207  206
230:  209  208  209
231:  209  210  210
232:  212  211  212
233:  212  213  213
234:  215  214  214
235:  215  216  216
236:  218  217  218
237:  218  219  219
238:  221  220  221
239:  222  222  221
240:  223  224  223
241:  225  225  226
242:  227  228  227
243:  228  229  229
244:  230  231  230
245:  232  233  232
246:  234  234  233
247:  236  236  235
248:  238  238  237
249:  240  240  240
250:  242  242  241
251:  244  244  244
252:  246  246  245
253:  248  248  249
254:  250  250  251
255:  252  253  253
256:  254  255  254
