# LutGenerate 2.4 - 07/23/08 13:19:49 - #  Display ID: DELL_2007FP_C95367C41ADL
# Ambient = 0.18   Max. Luminance = 212.000   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 07/23/08 13:16:59
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=24.0% G=66.9% B=9.1%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  008  007  008           0.606      0.606
  2:  008  009  008           0.644      0.649
  3:  010  009  010           0.683      0.684
  4:  010  010  009           0.724      0.724
  5:  011  010  011           0.766      0.758
  6:  011  011  010           0.809      0.806
  7:  011  012  012           0.854      0.855
  8:  012  013  012           0.901      0.910
  9:  014  013  013           0.949      0.957
 10:  013  014  013           0.998      1.002
 11:  014  014  015           1.049      1.050
 12:  014  015  014           1.102      1.120
 13:  015  015  014           1.156      1.150
 14:  015  016  015           1.212      1.220
 15:  017  016  016           1.269      1.273
 16:  017  017  016           1.328      1.333
 17:  018  017  018           1.389      1.385
 18:  018  018  017           1.452      1.461
 19:  019  018  018           1.516      1.510
 20:  018  019  019           1.582      1.584
 21:  020  019  019           1.650      1.650
 22:  020  020  019           1.720      1.728
 23:  021  020  021           1.791      1.785
 24:  021  021  020           1.865      1.861
 25:  022  021  022           1.940      1.930
 26:  021  022  022           2.017      2.020
 27:  022  022  023           2.096      2.090
 28:  022  023  022           2.177      2.210
 29:  023  023  022           2.261      2.260
 30:  024  023  024           2.346      2.340
 31:  024  024  023           2.433      2.440
 32:  025  024  025           2.522      2.520
 33:  025  025  024           2.614      2.620
 34:  026  025  025           2.708      2.700
 35:  025  026  025           2.803      2.800
 36:  026  026  027           2.901      2.900
 37:  027  026  027           3.002      2.970
 38:  027  027  026           3.104      3.120
 39:  028  027  027           3.209      3.200
 40:  027  028  028           3.316      3.310
 41:  029  028  029           3.426      3.420
 42:  029  029  028           3.538      3.540
 43:  030  029  030           3.652      3.620
 44:  030  030  030           3.769      3.770
 45:  031  030  031           3.888      3.850
 46:  031  031  031           4.010      4.020
 47:  031  032  031           4.134      4.160
 48:  032  032  033           4.261      4.270
 49:  032  033  032           4.391      4.390
 50:  034  033  033           4.523      4.520
 51:  033  034  034           4.658      4.640
 52:  035  034  035           4.796      4.790
 53:  035  035  034           4.937      4.940
 54:  036  035  036           5.080      5.050
 55:  036  036  037           5.226      5.230
 56:  036  037  036           5.375      5.370
 57:  038  037  037           5.527      5.520
 58:  037  038  038           5.682      5.660
 59:  039  038  039           5.841      5.830
 60:  039  039  038           6.002      6.000
 61:  039  040  039           6.166      6.200
 62:  040  040  041           6.333      6.320
 63:  040  041  040           6.504      6.490
 64:  042  041  042           6.677      6.690
 65:  042  042  041           6.855      6.880
 66:  043  042  043           7.035      7.020
 67:  043  043  042           7.219      7.220
 68:  043  044  043           7.406      7.460
 69:  044  044  045           7.596      7.580
 70:  044  045  045           7.790      7.800
 71:  046  045  046           7.988      8.000
 72:  046  046  045           8.189      8.200
 73:  047  046  047           8.394      8.360
 74:  047  047  047           8.602      8.600
 75:  047  048  047           8.815      8.840
 76:  049  048  048           9.031      9.040
 77:  049  049  048           9.251      9.260
 78:  050  049  050           9.474      9.430
 79:  050  050  051           9.702      9.720
 80:  050  051  050           9.934      9.940
 81:  052  051  051          10.170     10.160
 82:  052  052  051          10.410     10.420
 83:  052  053  052          10.654     10.710
 84:  054  053  053          10.902     10.940
 85:  053  054  054          11.154     11.150
 86:  055  054  055          11.411     11.400
 87:  055  055  055          11.673     11.660
 88:  055  056  055          11.938     11.950
 89:  057  056  056          12.208     12.180
 90:  057  057  058          12.483     12.480
 91:  057  058  057          12.763     12.750
 92:  059  058  059          13.047     13.050
 93:  059  059  059          13.336     13.360
 94:  059  060  059          13.629     13.650
 95:  061  060  061          13.928     13.940
 96:  061  061  061          14.232     14.230
 97:  061  062  061          14.540     14.520
 98:  063  062  063          14.854     14.820
 99:  063  063  064          15.173     15.180
100:  063  064  064          15.497     15.480
101:  064  065  064          15.826     15.890
102:  066  065  065          16.161     16.170
103:  066  066  065          16.501     16.480
104:  066  067  066          16.846     16.860
105:  068  067  068          17.197     17.200
106:  068  068  069          17.554     17.570
107:  068  069  069          17.917     17.880
108:  069  070  069          18.285     18.280
109:  071  070  071          18.660     18.680
110:  071  071  071          19.040     19.080
111:  071  072  071          19.426     19.380
112:  073  072  073          19.819     19.780
113:  073  073  074          20.217     20.180
114:  074  074  073          20.622     20.580
115:  074  075  074          21.033     21.080
116:  076  075  075          21.451     21.380
117:  076  076  076          21.875     21.880
118:  076  077  077          22.306     22.280
119:  077  078  077          22.744     22.780
120:  079  078  078          23.189     23.180
121:  080  079  079          23.640     23.680
122:  080  080  079          24.098     24.080
123:  080  081  080          24.564     24.580
124:  082  081  082          25.037     24.980
125:  082  082  083          25.516     25.480
126:  083  083  082          26.004     25.980
127:  085  084  084          26.499     26.480
128:  086  085  085          27.001     26.980
129:  086  086  087          27.511     27.480
130:  087  087  086          28.029     27.980
131:  088  088  087          28.555     28.580
132:  088  089  089          29.088     29.080
133:  089  090  090          29.630     29.680
134:  090  091  090          30.180     30.180
135:  092  091  092          30.738     30.680
136:  093  092  092          31.305     31.280
137:  094  093  093          31.881     31.880
138:  095  094  094          32.464     32.480
139:  095  095  096          33.057     33.080
140:  096  096  097          33.659     33.680
141:  097  097  098          34.269     34.280
142:  098  098  098          34.889     34.880
