# LutGenerate 2.4 - 01/04/07 10:23:29
#  Display ID: DELL_2405FPW_T613358G3N0S
# Ambient = 0.30   Max. Luminance = 358.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/04/07 10:21:27
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.4% G=68.2% B=8.4%
1:  007  008  007
2:  009  008  009
3:  010  009  009
4:  010  010  011
5:  011  011  010
6:  012  012  011
7:  012  013  013
8:  013  014  013
9:  015  014  015
10:  016  015  015
11:  016  016  017
12:  017  017  016
13:  017  018  017
14:  018  018  019
15:  018  019  019
16:  020  019  019
17:  019  020  020
18:  021  020  020
19:  021  021  020
20:  022  021  021
21:  021  022  022
22:  022  022  023
23:  022  023  022
24:  023  023  024
25:  023  024  023
26:  024  024  025
27:  025  024  025
28:  024  025  025
29:  026  025  025
30:  025  026  025
31:  026  026  027
32:  027  026  027
33:  027  027  026
34:  028  027  027
35:  027  028  027
36:  028  028  029
37:  029  028  029
38:  029  029  028
39:  030  029  029
40:  029  030  029
41:  030  030  031
42:  031  030  031
43:  031  031  030
44:  032  031  031
45:  031  032  031
46:  032  032  033
47:  033  032  033
48:  032  033  033
49:  034  033  033
50:  033  034  033
51:  034  034  034
52:  035  034  035
53:  034  035  035
54:  036  035  035
55:  035  036  035
56:  036  036  035
57:  037  036  037
58:  037  037  036
59:  038  037  038
60:  037  038  038
61:  039  038  038
62:  038  039  038
63:  039  039  039
64:  040  039  040
65:  039  040  040
66:  041  040  040
67:  040  041  041
68:  041  041  042
69:  041  042  041
70:  042  042  042
71:  043  042  043
72:  043  043  042
73:  044  043  044
74:  044  044  043
75:  045  044  045
76:  044  045  045
77:  046  045  045
78:  045  046  046
79:  047  046  046
80:  046  047  046
81:  047  047  048
82:  047  048  047
83:  048  048  048
84:  048  049  048
85:  049  049  050
86:  049  050  049
87:  050  050  050
88:  050  051  050
89:  052  051  051
90:  052  052  051
91:  053  052  053
92:  052  053  053
93:  054  053  053
94:  054  054  053
95:  055  054  055
96:  055  055  054
97:  055  056  055
98:  056  056  057
99:  056  057  057
100:  058  057  058
101:  058  058  057
102:  059  058  059
103:  059  059  058
104:  059  060  059
105:  061  060  061
106:  061  061  060
107:  061  062  061
108:  063  062  062
109:  062  063  063
110:  063  064  063
111:  065  064  064
112:  064  065  065
113:  066  065  066
114:  066  066  067
115:  066  067  067
116:  067  068  067
117:  069  068  068
118:  069  069  068
119:  069  070  069
120:  071  070  070
121:  071  071  070
122:  072  072  071
123:  072  073  072
124:  074  073  074
125:  074  074  074
126:  074  075  075
127:  075  076  075
128:  077  076  077
129:  077  077  078
130:  078  078  077
131:  078  079  079
132:  079  080  079
133:  081  080  080
134:  081  081  081
135:  082  082  081
136:  082  083  083
137:  083  084  083
138:  085  084  085
139:  085  085  086
140:  086  086  085
141:  086  087  087
142:  087  088  087
143:  089  088  089
144:  090  089  089
145:  091  090  090
146:  091  091  092
147:  092  092  092
148:  093  093  092
149:  093  094  094
150:  094  095  094
151:  095  096  095
152:  096  097  096
153:  097  098  098
154:  098  099  099
155:  099  100  099
156:  100  101  100
157:  102  101  102
158:  102  103  102
159:  103  104  104
160:  104  105  105
161:  105  106  105
162:  106  107  106
163:  108  108  107
164:  109  109  108
165:  110  110  109
166:  111  111  110
167:  112  112  113
168:  114  113  113
169:  115  114  114
170:  116  115  116
171:  117  116  117
172:  117  118  117
173:  118  119  118
174:  120  120  119
175:  121  121  120
176:  123  122  122
177:  124  123  123
178:  125  124  125
179:  125  126  125
180:  126  127  126
181:  128  128  128
182:  129  129  130
183:  130  130  131
184:  131  132  131
185:  133  133  132
186:  134  134  133
187:  136  135  135
188:  136  137  136
189:  138  138  139
190:  140  139  140
191:  140  141  141
192:  143  142  142
193:  144  143  144
194:  144  145  145
195:  146  146  147
196:  147  148  147
197:  149  149  149
198:  151  150  151
199:  151  152  152
200:  154  153  153
201:  154  155  155
202:  157  156  157
203:  157  158  157
204:  160  159  160
205:  160  161  161
206:  163  162  163
207:  164  164  163
208:  166  165  166
209:  167  167  167
210:  169  169  168
211:  170  171  171
212:  173  172  172
213:  174  174  175
214:  175  176  175
215:  177  177  178
216:  178  179  179
217:  181  180  180
218:  181  182  182
219:  184  183  183
220:  184  185  184
221:  186  187  186
222:  188  188  189
223:  190  189  190
224:  192  191  192
225:  192  193  192
226:  194  195  194
227:  196  196  197
228:  197  198  198
229:  199  200  200
230:  201  202  201
231:  203  203  204
232:  206  205  205
233:  207  207  207
234:  208  209  208
235:  210  211  211
236:  212  213  212
237:  214  215  214
238:  217  217  218
239:  218  219  218
240:  220  221  220
241:  222  223  222
242:  224  225  224
243:  226  227  226
244:  228  229  228
245:  230  231  231
246:  232  233  233
247:  235  235  234
248:  238  237  237
249:  240  239  239
250:  241  242  241
251:  243  244  244
252:  245  246  245
253:  247  248  248
254:  250  251  250
255:  253  252  252
256:  255  255  255
