#  lumResponse - average luminance response
#  Display ID: GENERIC
#  2 files
#    66.6000 #ff0000
#   255.5000 #00ff00
#    25.2000 #0000ff
   1      0.4470  #000000    1   1 
   2      0.4470  #000001    1   2    0.00000
   3      0.4470  #010000    1   3    0.00000
   4      0.4470  #010001    1   4    0.00000
   5      0.4470  #000100    1   5    0.00000
   6      0.4470  #000101    1   6    0.00000
   7      0.4470  #010100    1   7    0.00000
   8      0.4470  #010101    2   1    0.00000
   9      0.4510  #010102    2   2    0.00891
  10      0.4570  #020101    2   3    0.01322
  11      0.4615  #020102    2   4    0.00980
  12      0.4785  #010201    2   5    0.03617
  13      0.4820  #010202    2   6    0.00729
  14      0.4880  #020201    2   7    0.01237
  15      0.4925  #020202    3   1    0.00918
  16      0.4955  #020203    3   2    0.00607
  17      0.4995  #030202    3   3    0.00804
  18      0.5025  #030203    3   4    0.00599
  19      0.5115  #020302    3   5    0.01775
  20      0.5145  #020303    3   6    0.00585
  21      0.5185  #030302    3   7    0.00774
  22      0.5215  #030303    4   1    0.00577
  23      0.5260  #030304    4   2    0.00859
  24      0.5315  #040303    4   3    0.01040
  25      0.5355  #040304    4   4    0.00750
  26      0.5570  #030403    4   5    0.03936
  27      0.5615  #030404    4   6    0.00805
  28      0.5670  #040403    4   7    0.00975
  29      0.5710  #040404    5   1    0.00703
  30      0.5745  #040405    5   2    0.00611
  31      0.5730  #050404    5   3   -0.00261
  32      0.5765  #050405    5   4    0.00609
  33      0.5935  #040504    5   5    0.02906
  34      0.5970  #040505    5   6    0.00588
  35      0.5950  #050504    5   7   -0.00336
  36      0.5990  #050505    6   1    0.00670
  37      0.5995  #050506    6   2    0.00083
  38      0.6075  #060505    6   3    0.01326
  39      0.6080  #060506    6   4    0.00082
  40      0.6410  #050605    6   5    0.05284
  41      0.6415  #050606    6   6    0.00078
  42      0.6490  #060605    6   7    0.01162
  43      0.6500  #060606    7   1    0.00154
  44      0.6550  #060607    7   2    0.00766
  45      0.6615  #070606    7   3    0.00987
  46      0.6665  #070607    7   4    0.00753
  47      0.6760  #060706    7   5    0.01415
  48      0.6810  #060707    7   6    0.00737
  49      0.6875  #070706    7   7    0.00950
  50      0.6925  #070707    8   1    0.00725
  51      0.6965  #070708    8   2    0.00576
  52      0.7015  #080707    8   3    0.00715
  53      0.7055  #080708    8   4    0.00569
  54      0.7305  #070807    8   5    0.03482
  55      0.7350  #070808    8   6    0.00614
  56      0.7395  #080807    8   7    0.00610
  57      0.7435  #080808    9   1    0.00539
  58      0.7485  #080809    9   2    0.00670
  59      0.7580  #090808    9   3    0.01261
  60      0.7630  #090809    9   4    0.00657
  61      0.7845  #080908    9   5    0.02779
  62      0.7900  #080909    9   6    0.00699
  63      0.7995  #090908    9   7    0.01195
  64      0.8040  #090909   10   1    0.00561
  65      0.8085  #09090a   10   2    0.00558
  66      0.8065  #0a0909   10   3   -0.00248
  67      0.8110  #0a090a   10   4    0.00556
  68      0.8355  #090a09   10   5    0.02976
  69      0.8400  #090a0a   10   6    0.00537
  70      0.8385  #0a0a09   10   7   -0.00179
  71      0.8425  #0a0a0a   11   1    0.00476
  72      0.8470  #0a0a0b   11   2    0.00533
  73      0.8560  #0b0a0a   11   3    0.01057
  74      0.8605  #0b0a0b   11   4    0.00524
  75      0.8515  #0a0b0a   11   5   -0.01051
  76      0.8555  #0a0b0b   11   6    0.00469
  77      0.8650  #0b0b0a   11   7    0.01104
  78      0.8690  #0b0b0b   12   1    0.00461
  79      0.8705  #0b0b0c   12   2    0.00172
  80      0.8805  #0c0b0b   12   3    0.01142
  81      0.8820  #0c0b0c   12   4    0.00170
  82      0.9170  #0b0c0b   12   5    0.03891
  83      0.9185  #0b0c0c   12   6    0.00163
  84      0.9285  #0c0c0b   12   7    0.01083
  85      0.9295  #0c0c0c   13   1    0.00108
  86      0.9355  #0c0c0d   13   2    0.00643
  87      0.9455  #0d0c0c   13   3    0.01063
  88      0.9515  #0d0c0d   13   4    0.00633
  89      0.9805  #0c0d0c   13   5    0.03002
  90      0.9860  #0c0d0d   13   6    0.00559
  91      0.9970  #0d0d0c   13   7    0.01109
  92      1.0020  #0d0d0d   14   1    0.00500
  93      1.0085  #0d0d0e   14   2    0.00647
  94      1.0055  #0e0d0d   14   3   -0.00298
  95      1.0115  #0e0d0e   14   4    0.00595
  96      1.0420  #0d0e0d   14   5    0.02971
  97      1.0485  #0d0e0e   14   6    0.00622
  98      1.0455  #0e0e0d   14   7   -0.00287
  99      1.0515  #0e0e0e   15   1    0.00572
 100      1.0570  #0e0e0f   15   2    0.00522
 101      1.0680  #0f0e0e   15   3    0.01035
 102      1.0730  #0f0e0f   15   4    0.00467
 103      1.1050  #0e0f0e   15   5    0.02938
 104      1.1105  #0e0f0f   15   6    0.00497
 105      1.1220  #0f0f0e   15   7    0.01030
 106      1.1275  #0f0f0f   16   1    0.00489
 107      1.1345  #0f0f10   16   2    0.00619
 108      1.1420  #100f0f   16   3    0.00659
 109      1.1490  #100f10   16   4    0.00611
 110      1.1830  #0f100f   16   5    0.02916
 111      1.1910  #0f1010   16   6    0.00674
 112      1.1975  #10100f   16   7    0.00544
 113      1.2050  #101010   17   1    0.00624
 114      1.2130  #101011   17   2    0.00662
 115      1.2205  #111010   17   3    0.00616
 116      1.2245  #111011   17   4    0.00327
 117      1.2540  #101110   17   5    0.02380
 118      1.2610  #101111   17   6    0.00557
 119      1.2695  #111110   17   7    0.00672
 120      1.2760  #111111   18   1    0.00511
 121      1.2775  #111112   18   2    0.00117
 122      1.2955  #121111   18   3    0.01399
 123      1.2975  #121112   18   4    0.00154
 124      1.3280  #111211   18   5    0.02323
 125      1.3300  #111212   18   6    0.00150
 126      1.3475  #121211   18   7    0.01307
 127      1.3495  #121212   19   1    0.00148
 128      1.3545  #121213   19   2    0.00370
 129      1.3535  #131212   19   3   -0.00074
 130      1.3635  #131213   19   4    0.00736
 131      1.4170  #121312   19   5    0.03848
 132      1.4220  #121313   19   6    0.00352
 133      1.4210  #131312   19   7   -0.00070
 134      1.4260  #131313   20   1    0.00351
 135      1.4325  #131314   20   2    0.00455
 136      1.4450  #141313   20   3    0.00869
 137      1.4515  #141314   20   4    0.00449
 138      1.4995  #131413   20   5    0.03253
 139      1.5060  #131414   20   6    0.00433
 140      1.5185  #141413   20   7    0.00827
 141      1.5250  #141414   21   1    0.00427
 142      1.5315  #141415   21   2    0.00425
 143      1.5440  #151414   21   3    0.00813
 144      1.5510  #151415   21   4    0.00452
 145      1.5390  #141514   21   5   -0.00777
 146      1.5460  #141515   21   6    0.00454
 147      1.5585  #151514   21   7    0.00805
 148      1.5655  #151515   22   1    0.00448
 149      1.5725  #151516   22   2    0.00446
 150      1.5910  #161515   22   3    0.01170
 151      1.5980  #161516   22   4    0.00439
 152      1.6355  #151615   22   5    0.02319
 153      1.6425  #151616   22   6    0.00427
 154      1.6610  #161615   22   7    0.01120
 155      1.6680  #161616   23   1    0.00421
 156      1.6700  #161617   23   2    0.00120
 157      1.6730  #171616   23   3    0.00179
 158      1.6800  #171617   23   4    0.00418
 159      1.7485  #161716   23   5    0.03996
 160      1.7505  #161717   23   6    0.00114
 161      1.7530  #171716   23   7    0.00143
 162      1.7555  #171717   24   1    0.00143
