#  lumResponse - average luminance response
#  Display ID: GENERIC
#  3 files
#    66.7330 #ff0000
#   182.1670 #00ff00
#    24.3500 #0000ff
   1      0.1967  #000000    1   1 
   2      0.1973  #000001    1   2    0.00338
   3      0.1983  #010000    1   3    0.00505
   4      0.1990  #010001    1   4    0.00336
   5      0.1997  #000100    1   5    0.00334
   6      0.2007  #000101    1   6    0.00500
   7      0.2017  #010100    1   7    0.00497
   8      0.2023  #010101    2   1    0.00330
   9      0.2033  #010102    2   2    0.00493
  10      0.2040  #020101    2   3    0.00327
  11      0.2050  #020102    2   4    0.00489
  12      0.2063  #010201    2   5    0.00648
  13      0.2070  #010202    2   6    0.00323
  14      0.2080  #020201    2   7    0.00482
  15      0.2090  #020202    3   1    0.00480
  16      0.2100  #020203    3   2    0.00477
  17      0.2113  #030202    3   3    0.00633
  18      0.2123  #030203    3   4    0.00472
  19      0.2140  #020302    3   5    0.00782
  20      0.2153  #020303    3   6    0.00621
  21      0.2163  #030302    3   7    0.00463
  22      0.2173  #030303    4   1    0.00461
  23      0.2187  #030304    4   2    0.00612
  24      0.2203  #040303    4   3    0.00759
  25      0.2213  #040304    4   4    0.00453
  26      0.2240  #030403    4   5    0.01198
  27      0.2250  #030404    4   6    0.00445
  28      0.2263  #040403    4   7    0.00591
  29      0.2280  #040404    5   1    0.00734
  30      0.2290  #040405    5   2    0.00438
  31      0.2307  #050404    5   3    0.00725
  32      0.2317  #050405    5   4    0.00433
  33      0.2350  #040504    5   5    0.01429
  34      0.2363  #040505    5   6    0.00566
  35      0.2380  #050504    5   7    0.00703
  36      0.2390  #050505    6   1    0.00419
  37      0.2403  #050506    6   2    0.00556
  38      0.2430  #060505    6   3    0.01103
  39      0.2443  #060506    6   4    0.00547
  40      0.2477  #050605    6   5    0.01355
  41      0.2493  #050606    6   6    0.00671
  42      0.2513  #060605    6   7    0.00799
  43      0.2530  #060606    7   1    0.00661
  44      0.2543  #060607    7   2    0.00526
  45      0.2573  #070606    7   3    0.01173
  46      0.2587  #070607    7   4    0.00517
  47      0.2633  #060706    7   5    0.01788
  48      0.2647  #060707    7   6    0.00505
  49      0.2677  #070706    7   7    0.01127
  50      0.2687  #070707    8   1    0.00373
  51      0.2710  #070708    8   2    0.00865
  52      0.2730  #080707    8   3    0.00735
  53      0.2750  #080708    8   4    0.00730
  54      0.2800  #070807    8   5    0.01802
  55      0.2817  #070808    8   6    0.00593
  56      0.2843  #080807    8   7    0.00942
  57      0.2857  #080808    9   1    0.00468
  58      0.2870  #080809    9   2    0.00466
  59      0.2907  #090808    9   3    0.01269
  60      0.2920  #090809    9   4    0.00458
  61      0.2993  #080908    9   5    0.02480
  62      0.3000  #080909    9   6    0.00222
  63      0.3040  #090908    9   7    0.01325
  64      0.3053  #090909   10   1    0.00438
  65      0.3070  #09090a   10   2    0.00544
  66      0.3103  #0a0909   10   3    0.01080
  67      0.3123  #0a090a   10   4    0.00642
  68      0.3203  #090a09   10   5    0.02529
  69      0.3220  #090a0a   10   6    0.00519
  70      0.3253  #0a0a09   10   7    0.01030
  71      0.3273  #0a0a0a   11   1    0.00613
  72      0.3293  #0a0a0b   11   2    0.00609
  73      0.3333  #0b0a0a   11   3    0.01207
  74      0.3360  #0b0a0b   11   4    0.00797
  75      0.3457  #0a0b0a   11   5    0.02836
  76      0.3480  #0a0b0b   11   6    0.00673
  77      0.3517  #0b0b0a   11   7    0.01048
  78      0.3540  #0b0b0b   12   1    0.00661
  79      0.3567  #0b0b0c   12   2    0.00750
  80      0.3617  #0c0b0b   12   3    0.01392
  81      0.3643  #0c0b0c   12   4    0.00735
  82      0.3750  #0b0c0b   12   5    0.02885
  83      0.3780  #0b0c0c   12   6    0.00797
  84      0.3830  #0c0c0b   12   7    0.01314
  85      0.3857  #0c0c0c   13   1    0.00694
  86      0.3883  #0c0c0d   13   2    0.00689
  87      0.3937  #0d0c0c   13   3    0.01364
  88      0.3967  #0d0c0d   13   4    0.00759
  89      0.4080  #0c0d0c   13   5    0.02817
  90      0.4110  #0c0d0d   13   6    0.00733
  91      0.4160  #0d0d0c   13   7    0.01209
  92      0.4190  #0d0d0d   14   1    0.00719
  93      0.4230  #0d0d0e   14   2    0.00950
  94      0.4297  #0e0d0d   14   3    0.01564
  95      0.4333  #0e0d0e   14   4    0.00850
  96      0.4473  #0d0e0d   14   5    0.03179
  97      0.4510  #0d0e0e   14   6    0.00816
  98      0.4583  #0e0e0d   14   7    0.01613
  99      0.4617  #0e0e0e   15   1    0.00725
 100      0.4660  #0e0e0f   15   2    0.00934
 101      0.4727  #0f0e0e   15   3    0.01420
 102      0.4773  #0f0e0f   15   4    0.00982
 103      0.4917  #0e0f0e   15   5    0.02958
 104      0.4957  #0e0f0f   15   6    0.00810
 105      0.5033  #0f0f0e   15   7    0.01535
 106      0.5070  #0f0f0f   16   1    0.00726
 107      0.5120  #0f0f10   16   2    0.00981
 108      0.5193  #100f0f   16   3    0.01422
 109      0.5243  #100f10   16   4    0.00958
 110      0.5453  #0f100f   16   5    0.03926
 111      0.5503  #0f1010   16   6    0.00913
 112      0.5583  #10100f   16   7    0.01443
 113      0.5633  #101010   17   1    0.00892
 114      0.5680  #101011   17   2    0.00825
 115      0.5793  #111010   17   3    0.01976
 116      0.5843  #111011   17   4    0.00859
 117      0.6087  #101110   17   5    0.04079
 118      0.6130  #101111   17   6    0.00709
 119      0.6247  #111110   17   7    0.01885
 120      0.6297  #111111   18   1    0.00797
 121      0.6360  #111112   18   2    0.01001
 122      0.6477  #121111   18   3    0.01818
 123      0.6540  #121112   18   4    0.00973
 124      0.6823  #111211   18   5    0.04240
