# LutGenerate 2.4 - 08/11/11 12:18:17 - #  Display ID: EA231WMi_04104072NA
# Ambient = 0.10   Max. Luminance = 249.010   Luminance Ratio = 350.00
#  lumResponse vers. 1.9 - 08/11/11 12:15:56
#  iLdelay=0  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=LXcan
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  008  007  007           0.711      0.703
  2:  009  008  008           0.755      0.755
  3:  009  009  010           0.799      0.800
  4:  009  010  009           0.845      0.850
  5:  011  010  010           0.893      0.891
  6:  011  011  010           0.942      0.939
  7:  011  012  011           0.993      1.008
  8:  013  012  013           1.046      1.044
  9:  012  013  013           1.100      1.096
 10:  013  014  013           1.156      1.165
 11:  015  014  014           1.214      1.219
 12:  014  015  014           1.273      1.271
 13:  016  015  016           1.335      1.336
 14:  015  016  016           1.398      1.388
 15:  016  017  016           1.463      1.471
 16:  018  017  017           1.529      1.529
 17:  018  018  017           1.598      1.605
 18:  019  018  019           1.669      1.658
 19:  019  019  019           1.741      1.746
 20:  020  019  020           1.816      1.801
 21:  020  020  021           1.892      1.890
 22:  020  021  020           1.971      1.977
 23:  022  021  021           2.052      2.045
 24:  021  022  022           2.134      2.132
 25:  023  022  023           2.219      2.212
 26:  023  023  022           2.306      2.309
 27:  024  023  024           2.395      2.378
 28:  024  024  024           2.487      2.487
 29:  024  025  024           2.581      2.594
 30:  026  025  025           2.676      2.676
 31:  025  026  026           2.775      2.781
 32:  027  026  027           2.875      2.865
 33:  026  027  027           2.978      2.972
 34:  028  027  028           3.084      3.062
 35:  028  028  027           3.192      3.192
 36:  028  029  028           3.302      3.322
 37:  030  029  029           3.415      3.426
 38:  029  030  029           3.530      3.520
 39:  031  030  031           3.648      3.652
 40:  030  031  030           3.769      3.773
 41:  032  031  032           3.892      3.900
 42:  031  032  032           4.018      4.008
 43:  033  032  033           4.147      4.124
 44:  033  033  033           4.279      4.272
 45:  033  034  033           4.413      4.435
 46:  035  034  034           4.550      4.558
 47:  034  035  034           4.690      4.682
 48:  036  035  036           4.833      4.841
 49:  036  036  035           4.979      4.988
 50:  037  036  037           5.128      5.083
 51:  037  037  038           5.281      5.274
 52:  037  038  037           5.436      5.438
 53:  039  038  039           5.594      5.600
 54:  038  039  039           5.756      5.759
 55:  040  039  040           5.921      5.900
 56:  040  040  039           6.089      6.081
 57:  040  041  041           6.260      6.307
 58:  042  041  041           6.435      6.433
 59:  041  042  042           6.613      6.597
 60:  043  042  043           6.795      6.751
 61:  043  043  044           6.980      6.972
 62:  043  044  043           7.169      7.177
 63:  045  044  045           7.361      7.345
 64:  045  045  044           7.557      7.542
 65:  045  046  045           7.757      7.767
 66:  047  046  047           7.961      7.965
 67:  047  047  046           8.168      8.178
 68:  048  047  048           8.379      8.311
 69:  048  048  049           8.595      8.573
 70:  049  049  048           8.814      8.827
 71:  049  050  049           9.037      9.085
 72:  051  050  050           9.264      9.274
 73:  051  051  050           9.496      9.495
 74:  051  052  051           9.732      9.814
 75:  053  052  052           9.972      9.981
 76:  052  053  053          10.216     10.194
 77:  053  054  053          10.465     10.491
 78:  055  054  055          10.718     10.731
 79:  055  055  054          10.976     10.960
 80:  055  056  055          11.238     11.287
 81:  057  056  057          11.505     11.515
 82:  057  057  058          11.777     11.783
 83:  057  058  058          12.053     12.064
 84:  059  058  059          12.334     12.274
 85:  060  059  059          12.620     12.619
 86:  060  060  059          12.912     12.927
 87:  060  061  060          13.208     13.251
 88:  062  061  062          13.509     13.502
 89:  062  062  063          13.816     13.816
 90:  062  063  063          14.127     14.117
