# LutGenerate 2.4 - 08/09/11 15:39:34 - #  Display ID: EA231WMi_9Y100974NA
# Ambient = .1   Max. Luminance = 207.610   Luminance Ratio = 350.00
#  lumResponse vers. 1.9 - 08/09/11 12:21:47
#  iLdelay=0  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=LXcan
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  007  007  007           0.593      0.590
  2:  008  008  008           0.631      0.633
  3:  009  009  008           0.669      0.670
  4:  009  010  009           0.709      0.713
  5:  010  010  010           0.751      0.750
  6:  010  011  011           0.793      0.793
  7:  012  011  011           0.838      0.830
  8:  012  012  012           0.883      0.884
  9:  012  013  012           0.930      0.931
 10:  014  013  013           0.979      0.977
 11:  014  014  014           1.029      1.036
 12:  015  014  015           1.081      1.071
 13:  015  015  015           1.134      1.136
 14:  015  016  015           1.189      1.206
 15:  017  016  016           1.246      1.246
 16:  016  017  017           1.304      1.305
 17:  018  017  018           1.364      1.349
 18:  018  018  018           1.426      1.429
 19:  018  019  018           1.489      1.493
 20:  020  019  019           1.554      1.558
 21:  019  020  020           1.621      1.619
 22:  021  020  021           1.689      1.687
 23:  021  021  021           1.760      1.758
 24:  021  022  021           1.832      1.842
 25:  022  022  023           1.906      1.897
 26:  022  023  023           1.982      1.991
 27:  024  023  024           2.060      2.057
 28:  023  024  024           2.140      2.144
 29:  025  024  025           2.222      2.204
 30:  025  025  025           2.306      2.304
 31:  025  026  025           2.392      2.390
 32:  027  026  026           2.480      2.471
 33:  027  027  027           2.570      2.582
 34:  028  027  028           2.662      2.632
 35:  028  028  028           2.756      2.760
 36:  028  029  028           2.853      2.883
 37:  029  029  030           2.952      2.951
 38:  029  030  029           3.053      3.055
 39:  031  030  030           3.156      3.163
 40:  030  031  031           3.261      3.262
 41:  032  031  032           3.369      3.373
 42:  031  032  032           3.479      3.477
 43:  033  032  033           3.592      3.570
 44:  033  033  032           3.707      3.705
 45:  034  033  034           3.825      3.795
 46:  034  034  034           3.944      3.940
 47:  034  035  034           4.067      4.100
 48:  035  035  036           4.192      4.188
 49:  035  036  035           4.320      4.340
 50:  037  036  036           4.450      4.454
 51:  036  037  037           4.583      4.569
 52:  038  037  038           4.719      4.697
 53:  038  038  039           4.857      4.859
 54:  038  039  039           4.998      4.996
 55:  040  039  040           5.142      5.126
 56:  040  040  039           5.289      5.294
 57:  040  041  040           5.439      5.480
 58:  041  041  042           5.591      5.572
 59:  041  042  042           5.747      5.739
 60:  043  042  043           5.905      5.880
 61:  043  043  044           6.067      6.070
 62:  043  044  044           6.232      6.241
 63:  045  044  045           6.400      6.381
 64:  045  045  045           6.571      6.562
 65:  045  046  045           6.745      6.768
 66:  047  046  046           6.922      6.925
 67:  047  047  046           7.103      7.121
 68:  048  047  048           7.287      7.244
 69:  048  048  049           7.475      7.475
 70:  048  049  048           7.666      7.693
 71:  050  049  050           7.861      7.867
 72:  050  050  049           8.059      8.068
 73:  050  051  050           8.260      8.309
 74:  052  051  051           8.465      8.480
 75:  051  052  052           8.674      8.663
 76:  053  052  053           8.887      8.829
 77:  053  053  054           9.103      9.111
 78:  053  054  053           9.323      9.319
 79:  055  054  055           9.548      9.536
 80:  055  055  056           9.776      9.779
 81:  055  056  055          10.008      9.988
 82:  057  056  057          10.244     10.191
 83:  058  057  057          10.484     10.508
 84:  058  058  057          10.728     10.733
 85:  058  059  058          10.976     10.980
 86:  060  059  060          11.229     11.213
 87:  060  060  061          11.486     11.480
 88:  060  061  061          11.748     11.727
 89:  061  062  061          12.013     12.052
 90:  063  062  063          12.284     12.294
 91:  063  063  064          12.559     12.566
 92:  063  064  064          12.838     12.845
 93:  065  064  065          13.122     13.044
 94:  066  065  065          13.411     13.414
 95:  065  066  066          13.705     13.688
 96:  066  067  066          14.003     14.060
 97:  068  067  067          14.307     14.288
 98:  068  068  068          14.615     14.603
 99:  068  069  069          14.929     14.925
100:  069  070  069          15.247     15.337
101:  071  070  070          15.571     15.563
102:  071  071  071          15.900     15.902
103:  071  072  072          16.235     16.239
104:  072  073  072          16.574     16.626
105:  074  073  074          16.920     16.895
106:  074  074  075          17.271     17.249
107:  075  075  075          17.627     17.641
108:  076  076  075          17.989     18.013
109:  076  077  077          18.357     18.361
110:  077  078  077          18.731     18.757
111:  079  078  079          19.111     19.057
112:  080  079  079          19.496     19.490
113:  080  080  081          19.888     19.907
114:  081  081  081          20.286     20.302
115:  082  082  081          20.690     20.694
116:  082  083  082          21.101     21.107
117:  084  083  084          21.518     21.428
118:  085  084  085          21.942     21.928
119:  086  085  085          22.372     22.378
120:  086  086  087          22.808     22.816
121:  087  087  086          23.252     23.288
