#  lumResponse - average luminance response
#  Display ID: GENERIC
#  2 files
#    46.9010 #ff0000
#   138.9080 #00ff00
#    18.2220 #0000ff
   1      0.2555  #000000    1   1 
   2      0.2555  #000001    1   2    0.00000
   3      0.2585  #010000    1   3    0.01167
   4      0.2595  #010001    1   4    0.00386
   5      0.2625  #000100    1   5    0.01149
   6      0.2560  #000101    1   6   -0.02507
   7      0.2560  #010100    1   7    0.00000
   8      0.2615  #010101    2   1    0.02126
   9      0.2540  #010102    2   2   -0.02910
  10      0.2690  #020101    2   3    0.05736
  11      0.2635  #020102    2   4   -0.02066
  12      0.2555  #010201    2   5   -0.03083
  13      0.2555  #010202    2   6    0.00000
  14      0.2605  #020201    2   7    0.01938
  15      0.2610  #020202    3   1    0.00192
  16      0.2600  #020203    3   2   -0.00384
  17      0.2650  #030202    3   3    0.01905
  18      0.2585  #030203    3   4   -0.02483
  19      0.2520  #020302    3   5   -0.02547
  20      0.2545  #020303    3   6    0.00987
  21      0.2555  #030302    3   7    0.00392
  22      0.2650  #030303    4   1    0.03650
  23      0.2570  #030304    4   2   -0.03065
  24      0.2555  #040303    4   3   -0.00585
  25      0.2575  #040304    4   4    0.00780
  26      0.2555  #030403    4   5   -0.00780
  27      0.2625  #030404    4   6    0.02703
  28      0.2570  #040403    4   7   -0.02117
  29      0.2580  #040404    5   1    0.00388
  30      0.2535  #040405    5   2   -0.01760
  31      0.2630  #050404    5   3    0.03679
  32      0.2590  #050405    5   4   -0.01533
  33      0.2645  #040504    5   5    0.02101
  34      0.2625  #040505    5   6   -0.00759
  35      0.2645  #050504    5   7    0.00759
  36      0.2560  #050505    6   1   -0.03266
  37      0.2650  #050506    6   2    0.03455
  38      0.2610  #060505    6   3   -0.01521
  39      0.2620  #060506    6   4    0.00382
  40      0.2610  #050605    6   5   -0.00382
  41      0.2605  #050606    6   6   -0.00192
  42      0.2640  #060605    6   7    0.01335
  43      0.2585  #060606    7   1   -0.02105
  44      0.2595  #060607    7   2    0.00386
  45      0.2630  #070606    7   3    0.01340
  46      0.2635  #070607    7   4    0.00190
  47      0.2675  #060706    7   5    0.01507
  48      0.2675  #060707    7   6    0.00000
  49      0.2700  #070706    7   7    0.00930
  50      0.2630  #070707    8   1   -0.02627
  51      0.2665  #070708    8   2    0.01322
  52      0.2645  #080707    8   3   -0.00753
  53      0.2625  #080708    8   4   -0.00759
  54      0.2670  #070807    8   5    0.01700
  55      0.2650  #070808    8   6   -0.00752
  56      0.2725  #080807    8   7    0.02791
  57      0.2670  #080808    9   1   -0.02039
  58      0.2670  #080809    9   2    0.00000
  59      0.2675  #090808    9   3    0.00187
  60      0.2600  #090809    9   4   -0.02844
  61      0.2660  #080908    9   5    0.02281
  62      0.2745  #080909    9   6    0.03145
  63      0.2800  #090908    9   7    0.01984
  64      0.2735  #090909   10   1   -0.02349
  65      0.2765  #09090a   10   2    0.01091
  66      0.2770  #0a0909   10   3    0.00181
  67      0.2810  #0a090a   10   4    0.01434
  68      0.2760  #090a09   10   5   -0.01795
  69      0.2715  #090a0a   10   6   -0.01644
  70      0.2780  #0a0a09   10   7    0.02366
  71      0.2775  #0a0a0a   11   1   -0.00180
  72      0.2905  #0a0a0b   11   2    0.04577
  73      0.2820  #0b0a0a   11   3   -0.02969
  74      0.2845  #0b0a0b   11   4    0.00883
  75      0.2910  #0a0b0a   11   5    0.02259
  76      0.2865  #0a0b0b   11   6   -0.01558
  77      0.2865  #0b0b0a   11   7    0.00000
  78      0.2885  #0b0b0b   12   1    0.00696
  79      0.2945  #0b0b0c   12   2    0.02058
  80      0.2950  #0c0b0b   12   3    0.00170
  81      0.2950  #0c0b0c   12   4    0.00000
  82      0.2970  #0b0c0b   12   5    0.00676
  83      0.2975  #0b0c0c   12   6    0.00168
  84      0.3005  #0c0c0b   12   7    0.01003
  85      0.3075  #0c0c0c   13   1    0.02303
  86      0.2935  #0c0c0d   13   2   -0.04659
  87      0.3085  #0d0c0c   13   3    0.04983
  88      0.3045  #0d0c0d   13   4   -0.01305
  89      0.3100  #0c0d0c   13   5    0.01790
  90      0.3110  #0c0d0d   13   6    0.00322
  91      0.3100  #0d0d0c   13   7   -0.00322
  92      0.3185  #0d0d0d   14   1    0.02705
  93      0.3090  #0d0d0e   14   2   -0.03028
  94      0.3215  #0e0d0d   14   3    0.03965
  95      0.3210  #0e0d0e   14   4   -0.00156
  96      0.3285  #0d0e0d   14   5    0.02309
  97      0.3275  #0d0e0e   14   6   -0.00305
  98      0.3240  #0e0e0d   14   7   -0.01074
  99      0.3315  #0e0e0e   15   1    0.02288
 100      0.3305  #0e0e0f   15   2   -0.00302
 101      0.3310  #0f0e0e   15   3    0.00151
 102      0.3385  #0f0e0f   15   4    0.02240
 103      0.3505  #0e0f0e   15   5    0.03483
 104      0.3480  #0e0f0f   15   6   -0.00716
 105      0.3540  #0f0f0e   15   7    0.01709
 106      0.3560  #0f0f0f   16   1    0.00563
 107      0.3570  #0f0f10   16   2    0.00281
 108      0.3650  #100f0f   16   3    0.02216
 109      0.3695  #100f10   16   4    0.01225
 110      0.3850  #0f100f   16   5    0.04109
 111      0.3740  #0f1010   16   6   -0.02899
 112      0.3830  #10100f   16   7    0.02378
 113      0.3885  #101010   17   1    0.01426
 114      0.3865  #101011   17   2   -0.00516
 115      0.3790  #111010   17   3   -0.01960
 116      0.3950  #111011   17   4    0.04134
 117      0.4010  #101110   17   5    0.01508
 118      0.4065  #101111   17   6    0.01362
 119      0.4140  #111110   17   7    0.01828
 120      0.4240  #111111   18   1    0.02387
 121      0.4155  #111112   18   2   -0.02025
 122      0.4210  #121111   18   3    0.01315
 123      0.4305  #121112   18   4    0.02231
 124      0.4480  #111211   18   5    0.03984
 125      0.4465  #111212   18   6   -0.00335
 126      0.4595  #121211   18   7    0.02870
 127      0.4535  #121212   19   1   -0.01314
 128      0.4585  #121213   19   2    0.01096
 129      0.4570  #131212   19   3   -0.00328
 130      0.4635  #131213   19   4    0.01412
 131      0.4560  #121312   19   5   -0.01631
 132      0.4490  #121313   19   6   -0.01547
 133      0.4625  #131312   19   7    0.02962
 134      0.4610  #131313   20   1   -0.00325
 135      0.4730  #131314   20   2    0.02570
 136      0.4785  #141313   20   3    0.01156
 137      0.4825  #141314   20   4    0.00832
 138      0.4930  #131413   20   5    0.02153
 139      0.4980  #131414   20   6    0.01009
 140      0.5005  #141413   20   7    0.00501
 141      0.5090  #141414   21   1    0.01684
 142      0.5230  #141415   21   2    0.02713
 143      0.5260  #151414   21   3    0.00572
 144      0.5390  #151415   21   4    0.02441
 145      0.5485  #141514   21   5    0.01747
 146      0.5530  #141515   21   6    0.00817
 147      0.5610  #151514   21   7    0.01436
 148      0.5675  #151515   22   1    0.01152
 149      0.5640  #151516   22   2   -0.00619
 150      0.5685  #161515   22   3    0.00795
 151      0.5765  #161516   22   4    0.01397
 152      0.6030  #151615   22   5    0.04493
 153      0.6060  #151616   22   6    0.00496
 154      0.6075  #161615   22   7    0.00247
 155      0.6145  #161616   23   1    0.01146
 156      0.6180  #161617   23   2    0.00568
 157      0.6295  #171616   23   3    0.01844
 158      0.6330  #171617   23   4    0.00554
 159      0.6600  #161716   23   5    0.04176
 160      0.6540  #161717   23   6   -0.00913
 161      0.6635  #171716   23   7    0.01442
 162      0.6675  #171717   24   1    0.00601
 163      0.6805  #171718   24   2    0.01929
 164      0.6895  #181717   24   3    0.01314
 165      0.6895  #181718   24   4    0.00000
 166      0.7150  #171817   24   5    0.03631
 167      0.7155  #171818   24   6    0.00070
 168      0.7285  #181817   24   7    0.01801
 169      0.7430  #181818   25   1    0.01971
 170      0.7385  #181819   25   2   -0.00607
 171      0.7480  #191818   25   3    0.01278
 172      0.7540  #191819   25   4    0.00799
 173      0.7575  #181918   25   5    0.00463
 174      0.7670  #181919   25   6    0.01246
 175      0.7755  #191918   25   7    0.01102
 176      0.7740  #191919   26   1   -0.00194
 177      0.7850  #19191a   26   2    0.01411
 178      0.7990  #1a1919   26   3    0.01768
 179      0.7985  #1a191a   26   4   -0.00063
 180      0.8325  #191a19   26   5    0.04169
 181      0.8400  #191a1a   26   6    0.00897
 182      0.8605  #1a1a19   26   7    0.02411
 183      0.8615  #1a1a1a   27   1    0.00116
 184      0.8605  #1a1a1b   27   2   -0.00116
 185      0.8750  #1b1a1a   27   3    0.01671
 186      0.8820  #1b1a1b   27   4    0.00797
 187      0.9200  #1a1b1a   27   5    0.04218
 188      0.9290  #1a1b1b   27   6    0.00973
 189      0.9375  #1b1b1a   27   7    0.00911
 190      0.9465  #1b1b1b   28   1    0.00955
 191      0.9565  #1b1b1c   28   2    0.01051
 192      0.9560  #1c1b1b   28   3   -0.00052
 193      0.9620  #1c1b1c   28   4    0.00626
 194      0.9750  #1b1c1b   28   5    0.01342
 195      0.9895  #1b1c1c   28   6    0.01476
 196      0.9920  #1c1c1b   28   7    0.00252
 197      0.9980  #1c1c1c   29   1    0.00603
 198      1.0070  #1c1c1d   29   2    0.00898
 199      1.0280  #1d1c1c   29   3    0.02064
 200      1.0375  #1d1c1d   29   4    0.00920
 201      1.0725  #1c1d1c   29   5    0.03318
 202      1.0735  #1c1d1d   29   6    0.00093
 203      1.0990  #1d1d1c   29   7    0.02348
 204      1.1200  #1d1d1d   30   1    0.01893
 205      1.1165  #1d1d1e   30   2   -0.00313
 206      1.1185  #1e1d1d   30   3    0.00179
 207      1.1305  #1e1d1e   30   4    0.01067
 208      1.1870  #1d1e1d   30   5    0.04876
 209      1.2020  #1d1e1e   30   6    0.01256
 210      1.2025  #1e1e1d   30   7    0.00042
 211      1.2135  #1e1e1e   31   1    0.00911
 212      1.2150  #1e1e1f   31   2    0.00124
 213      1.2360  #1f1e1e   31   3    0.01714
 214      1.2370  #1f1e1f   31   4    0.00081
 215      1.2550  #1e1f1e   31   5    0.01445
 216      1.2640  #1e1f1f   31   6    0.00715
 217      1.2865  #1f1f1e   31   7    0.01764
 218      1.2860  #1f1f1f   32   1   -0.00039
 219      1.2920  #1f1f20   32   2    0.00465
 220      1.3110  #201f1f   32   3    0.01460
 221      1.3230  #201f20   32   4    0.00911
 222      1.3700  #1f201f   32   5    0.03491
 223      1.3795  #1f2020   32   6    0.00691
 224      1.4110  #20201f   32   7    0.02258
 225      1.4165  #202020   33   1    0.00389
 226      1.4260  #202021   33   2    0.00668
 227      1.4400  #212020   33   3    0.00977
 228      1.4625  #212021   33   4    0.01550
 229      1.5075  #202120   33   5    0.03030
 230      1.5210  #202121   33   6    0.00892
 231      1.5450  #212120   33   7    0.01566
 232      1.5545  #212121   34   1    0.00613
 233      1.5690  #212122   34   2    0.00928
 234      1.6015  #222121   34   3    0.02050
 235      1.6015  #222122   34   4    0.00000
 236      1.6645  #212221   34   5    0.03858
 237      1.6775  #212222   34   6    0.00778
 238      1.6935  #222221   34   7    0.00949
 239      1.7135  #222222   35   1    0.01174
 240      1.7255  #222223   35   2    0.00698
 241      1.7605  #232222   35   3    0.02008
 242      1.7715  #232223   35   4    0.00623
 243      1.8340  #222322   35   5    0.03467
 244      1.8375  #222323   35   6    0.00191
 245      1.8625  #232322   35   7    0.01351
 246      1.8740  #232323   36   1    0.00616
 247      1.8965  #232324   36   2    0.01193
 248      1.9145  #242323   36   3    0.00945
 249      1.9280  #242324   36   4    0.00703
 250      1.9895  #232423   36   5    0.03140
 251      1.9975  #232424   36   6    0.00401
 252      2.0235  #242423   36   7    0.01293
 253      2.0430  #242424   37   1    0.00959
 254      2.0365  #242425   37   2   -0.00319
 255      2.0425  #252424   37   3    0.00294
 256      2.0345  #252425   37   4   -0.00392
 257      2.0335  #242524   37   5   -0.00049
 258      2.0390  #242525   37   6    0.00270
 259      2.0395  #252524   37   7    0.00025
 260      2.0335  #252525   38   1   -0.00295
 261      2.0505  #252526   38   2    0.00833
 262      2.0690  #262525   38   3    0.00898
 263      2.0830  #262526   38   4    0.00674
 264      2.1460  #252625   38   5    0.02979
 265      2.1615  #252626   38   6    0.00720
 266      2.1885  #262625   38   7    0.01241
 267      2.1980  #262626   39   1    0.00433
 268      2.2090  #262627   39   2    0.00499
 269      2.2255  #272626   39   3    0.00744
 270      2.2385  #272627   39   4    0.00582
 271      2.2875  #262726   39   5    0.02165
 272      2.3115  #262727   39   6    0.01044
 273      2.3245  #272726   39   7    0.00561
 274      2.3350  #272727   40   1    0.00451
 275      2.3580  #272728   40   2    0.00980
 276      2.3720  #282727   40   3    0.00592
 277      2.3865  #282728   40   4    0.00609
 278      2.4515  #272827   40   5    0.02687
 279      2.4635  #272828   40   6    0.00488
 280      2.4795  #282827   40   7    0.00647
 281      2.5035  #282828   41   1    0.00963
 282      2.5090  #282829   41   2    0.00219
 283      2.5310  #292828   41   3    0.00873
 284      2.5450  #292829   41   4    0.00552
 285      2.6000  #282928   41   5    0.02138
 286      2.6105  #282929   41   6    0.00403
 287      2.6305  #292928   41   7    0.00763
 288      2.6550  #292929   42   1    0.00927
 289      2.6650  #29292a   42   2    0.00376
 290      2.6865  #2a2929   42   3    0.00804
 291      2.6975  #2a292a   42   4    0.00409
 292      2.7595  #292a29   42   5    0.02272
 293      2.7765  #292a2a   42   6    0.00614
 294      2.7875  #2a2a29   42   7    0.00395
 295      2.8085  #2a2a2a   43   1    0.00751
 296      2.8205  #2a2a2b   43   2    0.00426
 297      2.8500  #2b2a2a   43   3    0.01040
 298      2.8575  #2b2a2b   43   4    0.00263
 299      2.8640  #2a2b2a   43   5    0.00227
 300      2.8635  #2a2b2b   43   6   -0.00017
 301      2.9060  #2b2b2a   43   7    0.01473
 302      2.9035  #2b2b2b   44   1   -0.00086
 303      2.9180  #2b2b2c   44   2    0.00498
 304      2.9180  #2c2b2b   44   3    0.00000
 305      2.9355  #2c2b2c   44   4    0.00598
 306      3.0135  #2b2c2b   44   5    0.02622
 307      3.0320  #2b2c2c   44   6    0.00612
 308      3.0305  #2c2c2b   44   7   -0.00049
 309      3.0500  #2c2c2c   45   1    0.00641
 310      3.0710  #2c2c2d   45   2    0.00686
 311      3.0910  #2d2c2c   45   3    0.00649
 312      3.1045  #2d2c2d   45   4    0.00436
 313      3.1690  #2c2d2c   45   5    0.02056
 314      3.1830  #2c2d2d   45   6    0.00441
 315      3.2105  #2d2d2c   45   7    0.00860
 316      3.2270  #2d2d2d   46   1    0.00513
 317      3.2450  #2d2d2e   46   2    0.00556
 318      3.2420  #2e2d2d   46   3   -0.00092
 319      3.2620  #2e2d2e   46   4    0.00615
 320      3.2830  #2d2e2d   46   5    0.00642
 321      3.2990  #2d2e2e   46   6    0.00486
 322      3.3065  #2e2e2d   46   7    0.00227
 323      3.3125  #2e2e2e   47   1    0.00181
 324      3.3340  #2e2e2f   47   2    0.00647
 325      3.3595  #2f2e2e   47   3    0.00762
 326      3.3800  #2f2e2f   47   4    0.00608
 327      3.4445  #2e2f2e   47   5    0.01890
 328      3.4655  #2e2f2f   47   6    0.00608
 329      3.5020  #2f2f2e   47   7    0.01048
 330      3.5110  #2f2f2f   48   1    0.00257
 331      3.5320  #2f2f30   48   2    0.00596
 332      3.5510  #302f2f   48   3    0.00536
 333      3.5770  #302f30   48   4    0.00730
 334      3.6530  #2f302f   48   5    0.02102
 335      3.6560  #2f3030   48   6    0.00082
 336      3.6825  #30302f   48   7    0.00722
 337      3.7140  #303030   49   1    0.00852
 338      3.7065  #303031   49   2   -0.00202
 339      3.7570  #313030   49   3    0.01353
 340      3.7560  #313031   49   4   -0.00027
 341      3.7790  #303130   49   5    0.00610
 342      3.7860  #303131   49   6    0.00185
 343      3.8225  #313130   49   7    0.00959
 344      3.8345  #313131   50   1    0.00313
 345      3.8420  #313132   50   2    0.00195
 346      3.8685  #323131   50   3    0.00687
 347      3.8955  #323132   50   4    0.00696
 348      3.9685  #313231   50   5    0.01857
 349      3.9855  #313232   50   6    0.00427
 350      4.0170  #323231   50   7    0.00787
 351      4.0405  #323232   51   1    0.00583
 352      4.0535  #323233   51   2    0.00321
 353      4.0620  #333232   51   3    0.00209
 354      4.0715  #333233   51   4    0.00234
 355      4.1745  #323332   51   5    0.02498
 356      4.1930  #323333   51   6    0.00442
 357      4.2050  #333332   51   7    0.00286
 358      4.2270  #333333   52   1    0.00522
 359      4.2355  #333334   52   2    0.00201
 360      4.2630  #343333   52   3    0.00647
 361      4.2860  #343334   52   4    0.00538
 362      4.3640  #333433   52   5    0.01803
 363      4.3945  #333434   52   6    0.00696
 364      4.4160  #343433   52   7    0.00488
 365      4.4395  #343434   53   1    0.00531
 366      4.4520  #343435   53   2    0.00281
 367      4.4895  #353434   53   3    0.00839
 368      4.5015  #353435   53   4    0.00267
 369      4.5975  #343534   53   5    0.02110
 370      4.6115  #343535   53   6    0.00304
 371      4.6435  #353534   53   7    0.00692
 372      4.6690  #353535   54   1    0.00548
 373      4.6850  #353536   54   2    0.00342
 374      4.7145  #363535   54   3    0.00628
 375      4.7430  #363536   54   4    0.00603
 376      4.8295  #353635   54   5    0.01807
 377      4.8460  #353636   54   6    0.00341
 378      4.8845  #363635   54   7    0.00791
 379      4.8920  #363636   55   1    0.00153
 380      4.9090  #363637   55   2    0.00347
 381      4.9280  #373636   55   3    0.00386
 382      4.9210  #373637   55   4   -0.00142
 383      4.9000  #363736   55   5   -0.00428
 384      4.9010  #363737   55   6    0.00020
 385      4.9285  #373736   55   7    0.00560
 386      4.9220  #373737   56   1   -0.00132
 387      4.9465  #373738   56   2    0.00497
 388      4.9755  #383737   56   3    0.00585
 389      4.9930  #383738   56   4    0.00351
 390      5.0875  #373837   56   5    0.01875
 391      5.1085  #373838   56   6    0.00412
 392      5.1435  #383837   56   7    0.00683
 393      5.1715  #383838   57   1    0.00543
 394      5.1885  #383839   57   2    0.00328
 395      5.2235  #393838   57   3    0.00672
 396      5.2530  #393839   57   4    0.00563
 397      5.3365  #383938   57   5    0.01577
 398      5.3575  #383939   57   6    0.00393
 399      5.3985  #393938   57   7    0.00762
 400      5.4260  #393939   58   1    0.00508
 401      5.4440  #39393a   58   2    0.00331
 402      5.4845  #3a3939   58   3    0.00741
 403      5.5040  #3a393a   58   4    0.00355
 404      5.6015  #393a39   58   5    0.01756
 405      5.6325  #393a3a   58   6    0.00552
 406      5.6725  #3a3a39   58   7    0.00708
 407      5.6900  #3a3a3a   59   1    0.00308
 408      5.7110  #3a3a3b   59   2    0.00368
 409      5.7240  #3b3a3a   59   3    0.00227
 410      5.7405  #3b3a3b   59   4    0.00288
 411      5.8765  #3a3b3a   59   5    0.02341
 412      5.8980  #3a3b3b   59   6    0.00365
 413      5.9075  #3b3b3a   59   7    0.00161
 414      5.9385  #3b3b3b   60   1    0.00523
 415      5.9490  #3b3b3c   60   2    0.00177
 416      5.9910  #3c3b3b   60   3    0.00704
 417      6.0190  #3c3b3c   60   4    0.00466
