# LutGenerate 2.4 - 10/28/09 17:25:15 - #  Display ID: L200ME_810KCGW4Y151
# Ambient = 0.15   Max. Luminance = 254.620   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 10/28/09 17:22:18
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.4% G=67.1% B=10.6%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  016  017  016           0.727      0.724
  2:  018  018  018           0.772      0.771
  3:  019  019  019           0.817      0.844
  4:  019  019  020           0.864      0.855
  5:  021  020  021           0.912      0.916
  6:  021  021  020           0.963      0.947
  7:  022  021  021           1.014      1.011
  8:  021  022  021           1.068      1.056
  9:  023  022  022           1.123      1.129
 10:  023  023  023           1.180      1.163
 11:  024  023  024           1.239      1.243
 12:  023  024  023           1.299      1.282
 13:  026  025  025           1.362      1.380
 14:  024  025  025           1.426      1.411
 15:  027  026  027           1.492      1.511
 16:  026  027  026           1.560      1.557
 17:  028  027  028           1.629      1.674
 18:  028  027  027           1.701      1.692
 19:  027  027  026           1.775      1.738
 20:  029  028  028           1.851      1.856
 21:  028  028  029           1.929      1.879
 22:  030  029  030           2.009      2.011
 23:  030  030  029           2.091      2.037
 24:  032  031  032           2.175      2.176
 25:  031  031  031           2.261      2.225
 26:  033  032  033           2.349      2.353
 27:  034  033  034           2.440      2.497
 28:  033  034  033           2.533      2.533
 29:  035  034  035           2.628      2.668
 30:  034  035  034           2.726      2.731
 31:  036  035  035           2.826      2.849
 32:  036  036  037           2.928      2.875
 33:  037  037  038           3.033      3.032
 34:  039  038  039           3.140      3.203
 35:  038  038  038           3.250      3.255
 36:  040  039  039           3.362      3.402
 37:  038  039  039           3.476      3.435
 38:  041  040  041           3.594      3.591
 39:  040  040  040           3.714      3.656
 40:  041  041  040           3.836      3.837
 41:  041  042  041           3.962      3.855
 42:  043  042  043           4.090      4.085
 43:  044  043  044           4.221      4.292
 44:  043  044  043           4.354      4.354
 45:  045  044  044           4.491      4.543
 46:  044  045  045           4.630      4.586
 47:  047  046  046           4.773      4.810
 48:  046  046  047           4.918      4.863
 49:  048  047  048           5.067      5.061
 50:  047  047  047           5.218      5.128
 51:  048  048  049           5.373      5.371
 52:  050  049  049           5.531      5.628
 53:  049  050  050           5.692      5.677
 54:  051  050  051           5.856      5.909
 55:  051  051  050           6.024      5.988
 56:  053  052  052           6.194      6.211
 57:  051  052  052           6.369      6.265
 58:  054  053  054           6.546      6.553
 59:  055  054  055           6.728      6.839
 60:  054  054  053           6.912      6.908
 61:  056  055  055           7.101      7.136
 62:  055  056  056           7.293      7.189
 63:  057  056  056           7.488      7.495
 64:  058  057  058           7.688      7.814
 65:  057  058  058           7.891      7.882
 66:  060  059  059           8.098      8.183
 67:  059  059  060           8.309      8.256
 68:  061  060  061           8.524      8.517
 69:  059  060  059           8.743      8.620
 70:  062  061  061           8.966      8.969
 71:  061  062  061           9.193      9.056
 72:  063  063  063           9.424      9.425
 73:  064  063  064           9.659      9.784
 74:  064  064  063           9.899      9.901
 75:  065  064  065          10.143     10.293
 76:  064  065  064          10.392     10.402
 77:  067  066  066          10.645     10.763
 78:  066  066  067          10.902     10.846
 79:  068  067  068          11.164     11.209
 80:  066  067  066          11.431     11.369
 81:  069  068  069          11.703     11.792
 82:  068  068  068          11.979     11.928
 83:  070  069  069          12.260     12.335
 84:  069  069  070          12.547     12.438
 85:  071  070  071          12.838     12.844
 86:  071  071  071          13.134     12.986
 87:  072  071  072          13.435     13.469
 88:  071  072  071          13.742     13.611
 89:  073  072  072          14.054     14.062
 90:  073  073  074          14.371     14.179
 91:  075  074  074          14.694     14.698
 92:  074  074  073          15.022     14.805
 93:  075  075  074          15.356     15.365
 94:  075  076  075          15.695     15.481
 95:  076  076  076          16.040     16.041
 96:  078  077  078          16.391     16.600
 97:  078  078  077          16.748     16.750
 98:  079  079  078          17.111     17.273
 99:  078  079  079          17.480     17.421
100:  080  079  079          17.855     18.051
101:  079  080  080          18.237     18.174
102:  082  081  082          18.624     18.691
