# LutGenerate 2.1 - 10/16/03
#  Display ID: Samsung-NL
# Ambient = 0.30   Max. Luminence = 400.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5b - 10/16/03
#  iLdelay=1  avgN=1  ILlimit=0.50  R=20.3% G=69.9% B=9.7%
1:  025  026  026
2:  027  028  028
3:  028  029  028
4:  030  031  031
5:  031  032  031
6:  033  034  034
7:  034  035  035
8:  036  036  035
9:  037  037  036
10:  038  038  037
11:  039  039  038
12:  040  040  039
13:  040  041  041
14:  041  042  042
15:  042  042  042
16:  043  043  042
17:  043  044  044
18:  043  044  043
19:  045  045  044
20:  045  046  046
21:  046  046  046
22:  047  047  046
23:  047  048  048
24:  048  048  047
25:  048  049  049
26:  048  049  048
27:  049  050  050
28:  050  050  050
29:  050  051  051
30:  051  051  051
31:  052  052  051
32:  052  053  053
33:  053  053  052
34:  053  054  054
35:  054  054  053
36:  054  055  055
37:  055  055  054
38:  055  056  056
39:  056  056  055
40:  056  057  057
41:  057  057  056
42:  057  058  058
43:  058  058  057
44:  058  059  059
45:  059  059  058
46:  059  060  060
47:  060  060  059
48:  060  061  061
49:  061  061  060
50:  062  062  063
51:  063  062  062
52:  062  062  061
53:  062  063  063
54:  064  063  063
55:  063  064  064
56:  065  064  065
57:  064  065  065
58:  065  065  066
59:  065  066  066
60:  066  066  066
61:  066  067  067
62:  066  067  066
63:  067  068  068
64:  068  068  067
65:  068  069  069
66:  069  069  068
67:  069  070  070
68:  070  070  069
69:  070  071  071
70:  071  071  070
71:  071  072  072
72:  072  072  071
73:  072  073  073
74:  073  073  072
75:  073  074  074
76:  073  074  073
77:  074  075  075
78:  074  075  074
79:  075  076  076
80:  075  076  075
81:  076  077  077
82:  077  077  077
83:  078  078  077
84:  077  078  077
85:  079  079  078
86:  079  080  080
87:  079  080  079
88:  080  081  081
89:  080  081  080
90:  081  082  082
91:  082  082  082
92:  083  083  082
93:  083  084  084
94:  084  084  083
95:  084  085  085
96:  084  085  084
97:  085  086  086
98:  087  086  087
99:  086  087  087
100:  088  088  087
101:  088  089  089
102:  088  089  088
103:  090  090  089
104:  090  091  091
105:  090  091  090
106:  091  092  092
107:  091  092  091
108:  093  093  092
109:  093  094  094
110:  093  094  093
111:  095  095  094
112:  095  096  096
113:  096  096  097
114:  096  097  097
115:  097  098  098
116:  097  098  097
117:  098  099  099
118:  099  100  100
119:  100  100  100
120:  100  101  101
121:  101  102  102
122:  101  102  101
123:  103  103  102
124:  103  104  104
125:  104  104  104
126:  105  105  105
127:  106  106  105
128:  106  107  107
129:  106  107  106
130:  108  108  107
131:  108  109  109
132:  109  110  110
133:  110  110  110
134:  111  111  110
135:  111  112  112
136:  112  113  112
137:  113  113  113
138:  113  114  113
139:  114  115  115
140:  115  116  116
141:  115  116  115
142:  116  117  116
143:  118  118  117
144:  118  119  119
145:  119  120  120
146:  119  120  119
147:  120  121  120
148:  122  122  121
149:  122  123  123
150:  123  124  124
151:  124  125  125
152:  124  125  124
153:  125  126  125
154:  127  127  126
155:  127  128  128
156:  128  129  129
157:  129  130  130
158:  129  130  129
159:  130  131  130
160:  132  132  131
161:  132  133  133
162:  133  134  134
163:  134  135  135
164:  134  135  134
165:  135  136  135
166:  136  137  136
167:  138  138  137
168:  138  139  139
169:  139  140  140
170:  140  141  141
171:  141  142  142
172:  142  143  143
173:  143  144  144
174:  143  144  143
175:  144  145  144
176:  146  146  146
177:  146  147  146
178:  148  148  147
179:  149  149  148
180:  150  150  149
181:  151  151  150
182:  152  152  151
183:  153  153  152
184:  154  154  153
185:  155  155  154
186:  156  156  155
187:  157  157  156
188:  157  158  157
189:  159  159  159
190:  159  160  159
191:  161  161  161
192:  162  163  163
193:  163  164  164
194:  164  165  165
195:  166  166  165
196:  167  167  167
197:  168  168  168
198:  169  170  170
199:  170  171  170
200:  171  172  171
201:  172  173  172
202:  174  175  175
203:  175  176  176
204:  176  177  176
205:  177  178  178
206:  178  179  178
207:  179  180  179
208:  181  182  182
209:  182  183  183
210:  183  184  184
211:  185  185  185
212:  185  186  185
213:  187  188  188
214:  188  189  189
215:  189  190  189
216:  191  192  192
217:  192  193  192
218:  193  194  193
219:  195  196  196
220:  197  197  196
221:  198  199  199
222:  199  200  200
223:  202  201  201
224:  201  202  201
225:  203  204  204
226:  205  205  205
227:  206  207  207
228:  207  208  207
229:  209  210  210
230:  210  211  210
231:  212  213  213
232:  213  214  213
233:  215  215  214
234:  216  217  217
235:  217  218  217
236:  219  220  220
237:  220  221  220
238:  222  223  222
239:  224  225  225
240:  226  227  227
241:  228  228  228
242:  229  230  229
243:  231  232  231
244:  233  234  234
245:  235  236  236
246:  236  237  236
247:  238  239  238
248:  240  241  241
249:  241  242  241
250:  243  244  243
251:  244  245  244
252:  246  247  247
253:  247  248  248
254:  249  249  248
255:  249  250  249
256:  251  251  251
