# LutGenerate 2.1 - 10/16/03
#  Display ID: Samsung-NR
# Ambient = 0.30   Max. Luminence = 400.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5b - 10/16/03
#  iLdelay=1  avgN=1  ILlimit=0.50  R=21.1% G=69.3% B=9.6%
1:  026  027  027
2:  027  028  027
3:  030  030  029
4:  031  032  032
5:  033  033  032
6:  035  034  035
7:  034  035  034
8:  036  037  037
9:  037  038  038
10:  038  039  039
11:  039  040  040
12:  040  041  041
13:  040  041  040
14:  041  042  041
15:  043  043  042
16:  043  044  044
17:  043  044  043
18:  045  045  044
19:  045  046  046
20:  046  046  046
21:  046  047  047
22:  046  047  046
23:  048  048  047
24:  048  049  049
25:  048  049  048
26:  049  050  050
27:  049  050  049
28:  050  051  051
29:  050  051  050
30:  051  052  052
31:  051  052  051
32:  052  053  053
33:  053  053  054
34:  053  054  054
35:  053  054  053
36:  055  055  054
37:  054  055  054
38:  055  056  056
39:  056  056  056
40:  056  057  057
41:  057  057  057
42:  057  058  058
43:  057  058  057
44:  058  059  059
45:  058  059  058
46:  059  060  060
47:  060  060  060
48:  060  061  061
49:  061  061  061
50:  061  062  062
51:  061  062  061
52:  062  063  063
53:  062  063  062
54:  064  064  065
55:  063  064  063
56:  064  065  065
57:  065  065  064
58:  065  066  066
59:  066  066  065
60:  066  067  067
61:  067  067  066
62:  067  068  068
63:  068  068  067
64:  067  068  067
65:  069  069  068
66:  070  069  069
67:  069  070  070
68:  069  070  069
69:  070  071  071
70:  071  071  071
71:  071  072  072
72:  071  072  071
73:  072  073  073
74:  072  073  072
75:  073  074  074
76:  073  074  073
77:  075  075  074
78:  074  075  074
79:  076  076  075
80:  076  077  077
81:  077  077  076
82:  077  078  078
83:  077  078  077
84:  078  079  079
85:  079  079  079
86:  079  080  080
87:  079  080  079
88:  081  081  080
89:  081  082  082
90:  082  082  081
91:  082  083  083
92:  082  083  082
93:  083  084  084
94:  084  084  084
95:  085  085  084
96:  085  086  086
97:  085  086  085
98:  087  087  086
99:  086  087  086
100:  087  088  087
101:  088  089  089
102:  089  089  089
103:  090  090  089
104:  090  091  091
105:  090  091  090
106:  092  092  091
107:  092  093  093
108:  092  093  092
109:  093  094  094
110:  093  094  093
111:  094  095  094
112:  095  096  096
113:  095  096  095
114:  097  097  096
115:  097  098  098
116:  098  098  099
117:  099  099  098
118:  099  100  100
119:  099  100  099
120:  101  101  100
121:  101  102  102
122:  102  102  102
123:  102  103  102
124:  103  104  104
125:  104  105  105
126:  104  105  104
127:  106  106  105
128:  106  107  107
129:  107  107  107
130:  107  108  107
131:  109  109  108
132:  109  110  110
133:  109  110  109
134:  111  111  110
135:  111  112  112
136:  112  113  113
137:  112  113  112
138:  113  114  113
139:  115  115  114
140:  115  116  116
141:  116  116  116
142:  116  117  116
143:  118  118  117
144:  118  119  119
145:  119  120  120
146:  120  120  120
147:  120  121  120
148:  122  122  121
149:  122  123  123
150:  123  124  124
151:  124  125  125
152:  126  125  126
153:  125  126  125
154:  127  127  126
155:  129  128  128
156:  128  129  129
157:  129  130  130
158:  130  130  130
159:  130  131  130
160:  132  132  131
161:  133  133  132
162:  133  134  134
163:  134  135  135
164:  135  136  136
165:  135  136  135
166:  136  137  136
167:  137  138  137
168:  139  139  138
169:  140  140  139
170:  140  141  141
171:  141  142  142
172:  142  143  143
173:  143  144  144
174:  144  145  145
175:  145  146  146
176:  146  147  147
177:  147  148  147
178:  148  148  148
179:  148  149  148
180:  149  150  149
181:  150  151  150
182:  151  152  151
183:  153  153  152
184:  153  154  153
185:  154  155  154
186:  155  156  155
187:  157  157  157
188:  157  158  157
189:  158  159  158
190:  159  160  159
191:  161  162  162
192:  162  163  163
193:  163  164  164
194:  165  165  164
195:  166  166  165
196:  166  167  166
197:  168  168  168
198:  169  170  170
199:  171  171  170
200:  171  172  171
201:  172  173  172
202:  174  175  175
203:  175  176  176
204:  176  177  177
205:  178  178  177
206:  178  179  178
207:  180  181  181
208:  181  182  182
209:  182  183  183
210:  184  184  183
211:  185  186  186
212:  186  187  187
213:  187  188  188
214:  189  189  188
215:  190  191  191
216:  192  192  193
217:  192  193  192
218:  194  195  195
219:  196  196  195
220:  196  197  196
221:  198  199  199
222:  199  200  199
223:  201  201  201
224:  202  203  203
225:  203  204  204
226:  204  205  204
227:  206  207  207
228:  207  208  207
229:  209  210  210
230:  210  211  210
231:  212  213  213
232:  213  214  213
233:  214  215  214
234:  216  217  217
235:  217  218  217
236:  219  220  220
237:  220  221  220
238:  222  223  223
239:  223  224  223
240:  225  226  225
241:  227  228  227
242:  229  230  230
243:  231  232  232
244:  232  233  232
245:  235  235  234
246:  236  237  236
247:  239  239  238
248:  240  241  241
249:  241  242  241
250:  243  244  243
251:  245  246  246
252:  246  247  247
253:  248  248  247
254:  248  249  248
255:  250  251  251
256:  252  252  251
