# LutGenerate 2.4 - 08/11/11 15:29:53 - #  Display ID: GENERIC
# Ambient = 0.10   Max. Luminance = 226.3750   Luminance Ratio = 350.00
#  lumResponse - average luminance response
#  4 files
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  008  007  008           0.647      0.645
  2:  008  008  008           0.687      0.680
  3:  009  009  008           0.728      0.732
  4:  009  010  009           0.771      0.780
  5:  011  010  010           0.815      0.821
  6:  010  011  011           0.861      0.862
  7:  012  011  012           0.908      0.895
  8:  012  012  013           0.957      0.958
  9:  012  013  013           1.008      1.009
 10:  014  013  014           1.060      1.057
 11:  014  014  013           1.113      1.113
 12:  014  015  014           1.169      1.184
 13:  015  015  016           1.226      1.222
 14:  015  016  015           1.284      1.282
 15:  017  016  017           1.345      1.342
 16:  017  017  018           1.407      1.409
 17:  017  018  017           1.471      1.476
 18:  019  018  018           1.537      1.543
 19:  018  019  019           1.604      1.604
 20:  020  019  020           1.673      1.672
 21:  020  020  019           1.745      1.747
 22:  020  021  020           1.818      1.838
 23:  021  021  022           1.893      1.891
 24:  021  022  021           1.970      1.975
 25:  023  022  022           2.049      2.054
 26:  022  023  022           2.130      2.130
 27:  024  023  024           2.213      2.217
 28:  023  024  024           2.299      2.294
 29:  025  024  025           2.386      2.364
 30:  025  025  026           2.475      2.477
 31:  025  026  025           2.567      2.581
 32:  027  026  026           2.661      2.660
 33:  026  027  026           2.757      2.750
 34:  028  027  028           2.855      2.856
 35:  028  028  027           2.956      2.968
 36:  029  028  029           3.059      3.035
 37:  029  029  029           3.164      3.157
 38:  029  030  029           3.271      3.293
 39:  030  030  031           3.381      3.376
 40:  030  031  030           3.494      3.508
 41:  032  031  031           3.609      3.620
 42:  031  032  031           3.726      3.729
 43:  033  032  033           3.846      3.848
 44:  033  033  032           3.969      3.979
 45:  034  033  034           4.094      4.065
 46:  034  034  034           4.222      4.223
 47:  034  035  034           4.353      4.398
 48:  035  035  036           4.486      4.487
 49:  035  036  035           4.622      4.637
 50:  037  036  036           4.761      4.759
 51:  036  037  037           4.903      4.892
 52:  038  037  038           5.047      5.013
 53:  038  038  038           5.195      5.182
 54:  038  039  038           5.346      5.370
 55:  040  039  039           5.499      5.515
 56:  039  040  040           5.656      5.665
 57:  041  040  041           5.815      5.794
 58:  041  041  041           5.978      5.967
 59:  041  042  041           6.144      6.166
 60:  043  042  042           6.313      6.309
 61:  043  043  042           6.486      6.502
 62:  044  043  044           6.662      6.612
 63:  044  044  045           6.841      6.843
 64:  044  045  045           7.023      7.033
 65:  046  045  046           7.209      7.192
 66:  046  046  046           7.399      7.391
 67:  046  047  046           7.592      7.623
 68:  048  047  047           7.788      7.789
 69:  047  048  048           7.989      7.977
 70:  049  048  049           8.193      8.132
 71:  050  049  049           8.400      8.411
 72:  049  050  050           8.612      8.599
 73:  051  050  051           8.827      8.775
 74:  051  051  052           9.046      9.036
 75:  051  052  051           9.270      9.257
 76:  053  052  053           9.497      9.459
 77:  053  053  054           9.728      9.738
 78:  053  054  054           9.963      9.964
 79:  055  054  055          10.203     10.167
 80:  055  055  056          10.447     10.454
 81:  055  056  055          10.695     10.685
 82:  057  056  057          10.947     10.897
 83:  058  057  057          11.204     11.214
 84:  058  058  057          11.465     11.473
 85:  058  059  058          11.731     11.752
 86:  060  059  060          12.001     11.998
 87:  060  060  060          12.276     12.280
 88:  060  061  060          12.556     12.548
 89:  062  061  062          12.840     12.787
 90:  063  062  062          13.130     13.149
 91:  063  063  062          13.424     13.438
 92:  063  064  063          13.723     13.794
 93:  065  064  064          14.027     14.010
 94:  065  065  065          14.337     14.338
 95:  065  066  065          14.651     14.636
 96:  067  066  067          14.971     14.899
 97:  068  067  067          15.296     15.297
 98:  068  068  068          15.627     15.643
 99:  068  069  068          15.963     15.944
100:  069  070  069          16.304     16.376
101:  071  070  071          16.651     16.661
102:  071  071  072          17.004     17.025
103:  071  072  072          17.363     17.347
104:  072  073  072          17.727     17.762
105:  074  073  074          18.097     18.033
106:  075  074  074          18.474     18.471
107:  075  075  075          18.856     18.855
108:  075  076  076          19.245     19.233
109:  076  077  076          19.640     19.656
110:  077  078  077          20.041     20.127
111:  079  078  079          20.448     20.439
112:  079  079  080          20.863     20.837
113:  080  080  079          21.283     21.264
114:  080  081  081          21.711     21.682
115:  081  082  081          22.145     22.139
116:  082  083  082          22.586     22.667
117:  084  083  084          23.034     22.988
118:  085  084  084          23.489     23.465
119:  085  085  086          23.951     23.929
120:  086  086  087          24.421     24.443
121:  087  087  086          24.898     24.903
122:  087  088  088          25.382     25.385
123:  088  089  088          25.874     25.864
124:  089  090  089          26.374     26.402
125:  090  091  090          26.881     26.953
126:  092  091  092          27.396     27.298
127:  093  092  093          27.919     27.857
128:  094  093  094          28.450     28.408
129:  095  094  095          28.990     28.965
130:  096  095  096          29.537     29.542
131:  097  096  096          30.094     30.091
132:  098  097  098          30.658     30.680
133:  099  098  099          31.231     31.254
134:  100  099  100          31.813     31.831
135:  101  100  101          32.404     32.421
136:  102  101  102          33.004     33.024
137:  103  102  103          33.613     33.609
138:  104  103  104          34.231     34.252
139:  105  104  105          34.859     34.878
140:  106  105  106          35.496     35.501
141:  107  106  107          36.143     36.128
142:  108  107  108          36.799     36.789
143:  109  108  109          37.466     37.426
144:  110  109  110          38.142     38.090
145:  111  110  111          38.828     38.728
146:  111  112  111          39.525     39.616
147:  112  113  112          40.232     40.263
148:  113  114  114          40.950     40.949
149:  115  115  114          41.678     41.678
150:  116  116  116          42.418     42.407
151:  117  117  118          43.168     43.131
152:  119  118  119          43.930     43.946
153:  120  119  120          44.702     44.618
154:  120  121  120          45.486     45.575
155:  121  122  121          46.282     46.273
156:  123  123  122          47.090     47.096
157:  124  124  125          47.909     47.911
158:  126  125  125          48.741     48.716
159:  127  126  127          49.585     49.468
160:  127  128  127          50.441     50.464
161:  129  129  128          51.309     51.330
162:  130  130  130          52.191     52.181
163:  131  131  132          53.085     53.110
164:  132  132  133          53.993     53.989
165:  134  133  133          54.914     54.973
166:  135  134  134          55.848     55.831
167:  136  135  136          56.796     56.802
168:  137  136  137          57.757     57.691
169:  138  137  138          58.733     58.584
170:  139  138  139          59.723     59.565
171:  139  140  139          60.727     60.855
172:  140  141  140          61.745     61.809
173:  141  142  141          62.779     62.744
174:  142  143  143          63.827     63.792
175:  144  144  143          64.891     64.878
176:  145  145  146          65.970     65.928
177:  147  146  146          67.064     67.047
178:  148  147  148          68.175     68.090
179:  148  149  148          69.301     69.415
180:  149  150  150          70.444     70.471
181:  151  151  150          71.602     71.584
182:  152  152  153          72.778     72.743
183:  154  153  154          73.970     73.897
184:  154  155  154          75.180     75.295
185:  155  156  156          76.407     76.439
186:  157  157  157          77.651     77.672
187:  159  158  158          78.913     78.963
188:  160  159  160          80.194     80.107
189:  160  161  160          81.492     81.529
190:  162  162  161          82.809     82.808
191:  163  163  164          84.145     84.126
192:  165  164  165          85.500     85.420
193:  165  166  165          86.874     86.924
194:  167  167  166          88.267     88.247
195:  169  168  168          89.681     89.664
196:  169  170  169          91.114     91.200
197:  171  171  170          92.568     92.550
198:  173  172  172          94.043     94.021
199:  173  174  173          95.538     95.647
200:  175  175  174          97.054     97.048
201:  177  176  176          98.592     98.590
202:  177  178  177         100.152    100.264
203:  179  179  179         101.734    101.770
204:  181  180  181         103.338    103.392
205:  181  182  181         104.964    105.019
206:  183  183  183         106.614    106.626
207:  185  184  185         108.287    108.271
208:  185  186  186         109.983    109.995
209:  187  187  188         111.703    111.645
210:  189  188  189         113.448    113.235
211:  190  190  189         115.217    115.223
212:  192  191  191         117.010    117.050
213:  193  192  193         118.829    118.593
214:  193  194  194         120.674    120.665
215:  195  195  196         122.544    122.527
216:  197  196  197         124.441    124.240
217:  197  198  198         126.364    126.382
218:  199  199  200         128.314    128.355
219:  201  200  201         130.291    130.205
220:  201  202  201         132.296    132.248
221:  203  203  204         134.329    134.365
222:  205  204  205         136.390    136.248
223:  205  206  205         138.480    138.412
224:  207  207  208         140.599    140.672
225:  209  208  209         142.748    142.650
226:  209  210  209         144.926    144.892
227:  211  211  211         147.135    147.070
228:  213  212  213         149.375    149.322
229:  213  214  213         151.646    151.667
230:  215  215  214         153.948    153.955
231:  217  216  216         156.283    156.213
232:  217  218  217         158.650    158.800
233:  219  219  219         161.050    161.115
234:  221  220  220         163.483    163.463
235:  221  222  221         165.950    166.100
236:  223  223  223         168.451    168.503
237:  225  224  224         170.986    170.957
238:  225  226  225         173.557    173.552
239:  227  227  228         176.164    176.105
240:  228  229  228         178.806    179.000
241:  230  230  231         181.485    181.482
242:  232  231  232         184.202    183.862
243:  233  233  234         186.955    187.020
244:  234  235  234         189.747    190.060
245:  236  236  236         192.578    192.537
246:  237  238  237         195.447    195.455
247:  240  239  240         198.356    198.357
248:  241  241  241         201.306    201.255
249:  242  243  243         204.295    204.368
250:  245  244  245         207.327    207.023
251:  247  246  247         210.400    210.313
252:  248  248  249         213.515    213.540
253:  250  250  249         216.673    216.755
254:  251  252  251         219.875    220.118
255:  254  253  253         223.121    223.030
256:  255  255  255         226.375    226.475
